Abnormality of the breast	HP:0000769
Hypothalamic gonadotropin-releasing hormone deficiency	None
Pseudohypoaldosteronism	None
Primary hypothyroidism	None
Neoplasm of the anterior pituitary	None
Neoplasm of the adenohypophysis	None
Neoplasm of the pars anterior	None
Abnormal circulating 18-hydroxycorticosterone level	None
Elevated circulating reverse T3 concentration	None
Elevated circulating reverse triiodothyronine concentration	None
Elevated rT3	None
Abnormal pineal volume	None
Inactivating TSHR defect	None
Inactivating thyroid-stimulating hormone receptor defect	None
Abnormality of the parathyroid morphology	None
Elevated circulating 17-OHP	None
Elevated circulating 17-hydroxyprogesterone	None
Corticotropin-secreting pituitary adenoma	None
ACTH-producing pituitary adenoma	None
Pituitary corticotropic cell adenoma	None
Neuroendocrine neoplasm	None
Neuroendocrine neoplasia	None
Abnormality of endocrine pancreas physiology	None
Autoimmune hypoparathyroidism	None
Abnormal radioactive iodine uptake test result	None
Low plasma renin activity	None
Suppressed plasma renin activity	None
Decreased circulating renin level	None
Decreased plasma renin activity	None
Decreased circulating dehydroepiandrosterone level	None
Decreased circulating dehydroepiandrosterone concentration	None
Microprolactinoma	None
Thyroid follicular hyperplasia	None
Carotid paraganglioma	None
Overactive thyroid	None
Hyperthyroidism	None
Increased circulating cortisol level	None
Hypercortisolism	None
Cushing syndrome	None
Increased cortisol production	None
Abnormal response to CRH stimulation test	None
Abnormal response to corticotropin releasing hormone stimulation test	None
Inappropriately normal thyroid-stimulating hormone level	None
Inappropriately normal TSH	None
Secretory adrenal adenoma	None
Secretory adrenocortical adenoma	None
Decreased circulating androgen level	None
Decreased circulating androgen concentration	None
Abnormal somatotropin level	None
Abnormal growth hormone level	None
Abnormality of circulating glucocorticoid level	None
Diabetes mellitus	None
Small thyroid gland	None
Thyroid hypoplasia	None
Hypoplastic thyroid	None
Delayed start of first period	None
Delayed menarche	None
Male precocious puberty	None
Precocious puberty in males	None
Early onset of puberty in males	None
Increased serum estriol	None
Impaired growth-hormone response to glucagon stimulation test	None
Agenesis of pineal gland	None
Congenital adrenal gland hypoplasia	None
Congenital adrenal hypoplasia	None
Anaplastic thyroid carcinoma	None
Pituicytoma	None
Hormonally silent pituitary adenoma	None
Silent pituitary adenoma	None
Clinically silent pituitary adenoma	None
Pituitary null cell adenoma	None
Non-functional pituitary adenoma	None
Hyperinsulinemic hypoglycemia	None
Hyperinsulinemia hypoglycemia	None
Hyperinsulinaemic hypoglycaemia	None
Tertiary adrenal insufficiency	None
CRH deficient adrenal insufficiency	None
Corticotropin-releasing hormone deficient adrenal insufficiency	None
Pancreatic endocrine tumour	None
Pancreatic endocrine tumor	None
Noncancerous tumour in pituitary gland	None
Pituitary gland adenoma	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Reduce response to GnRH stimulation test	None
Reduced response to gonadotropin-releasing hormone stimulation test	None
Decreased circulating corticosterone level	None
Elevated circulating parathyroid hormone level	None
Elevated circulating PTH level	None
Elevated serum parathyroid hormone level	None
Elevated serum parathyroid hormone	None
Increased serum parathyroid hormone	None
Elevated serum pth	None
Low parathyroid hormone	None
Hypoparathyroidism	None
Decreased parathyroid hormone secretion	None
Hyperactive renin-angiotensin system	None
Increased plasma renin activity	None
Diffuse pancreatic islet hyperplasia	None
Abnormal response to adrenocorticotropic-hormone stimulation test	None
Abnormal response to corticotropin stimulation test	None
Abnormal response to ACTH stimulation test	None
Thyroid papillary carcinoma	None
Papillary thyroid carcinoma	None
Papillary carcinoma of thyroid	None
Abnormality of adrenal physiology	None
Abnormal circulating adrenocorticotropin concentration	None
Abnormality of circulating adrenocorticotropin level	None
Abnormality of circulating corticotropin level	None
Abnormality of circulating adrenocorticotropic hormone level	None
Abnormality of circulating ACTH level	None
Early onset of sexual maturation	None
Adrenal neoplasia	None
Neoplasm of the adrenal gland	None
Pulmonary paraglioma	None
Abnormal response to glucagon stimulation test	None
Neonatal insulin-dependent diabetes mellitus	None
Primary hypogonadism	None
Hypergonadotropic hypogonadism	None
Hypergonadotrophic hypogonadism	None
Follicular thyroid carcinoma	None
Secondary hyperaldosteronism	None
Hyperreninemic hyperaldosteronism	None
Isosexual precocious puberty	None
Decreased circulating dihydrotestosterone concentration	None
Absence of GnRH pulsatility	None
Lack of gonadotropin-releasing hormone pulsatility	None
Endocrine neoplasia	None
Neoplasm of the endocrine system	None
Hypogonadotropic hypogonadism	None
Hypogonadotrophic hypogonadism	None
Low gonadotropins (secondary hypogonadism)	None
Isolated hypogonadotropic hypogonadism	None
Abnormal circulating gastrin level	None
Abnormal circulating gastrin concentration	None
Reduced circulating growth hormone concentration	None
ACTH-dependent hypercortisolemia	None
Secondary hypercortisolism	None
Insulin-resistant diabetes mellitus at puberty	None
Neoplasm of the adrenal medulla	None
Medullar adrenal neoplasia	None
Abnormal circulating free T4 concentration	None
Abnormal circulating free thyroxine level	None
Abnormal circulating free T4 level	None
Thyroid follicular adenoma	None
Abnormality of circulating catecholamine level	None
Catecholamine levels abnormal	None
Elevated circulating rT3/T3 ratio	None
Leydig cell insensitivity to gonadotropin	None
Abnormal circulating osteocalcin level	None
Small adrenal medulla	None
Adrenal medullary hypoplasia	None
Adenohypophysis	None
Anterior pituitary dysgenesis	None
Pituitary acidophilic stem cell adenoma	None
Type 1 diabetes	None
Type I diabetes	None
Juvenile diabetes mellitus	None
Insulin-dependent diabetes mellitus	None
Diabetes mellitus Type I	None
Type I diabetes mellitus	None
Impaired cortisol response to insulin stimulation test	None
Abnormal gonadotropin-releasing hormone concentration	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormality of GnRH level	None
Pituitary gland atrophy	None
Atrophic pituitary gland	None
Atrophic pituitary	None
Increased serum serotonin	None
Chronic lymphocytic thyroiditis	None
Hashimoto thyroiditis	None
Hashimoto's thyroiditis	None
Thymic hypoplasia or aplasia	None
Absent/small thymus	None
Absent/underdeveloped thymus	None
Aplasia/Hypoplasia of the thymus	None
Beta-cell dysfunction	None
Paraganglioma of head and neck	None
Paragangliomas, head and neck	None
Abnormal pineal melatonin secretion	None
Abnormality of adrenal morphology	None
Abnormal hypothalamus physiology	None
Absent TSH response to thyrotrophin-releasing hormone stimulation test	None
Thyroid carcinoma	None
Thyroid adenoma	None
Thyroid C cell hyperplasia	None
Macronodular adrenal hyperplasia	None
Precocious puberty with Sertoli cell tumour	None
Precocious puberty with Sertoli cell tumor	None
Positive perchlorate discharge test	None
Enlarged parathyroid glands	None
Parathyroid hyperplasia	None
Paradoxical increased cortisol secretion on dexamethasone suppression test	None
Corticotropin-releasing hormone receptor defect	None
Corticotropin-releasing hormone receptor (CRHR) resistance	None
CRHR defect	None
Decreased serum estriol	None
Decreased T3/T4 ratio	None
Delayed thelarche	None
Congenital hypothyroidism	None
Underactive thyroid gland from birth	None
Hypothyroidism, congenital	None
Cutaneous APUDoma	None
Neuroendocrine carcinoma of the skin	None
Primary small cell carcinoma of the skin	None
Primary undifferentiated carcinoma of the skin	None
Merkel cell skin cancer	None
Neuroendocrine tumor of the skin	None
Merkel cell cancer of the skin	None
Anaplastic carcinoma of the skin	None
Neuroendocrine tumour of the skin	None
Abnormal plasma renin	None
Abnormal circulating renin	None
Abnormal luteinizing hormone level	None
Increased circulating lutropin	None
Abnormal circulating luteinizing hormone concentration	None
Abnormal circulating luteinizing hormone level	None
Abnormal circulating estrogen level	None
Abnormal circulating oestrogen level	None
Abnormal estrogen level	None
Abnormal oestrogen level	None
Adrenocortical cytomegaly	None
Paragangliomas	None
Carotid body tumors	None
Paraganglioma	None
Carotid body tumours	None
Abnormal TSH response to TRH stimulation test	None
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	None
Decreased circulating cortisol level	None
Low to undetectable plasma cortisol	None
Low blood cortisol level	None
Plasma cortisol low	None
Glucocorticoid insufficiency	None
Decreased cortisol production	None
Hypocortisolemia	None
Hypocortisolism	None
Insulin-dependent but ketosis-resistant diabetes	None
Elevated calcitonin	None
Abnormality of the pineal gland	None
Elevated circulating somatotropin concentration	None
Growth hormone excess	None
Somatotropin excess	None
Elevated circulating growth hormone concentration	None
Adrenal calcification	None
Hypogonadism, female	None
Female hypogonadism	None
Abnormality of pineal physiology	None
Abnormal response to endocrine stimulation test	None
Neurohypophysis dysplasia	None
Posterior pituitary dysplasia	None
Posterior pituitary dysgenesis	None
Adrenocorticotropic hormone excess	None
ACTH excess	None
Multiple pancreatic beta-cell adenomas	None
Decreased circulating osteocalcin level	None
Reduced TSH response to thyrotrophin-releasing hormone stimulation test	None
Hypothalamic hypothyroidism	None
Tertiary hypothyroidism	None
Euthyroid goitre	None
Euthyroid goiter	None
Neoplasia of the thyroid gland	None
Neoplasm of the thyroid gland	None
Congenital goiter	None
Congenital goitre	None
Hyperparathyroidism	None
Elevated blood parathyroid hormone level	None
Thyroglossal duct cyst	None
Thyroglossal cyst	None
Primary gonadal insufficiency	None
Abnormal glucagon level	None
Decreased circulating dehydroepiandrosterone-sulfate concentration	None
Decreased circulating dehydroepiandrosterone-sulfate level	None
Increased pineal volume	None
Elevated circulating leptin level	None
Increased serum leptin	None
Extraadrenal pheochromocytoma	None
Pheochromocytoma, extraadrenal	None
Atypical pulmonary carcinoid tumour	None
Atypical pulmonary carcinoid tumor	None
Abnormal pineal morphology	None
Abnormality of pineal morphology	None
Increased circulating 17 hydroxypregnenolone concentration	None
Aplasia/Hypoplasia of the thyroid gland	None
Syndrome of inappropriate antidiuretic hormone secretion	None
Inappropriate antidiuretic hormone secretion	None
Inappropriate ADH secretion	None
SIADH	None
Abnormal pituitary glycoprotein hormone alpha subunit level	None
Abnormal prolactin level	None
Abnormality of the hypothalamus-pituitary axis	None
Medullary thyroid cancer	None
Medullary thyroid carcinoma	None
Mineralocorticoid excess	None
Elevated plasma aldosterone	None
Increased aldosterone	None
Increased aldosterone production	None
Hyperaldosteronism	None
Thyroid nodule	None
Parathyroid adenoma	None
Parathyroid adenomas	None
Ectopic thymus tissue	None
Abnormal thymus position	None
Graves disease	None
Morbus Basedow	None
Increased pituitary glycoprotein polypeptide alpha subunit level	None
Increased pituitary glycoprotein alpha subunit level	None
Increased pituitary glycoprotein hormone alpha subunit level	None
Thyroid defect in oxidation and organification of iodide	None
Thyroid microfollicular adenoma	None
Pancreatic islet cell adenoma	None
Primary hyperaldosteronism	None
End-organ unresponsiveness to thyroid hormone	None
Impaired sensitivity to thyroid hormone	None
Resistance to thyroid hormone	None
Thyroid hormone resistance	None
Thyroid hormone receptor defect	None
Elevated serum levels of free thyroid hormone with nonsuppressed TSH	None
Multinodular goitre	None
Multinodular goiter	None
Decreased serum estrone	None
Enlarged adrenal glands	None
Adrenal hyperplasia	None
Decreased inhibin B level	None
Thyroid lymphangiectasis	None
Thyroid lymphangiectasia	None
Lingual thyroid	None
Glomus jugulare tumors	None
Glomus jugulare tumour	None
Glomus jugular tumor	None
Glomus jugular tumour	None
Glomus jugulare tumor	None
Glomus jugulare tumours	None
Chemodectoma	None
Chemodectomas	None
Familial primary hyperaldosteronism type 2	None
Glucocortocoid-insensitive primary hyperaldosteronism	None
Coalescence of tarsal bones	None
Premature fusion of the radial epiphyseal plates	None
Prominent calcaneus	None
Prominent heel bone	None
Congenital symmetrical palmoplantar keratosis	None
Fragmentation of end part of middle finger bone	None
Fragmentation of the epiphyses of the 3rd finger	None
Sclerosis of the proximal phalanges of the toes	None
Sclerosis of proximal toe phalanx	None
Increased bone density in innermost toe bone	None
Dislocated elbows on both sides	None
Bilateral elbow dislocations	None
Short middle finger	None
Hypoplastic/small 3rd finger	None
Short 3rd finger	None
Hypoplastic radial head	None
Small radial head	None
Shortened 1st long bone of hand	None
Short first metacarpals	None
First metacarpal hypoplasia	None
Short 1st metacarpal	None
Short first metacarpal	None
Hypoplastic 1st metacarpal	None
First metacarpals hypoplastic	None
Abnormal distal phalanx morphology of finger	None
Abnormality of the distal phalanges of the hand	None
Abnormality of the distal phalanx of finger	None
Abnormality of the outermost finger bone	None
Abnormal terminal phalanges of the hand	None
Rudimentary 2nd metacarpal	None
Short 2nd metacarpal	None
Hypoplastic 2nd metacarpal	None
Shortened 2nd long bone of hand	None
Stippled calcification of the humeral epiphyses	None
Abnormal palmar dermatoglyphics	None
Leg muscle stiffness	None
Ivory epiphysis of the 1st metatarsal	None
Increased bone density of end part of the 1st long bone of foot	None
Triangular shaped 1st metacarpal	None
Triangular shaped 1st long bone of hand	None
Deviation of the 3rd finger	None
Deviated middle finger	None
Bracket epiphysis of the distal phalanx of the 3rd toe	None
Bracket shaped end part of the outermost bone of the 3rd toe	None
Abnormality of the joint spaces of the elbow	None
Abnormalities of the fingers	None
Abnormality of finger	None
Undermodelled forearm bones	None
Bracket epiphyses of the 2nd finger	None
Bracket-epiphyses of index finger	None
Bracket shaped end part of index finger	None
Enlarged epiphysis of the proximal phalanx of the 4th toe	None
Enlarged end part of the innermost bone of the 4th toe	None
Bullet-shaped bones of 3rd toe	None
Bullet-shaped phalanges of the 3rd toe	None
Bullet-shaped 3rd toe phalanx	None
Absent end part of the innermost bone of little finger	None
Absent epiphysis of the proximal phalanx of the 5th finger	None
Absent end part of the innermost bone of pinky finger	None
Absent end part of the innermost bone of pinkie finger	None
bone calcaneus	None
Fractured calcaneus	None
Absent/small outermost index finger bone	None
Aplasia/Hypoplasia of the distal phalanx of the 2nd finger	None
Absent/underdeveloped outermost index finger bone	None
Abnormal humeral metaphysis morphology	None
Abnormality of the wide portion of the long bone in upper arm	None
Abnormality of the humeral metaphyses	None
Coxa valga	None
Coxa valga deformity	None
Valgus hip	None
Hip adductor weakness	None
Curved middle bone of the middle finger	None
Curved middle phalanx of the 3rd finger	None
Decreased finger movement	None
Decreased finger mobility	None
Abnormality of the bones of the 3rd toe	None
Abnormality of the phalanges of the 3rd toe	None
Absent/small middle ring finger bone	None
Absent/underdeveloped middle ring finger bone	None
Aplasia/Hypoplasia of the middle phalanx of the 4th finger	None
Irregular radial metaphysis	None
Radial metaphyseal irregularity	None
Amyotrophy of ankle musculature	None
Ulnar dislocation of radial heads	None
Ulnar radial head dislocation	None
Erlenmeyer flask femora	None
Erlenmeyer flask deformity of distal femur	None
Erlenmeyer flask deformity of the femurs	None
Erlenmeyer flask shaped thighbone	None
Broadening of the distal radius	None
Flared radial metaphysis	None
Delayed ossification proximal femoral epiphyses	None
Delayed ossification of the proximal femoral epiphysis	None
Delayed proximal femoral epiphyseal ossification	None
Brachioradialis hyporeflexia	None
Absent/small fingers	None
Aplasia/Hypoplasia of fingers	None
Absent/underdeveloped fingers	None
Bone-in-a-bone appearance of wrist bones	None
Bone-in-a-bone appearance of carpal bones	None
Baker's cyst	None
Popliteal synovial cyst	None
Abnormal hip joint morphology	None
Abnormality of the hip joints	None
Abnormality of the hip joint	None
Fractured sternoclavicular joint	None
bone sternoclavicular joint	None
Uneven increase in bone density in the outermost bone of pinkie finger	None
Patchy sclerosis of the distal phalanx of the 5th finger	None
Uneven increase in bone density in the outermost bone of little finger	None
Uneven increase in bone density in the outermost bone of pinky finger	None
Undermodeled humerus	None
Enlarged end part of the middle bone of the pinky toe	None
Enlarged epiphysis of the middle phalanx of the 5th toe	None
Enlarged end part of the middle bone of the little toe	None
Enlarged end part of the middle bone of the pinkie toe	None
Deep palm line	None
Deep palmar crease	None
Deep palmar creases	None
Tibial metaphyseal irregularity	None
Short innermost bone of the ring finger	None
Short proximal phalanx of the 4th finger	None
Hypoplastic/small proximal phalanx of the 4th finger	None
Short proximal phalanx of the fourth finger	None
Abnormality of the musculature of the limbs	None
Muscle issues in the arms and/or legs	None
Abnormal limb muscles	None
Absent/small ring finger bone	None
Absent/underdeveloped ring finger bone	None
Aplasia/Hypoplasia of the 4th finger	None
Unusual dermatoglyphics	None
Toe clinodactyly	None
Toe curvature	None
Clinodactyly of feet	None
Palmar neurofibromas	None
Pseudosyndactyly	None
Mitten deformity	None
Small end part of the middle bone of the middle finger	None
Small epiphysis of the middle phalanx of the 3rd finger	None
Torn meniscus	None
Short diaphyses	None
Short shaft of long bone	None
Hand muscle weakness	None
Areflexia, lower limbs	None
Absent lower limb tendon reflexes	None
Areflexia of lower limbs	None
Areflexia in lower limbs	None
Areflexia of the lower limbs	None
Increased bone density in big toe bone	None
Sclerosis of the phalanges of the hallux	None
Sclerosis of hallux phalanx	None
Sclerosis of the proximal phalanx of the 4th toe	None
Increased bone density in the innermost bone of the 4th toe	None
Osteolytic defects of the middle phalanges of the toes	None
Absent/small ankle bone	None
Absent/underdeveloped ankle bone	None
Aplastic/hypoplastic tarsals	None
Aplasia/Hypoplasia of the tarsal bones	None
Aphalangia of the toes	None
Aplasia of the phalanges of the toes	None
Absent bones of the toes	None
Absent end part of the outermost bone of the pinkie toe	None
Absent end part of the outermost bone of the little toe	None
Absent end part of the outermost bone of the pinky toe	None
Absent epiphysis of the distal phalanx of the 5th toe	None
Cone-shaped epiphysis of the proximal phalanx of the 5th toe	None
Cone-shaped end part of the innermost bone of the pinky toe	None
Cone-shaped end part of the innermost bone of the pinkie toe	None
Cone-shaped end part of the innermost bone of the little toe	None
Complete duplication of the middle phalanx of the 3rd finger	None
Complete duplication of the middle bone of the middle finger	None
Abnormality of thumb phalanges	None
Abnormality of the thumb bones	None
Abnormality of thumb phalanx	None
Duplication of the outermost pinkie finger bone	None
Duplication of the outermost pinky finger bone	None
Duplication of the outermost little finger bone	None
Partial/complete duplication of the distal phalanx of the 5th finger	None
Duplication of the distal phalanx of the 5th finger	None
Camptodactyly of middle finger	None
Joint contracture of the 3rd finger	None
Partial duplication of the innermost bone of 4th toe	None
Partial duplication of the proximal phalanx of the 4th toe	None
Distal femoral metaphyseal abnormality	None
Abnormality of wide portion of outermost thighbone	None
Abnormality of the radius	None
Abnormal morphology of the radius	None
Aplasia/Hypoplasia of the phalanges of the hallux	None
Absent/small big toe bone	None
Absent/underdeveloped big toe bone	None
Proximal limb muscle stiffness	None
Fragmentation of the end part of the toe bones	None
Fragmentation of the epiphyses of the toes	None
Broad hallux phalanx	None
Broad bone of big toe	None
Wide bone of big toe	None
Broad phalanges of the hallux	None
bone hindlimb bone	None
Fractured hindlimb bone	None
Wide outermost bone of the 3rd toe	None
Broad distal phalanx of the 3rd toe	None
Broad outermost bone of the 3rd toe	None
bone knee	None
Fractured knee	None
Fragmentation of end part of the middle long bone of the index finger	None
Fragmentation of the epiphysis of the middle phalanx of the 2nd finger	None
Knee osteoarthritis	None
Bipartite patella	None
Partial duplication of the middle phalanx of the fifth toe	None
Partial duplication of the middle bone of the little toe	None
Partial duplication of the middle phalanx of the 5th toe	None
Partial duplication of the middle bone of the pinky toe	None
Partial duplication of the middle bone of the pinkie toe	None
Unilateral wrist flexion contracture	None
Unilateral wrist contracture	None
Small toe bones	None
Hypoplasia of the phalanges of the toes	None
Fragmentation of end part of long bone of thumb	None
Fragmentation of the epiphyses of the thumb	None
Fragmentation of thumb epiphysis	None
Bracket shaped end part of innermost long bone of the middle finger	None
Bracket epiphysis of the proximal phalanx of the 3rd finger	None
Uneven increase in bone density in ring finger bone	None
Patchy sclerosis of 4th finger phalanx	None
Patchy sclerosis of the phalanges of the 4th finger	None
Bullet-shaped middle phalanx of the 3rd finger	None
Bullet-shaped middle bone of middle finger	None
Fragmentation of the end part of the outermost bone of the pinkie toe	None
Fragmentation of the end part of the outermost bone of the pinky toe	None
Fragmentation of the end part of the outermost bone of the little toe	None
Fragmentation of the epiphysis of the distal phalanx of the 5th toe	None
Small end part of the outermost bone of little finger	None
Small end part of the outermost bone of pinky finger	None
Small epiphysis of the distal phalanx of the 5th finger	None
Small end part of the outermost bone of pinkie finger	None
Radial deviation of the hand or of fingers of the hand	None
Abnormality of the calcaneal tendon	None
Abnormality of the Achilles tendon	None
Joint contractures of the 4th toe	None
Flexion contracture of the 4th toe	None
Edema of the upper limbs	None
Fluid accumulation in upper limbs	None
Oedema of the upper limbs	None
Short second metatarsal	None
Short 2nd long bone of foot	None
Bowed calf bone	None
Fibular bowing	None
Osteolytic defects of the distal phalanx of the hallux	None
Abnormal digit morphology	None
Abnormality of fingers or toes	None
Abnormality of digit	None
Digital anomalies	None
Cortical diaphyseal thickening of the upper limbs	None
Speckled calcifications in end part of the middle bone of the index finger	None
Stippling of the epiphysis of the middle phalanx of the 2nd finger	None
Absent/underdeveloped lower limb bones	None
Absent/small lower limb bones	None
Aplasia/hypoplasia involving bones of the lower limbs	None
Increased bone density in the outermost little finger bone	None
Increased bone density in the outermost pinkie finger bone	None
Increased bone density in the outermost pinky finger bone	None
Sclerosis of the distal phalanx of the 5th finger	None
Pseudoepiphysis of the middle phalanx of the 4th finger	None
Small end part of the outermost bone of the index finger	None
Small epiphysis of the distal phalanx of the 2nd finger	None
Advanced carpal ossification	None
Accelerated carpal bone maturation	None
Precociously ossified carpal bones	None
Advanced carpal bone age	None
Accelerated wrist bone maturation	None
Advanced ossification of carpal bones	None
Toe contractures	None
Flexion contracture of toe	None
Contractures of the toes	None
Contractures involving the toes	None
Laterally displaced femoral heads	None
Lateral displacement of the femoral head	None
Fracture of the fibula	None
Fractured fibula	None
Fibula fracture	None
bone fibula	None
Broken fibula	None
Complete duplication of the proximal phalanx of the 2nd toe	None
Complete duplication of the proximal phalanx of the second toe	None
Complete duplication of the innermost 2nd toe bone	None
Irregular end part of upper limb bones	None
Irregular epiphyses of the upper limbs	None
Coarse trabeculation at metaphyses	None
Coarse metaphyseal trabecularization	None
Rough bone trabeculation	None
Rough trabeculation of bone	None
Aplasia of the middle phalanx of the 2nd toe	None
Absent middle bone of 2nd toe	None
Pseudoepiphysis of the proximal phalanx of the 2nd toe	None
Broad ulna	None
Wide ulna	None
Small end part of the 1st long bone of hand	None
Small epiphysis of the 1st metacarpal	None
Duplication of middle bone of 2nd toe	None
Duplication of the middle phalanx of the 2nd toe	None
Partial/complete duplication of the middle phalanx of the 2nd toe	None
Lytic defects of the forearm bones	None
Aplasia/Hypoplasia of the 3rd metacarpal	None
Absent/small 3rd long bone of hand	None
Absent/underdeveloped 3rd long bone of hand	None
Cone-shaped end part of the middle hand bones	None
Cone-shaped epiphyses of the middle phalanges of the hand	None
Cone-shaped epiphyses of middle phalanges	None
Curved proximal phalanges of the toes	None
Curved innermost toe bones	None
Curved proximal toe phalanx	None
Widened outermost bone of limb	None
Widened distal phalanges	None
Abnormality of limb bone	None
Outward bow-leggedness	None
Genu varum	None
Genua vara	None
Outward bowing at knees	None
Genu vara	None
Sclerosis of the middle phalanx of the 4th finger	None
Increased bone density in the middle bone of the ring finger	None
Increased bone density of end part of the outermost bone of the pinkie toe	None
Ivory epiphysis of the distal phalanx of the 5th toe	None
Increased bone density of end part of the outermost bone of the pinky toe	None
Increased bone density of end part of the outermost bone of the little toe	None
Pseudoepiphysis of the proximal phalanx of the 4th finger	None
Shortening of the talar neck	None
Hardening of wide portion of long bone of upper arm	None
Sclerotic humeral metaphysis	None
Stiffening of wide portion of long bone of upper arm	None
Ivory epiphyses of the proximal phalanges of the hand	None
Increased bone density of end part of the innermost hand bones	None
Increased bone density in the middle bone of the 4th toe	None
Sclerosis of the middle phalanx of the 4th toe	None
Mesomelic/rhizomelic limb shortening	None
Abnormal innermost thumb bone	None
Abnormality of the proximal phalanx of the thumb	None
Abnormality of proximal thumb phalanx	None
Syndactyly, cutaneous	None
Cutaneous syndactyly	None
Cutaneous syndactyly of digits	None
Abnormality of the styloid process of ulna	None
