Pneumomediastinum	HP:0025421
Prolactinoma	None
Increased thyroid-stimulating hormone level	None
Increased serum thyroid-stimulating hormone	None
Thyroid-stimulating hormone excess	None
High TSH	None
Increased thyroid-stimulating hormone	None
Elevated circulating thyroid-stimulating hormone concentration	None
Increased thyrotropin level	None
Elevated thyroid stimulating hormone	None
Elevated thyroid stimulating hormone levels	None
TSH excess	None
Abnormality of circulating corticosterone level	None
Abnormal circulating corticosterone level	None
Increased serum serotonin	None
Absent pituitary gland	None
Aplasia of the pituitary gland	None
Anterior pituitary agenesis	None
Decreased serum testosterone level	None
Decreased testosterone	None
Low serum testosterone level	None
Decreased serum testosterone levels	None
Decreased serum testosterone concentration	None
Low serum testosterone levels	None
Pheochromocytomas, adrenal	None
Adrenal pheochromocytoma	None
Pheochromocytoma, adrenal	None
Reduced circulating leptin level	None
Decreased serum leptin	None
Decreased serum insulin-like growth factor 1	None
Abnormal radioactive iodine uptake test result	None
Tertiary adrenal insufficiency	None
CRH deficient adrenal insufficiency	None
Corticotropin-releasing hormone deficient adrenal insufficiency	None
Thyrotoxicosis with diffuse goitre	None
Thyrotoxicosis with diffuse goiter	None
Decreased serum estradiol	None
Elevated serum 11-deoxycortisol	None
Elevated serum deoxycorticosterone	None
Elevated serum 21-hydroxyprogesterone	None
Decreased circulating dehydroepiandrosterone level	None
Decreased circulating dehydroepiandrosterone concentration	None
Noncancerous tumour in pituitary gland	None
Pituitary gland adenoma	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Chronic lymphocytic thyroiditis	None
Hashimoto thyroiditis	None
Hashimoto's thyroiditis	None
Abnormal adiponectin level	None
Elevated circulating insulin:C-peptide ratio	None
Multiple pancreatic beta-cell adenomas	None
Chromaffin tumors	None
Pheochromocytoma	None
Chromaffin tumours	None
Ectopic parathyroid	None
Compensated hypothyroidism	None
Mild hypothyroidism	None
Subclinical hypothyroidism	None
Primary hypogonadism	None
Hypergonadotropic hypogonadism	None
Hypergonadotrophic hypogonadism	None
Isosexual precocious puberty	None
Nephrogenic diabetes insipidus	None
Increased circulating 18-hydroxycortisone level	None
Reduced pancreatic beta cells	None
Gonadotropin deficiency	None
Pituitary gonadotropin deficiency	None
ACTH-dependent hypercortisolemia	None
Secondary hypercortisolism	None
Pancreatic islet cell adenoma	None
Elevated circulating 17-OHP	None
Elevated circulating 17-hydroxyprogesterone	None
Absence of GnRH pulsatility	None
Lack of gonadotropin-releasing hormone pulsatility	None
Abnormality of the pineal gland	None
Thyroid gland inflammation	None
Thyroiditis	None
Decreased circulating gonadotropin level	None
Decreased circulating gonadotropin concentration	None
Posterior pituitary hypoplasia	None
Neurohypophysis hypoplasia	None
Abnormal serum estriol	None
Dexamethasone-suppressible primary hyperaldosteronism	None
Glucocorticoid-remediable familial primary aldosteronism	None
Familial primary hyperaldosteronism type 1	None
Secondary growth hormone deficiency	None
Neoplasm of the pituitary gland	None
Adrenal gland agenesis	None
Secretory adrenal adenoma	None
Secretory adrenocortical adenoma	None
Abnormality of the neurohypophysis	None
Abnormality of the posterior pituitary	None
Decreased circulating follicle stimulating hormone level	None
Decreased circulating follicle stimulating hormone concentration	None
Neoplasm of the thymus	None
Abnormality of the hypothalamus-pituitary axis	None
Congenital goiter	None
Congenital goitre	None
Excessive insulin response to glucagon test	None
Nodular goitre	None
Nodular goiter	None
Increased circulating progesterone	None
Increased circulating osteocalcin level	None
Impaired cortisol response to corticotropin releasing hormone stimulation test	None
Hypothalamic luteinizing hormone-releasing hormone deficiency	None
Abnormal circulating progesterone level	None
Chemodectoma	None
Chemodectomas	None
Panhypopituitarism	None
Decreased circulating luteinizing hormone level	None
Decreased circulating luteinising hormone level	None
Euthyroid goitre	None
Euthyroid goiter	None
Abnormal circulating free T3 concentration	None
Abnormal circulating free triiodotyronine concentration	None
Abnormal circulating free T3 level	None
Macroprolactinoma	None
Reduced radioactive iodine uptake	None
Decreased circulating dihydrotestosterone concentration	None
Elevated circulating somatotropin concentration	None
Growth hormone excess	None
Somatotropin excess	None
Elevated circulating growth hormone concentration	None
Pineal gland calcification	None
Neurohypophyseal diabetes insipidus	None
Central diabetes insipidus	None
Ectopic anterior pituitary gland	None
Accessory ectopic thyroid tissue	None
Abnormal pineal volume	None
Impaired growth hormone secretory responses after growth hormone-releasing hormone challenge	None
Decreased growth hormone responses to growth hormone-releasing hormone challenge	None
Hypothalamic GNRH deficiency	None
Hypothalamic gonadotropin-releasing hormone deficiency	None
Abnormal glucagon level	None
Aplasia/Hypoplasia of the thyroid gland	None
Decreased circulating corticosterone level	None
Abnormal gonadotropin-releasing hormone concentration	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormality of GnRH level	None
Thymic hypoplasia or aplasia	None
Absent/small thymus	None
Absent/underdeveloped thymus	None
Aplasia/Hypoplasia of the thymus	None
Elevated circulating erythropoietin concentration	None
Elevated circulating erythropoietin	None
Precocious puberty in females	None
Abnormal circulating adrenocorticotropin concentration	None
Abnormality of circulating adrenocorticotropin level	None
Abnormality of circulating corticotropin level	None
Abnormality of circulating adrenocorticotropic hormone level	None
Abnormality of circulating ACTH level	None
Adrenocortical abnormality	None
Low plasma renin activity	None
Suppressed plasma renin activity	None
Decreased circulating renin level	None
Decreased plasma renin activity	None
Syndrome of inappropriate antidiuretic hormone secretion	None
Inappropriate antidiuretic hormone secretion	None
Inappropriate ADH secretion	None
SIADH	None
Thyrotoxicosis with toxic multinodular goiter	None
Thyrotoxicosis with toxic multinodular goitre	None
Abnormality of endocrine pancreas physiology	None
Increased circulating renin level	None
Elevated blood renin level	None
Hyperreninemia	None
Increased serum renin	None
Increased plasma renin	None
Elevated plasma renin	None
Pituitary acidophilic stem cell adenoma	None
Abnormality of thyroid morphology	None
Abnormal thyroid morphology	None
Abnormal shape of thyroid gland	None
Follicular thyroid carcinoma	None
Hypoaldosteronism	None
Low blood aldosterone level	None
Mineralocorticoid insufficiency	None
Decreased circulating aldosterone level	None
Decreased aldosterone production	None
Decreased aldosterone	None
Decreased serum aldosterone	None
Parathyroid hypoplasia	None
Underdeveloped parathyroid glands	None
Small parathyroid glands	None
Abnormal pineal morphology	None
Abnormality of pineal morphology	None
Abnormality of thyroid physiology	None
Abnormal thyroid function	None
Pituicytoma	None
Pancreatic alpha-cell hyperplasia	None
Type 1 diabetes	None
Type I diabetes	None
Juvenile diabetes mellitus	None
Insulin-dependent diabetes mellitus	None
Diabetes mellitus Type I	None
Type I diabetes mellitus	None
Thyroid crisis	None
Pituitary gland atrophy	None
Atrophic pituitary gland	None
Atrophic pituitary	None
Overactive thyroid	None
Hyperthyroidism	None
Adrenocorticotropic hormone-resistant adrenal insufficiency	None
ACTHR defect	None
Adrenocorticotropin receptor defect	None
ACTH receptor defect	None
Decreased circulating cortisol level	None
Low to undetectable plasma cortisol	None
Low blood cortisol level	None
Plasma cortisol low	None
Glucocorticoid insufficiency	None
Decreased cortisol production	None
Hypocortisolemia	None
Hypocortisolism	None
Hypoandrogenism	None
Androgen insufficiency	None
Thyroid defect in oxidation and organification of iodide	None
Thyroid follicular hyperplasia	None
Absent TSH response to thyrotrophin-releasing hormone stimulation test	None
Hypogonadism, female	None
Female hypogonadism	None
Abnormal serum estradiol	None
Abnormal circulating osteocalcin level	None
Positive perchlorate discharge test	None
Increased circulating thyroxine level	None
Increased circulating T4 concentration	None
Increased circulating T4 level	None
Pulmonary carcinoid tumour	None
Lung carcinoid tumor	None
Lung carcinoid tumour	None
Pulmonary carcinoid tumor	None
Pseudohypoparathyroidism	None
Medullary thyroid cancer	None
Medullary thyroid carcinoma	None
Elevated circulating catecholamine level	None
Familial primary hyperaldosteronism type 2	None
Glucocortocoid-insensitive primary hyperaldosteronism	None
Reduced circulating growth hormone concentration	None
Adrenal gland dysplasia	None
Adrenal gland dysgenesis	None
Dysplastic adrenal glands	None
Glomus jugulare tumors	None
Glomus jugulare tumour	None
Glomus jugular tumor	None
Glomus jugular tumour	None
Glomus jugulare tumor	None
Glomus jugulare tumours	None
Adenohypophysis	None
Anterior pituitary dysgenesis	None
Decreased serum parathyroid hormone level	None
Decreased circulating parathyroid hormone level	None
Decreased circulating PTH level	None
Decreased serum PTH	None
Decreased serum parathyroid hormone	None
Abnormal response to CRH stimulation test	None
Abnormal response to corticotropin releasing hormone stimulation test	None
Neonatal hypoparathyroidism	None
Congenital hypoparathyroidism	None
Abnormal circulating pregnenolone concentration	None
Abnormality of circulating pregnenolone level	None
Adrenal hypoplasia	None
Hypoplastic adrenal glands	None
Small adrenal glands	None
Adrenal gland hypoplasia	None
Underdeveloped adrenal glands	None
Pituitary gland macroadenoma	None
Pituitary macroadenoma	None
Intestinal carcinoid	None
Abnormality of the pancreatic islet cells	None
Premature pubarche	None
Premature pubic hair growth	None
Multinodular goitre	None
Multinodular goiter	None
Decreased circulating androgen level	None
Decreased circulating androgen concentration	None
Thyroid dysgenesis	None
Thyroid dysplasia	None
Hyperinsulinemic hypoglycemia	None
Hyperinsulinemia hypoglycemia	None
Hyperinsulinaemic hypoglycaemia	None
Thymoma	None
Abnormal response to adrenocorticotropic-hormone stimulation test	None
Abnormal response to corticotropin stimulation test	None
Abnormal response to ACTH stimulation test	None
Diffuse pancreatic islet hyperplasia	None
Thymic hyperplasia	None
Thymus hyperplasia	None
Enlarged thymus	None
Microprolactinoma	None
Elevated circulating follicle stimulating hormone level	None
Elevated FSH level	None
Elevated follicle-stimulating hormone	None
Increased circulating follicle stimulating hormone level	None
Elevated follicle stimulating hormone	None
Elevated plasma follicle stimulating hormone	None
Increased circulating 17 hydroxypregnenolone concentration	None
Hyperparathyroidism	None
Elevated blood parathyroid hormone level	None
Elevated circulating reverse T3 concentration	None
Elevated circulating reverse triiodothyronine concentration	None
Elevated rT3	None
Large thyroid	None
Thyroid hyperplasia	None
Decreased pineal volume	None
Pituitary thyrotropinoma	None
Pituitary thyrotropic cell adenoma	None
Decreased circulating androstenedione concentration	None
Maternal diabetes	None
maternal hyperglycemia	None
gestational diabetes	None
Delayed adrenarche	None
Thyroid carcinoma	None
Tympanic nerve tumour	None
Tympanic nerve tumors	None
Glomus tympanicum paraganglioma	None
Tympanic nerve tumours	None
Tympanic nerve tumor	None
Thyrotoxicosis from ectopic thyroid tissue	None
Adrenal neoplasia	None
Neoplasm of the adrenal gland	None
Abnormal TSH response to TRH stimulation test	None
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	None
Hypogonadism	None
Decreased activity of gonads	None
Pseudoepiphysis of the thumb	None
Pseudoepiphyses of the thumb	None
Metaphyseal dysplasia	None
Abnormal metaphysis morphology	None
Abnormality of the wide portion of a long bone	None
Joint contractures of the 3rd toe	None
Flexion contracture of 3rd toe	None
Broken hand bones	None
Fractured hand bones	None
Bracket shaped end part of finger bones	None
Bracket epiphyses of the phalanges of the hand	None
Bracket epiphyses of the fingers	None
Osteolytic defects of the proximal phalanges of the toes	None
Osteolytic defect of the proximal toe phalanx	None
Short neck of thighbone	None
Short femoral neck	None
Hypoplasia of the femoral neck	None
Short femoral necks	None
Hypoplastic femoral neck	None
Dermatoglyphic variants	None
Cutis gyrata of palms and soles	None
Palmoplantar cutis gyrata	None
Unilateral ulnar hypoplasia	None
Sclerosis of the distal phalanx of the 2nd finger	None
Increased bone density in the outermost bone of the index finger	None
Delayed maturation of the trapezoid bone	None
Delayed ossification of the trapezoid bone	None
Osteoporotic metatarsal	None
Fused middle bones of toes	None
Symphalangism affecting the middle phalanges of the toes	None
Wide shaft of long bone in upper arm	None
Broad shaft of long bone in upper arm	None
Broad humeral diaphysis	None
Wide humeral diaphysis	None
Displaced hand or fingers of the hand	None
Deviation of the hand or of fingers of the hand	None
Areflexia of brachioradialis	None
Brachioradialis areflexia	None
Irregular innermost shinbone end part	None
Irregular proximal tibial epiphyses	None
Irregular innermost shankbone end part	None
Limb girdle weakness	None
Muscle weakness, limb-girdle	None
Muscular weakness, limb-girdle	None
Limb-girdle muscle weakness	None
Bracket shaped end part of the innermost bone of 4th toe	None
Bracket epiphysis of the proximal phalanx of the 4th toe	None
Irregular, rachitic-like metaphyses	None
Partial duplication of the middle phalanx of the 3rd finger	None
Partial duplication of the middle bone of the 3rd finger	None
Speckled calcification in metaphysis of long bone of upper arm	None
Stippled calcification of humeral metaphysis	None
Uneven increase in bone density in the middle bone of the middle finger	None
Patchy sclerosis of the middle phalanx of the 3rd finger	None
Absent end part of innermost long bone of index finger	None
Absent epiphysis of the proximal phalanx of the 2nd finger	None
Back knee	None
Genu recurvatum	None
Genu recurvata	None
Knee hyperextension	None
Exostoses of the radial metaphysis	None
Aplasia/Hypoplasia of the distal phalanx of the 5th finger	None
Absent/small outermost bone of pinkie finger	None
Absent/small outermost bone of little finger	None
Absent/small outermost bone of pinky finger	None
Absent/underdeveloped outermost bone of pinky finger	None
Pseudoepiphysis of the distal phalanx of the 4th toe	None
Palmar pits	None
Thin metacarpal cortices	None
Spurs of radial diaphysis	None
Triangular epiphyses of the distal phalanges of the hand	None
Triangular end part of the outermost hand bones	None
Slender toe	None
Narrow toe	None
Streaky metaphyseal sclerosis	None
Streak increase in bone density in wide portion of wide bone	None
Abnormality of limb bone	None
Triangular end part of thumb innermost long bone	None
Triangular epiphysis of the proximal phalanx of the thumb	None
Brachytelephalangy	None
Shortening of all outermost bones of the fingers	None
Shortening of all distal phalanges of the fingers	None
Fractured proximal phalanx of digit 3	None
bone proximal phalanx of digit 3	None
Foot dorsiflexor weakness	None
Inability to heel walk	None
Inability to walk on heels	None
Foot drop	None
Foot extensor weakness	None
Footdrop	None
Angulated humerus	None
Angulated long bone in upper arm	None
Increased bone density in ring finger bone	None
Sclerosis of 4th finger phalanx	None
Sclerosis of the phalanges of the 4th finger	None
Absent epiphyses of the proximal phalanges of the hand	None
Absent end part of the innermost hand bones	None
Short to absent middle phalanges	None
Absent/small middle finger bone of the hand	None
Hypoplastic/aplastic middle phalanx	None
Absent/hypoplastic middle phalanges	None
Short/absent middle phalanges	None
Aplastic/hypoplastic middle phalanges	None
Absent/underdeveloped middle finger bone of the hand	None
Aplasia/Hypoplasia of the middle phalanges of the hand	None
Aplasia/hypoplasia of middle phalanges	None
Postaxial oligodactyly	None
Unequal size of arms	None
Upper limb asymmetry	None
Thickened Achilles tendon	None
Partial absence of finger	None
Foot joint contracture	None
Joint contractures involving the joints of the feet	None
Contractures involving the joints of the feet	None
Contractures of the foot joints	None
Spurring of tibiae	None
Tibial spur	None
Type A2 brachydactyly	None
Short index fingers and second toes	None
Aplasia/Hypoplasia of the 3rd metacarpal	None
Absent/small 3rd long bone of hand	None
Absent/underdeveloped 3rd long bone of hand	None
Clubbing of toes	None
Clubbed toes	None
Abnormality of the 2nd finger	None
Abnormality of index finger	None
Abnormal 2nd finger morphology	None
Small end part of innermost long bone of the middle finger	None
Small epiphysis of the proximal phalanx of the 3rd finger	None
Absent forearm bones	None
Aplasia involving forearm bones	None
Bilateral wrist flexion contracture	None
Bilateral wrist contracture	None
Abnormal palm morphology	None
Abnormality of the palm	None
Osteolytic defects of the phalanges of the 2nd toe	None
Anterior dislocation of radial head	None
Anterior radial head dislocation	None
Increased bone density in middle finger bone of hand	None
Sclerosis of middle finger phalanx	None
Sclerosis of the middle phalanges of the hand	None
Fractured epiphysis of fourth metacarpal bone	None
bone epiphysis of fourth metacarpal bone	None
Chess-pawn distal phalanges	None
Chess-pawn shaped outermost bone	None
Acroosteolysis	None
Osteolytic defects of the phalanges of the hand	None
Breakdown of small bones of fingers	None
Acro-osteolysis	None
Radial deviation of the ring finger	None
Radial deviation of the 4th finger	None
Absent epiphysis of the 1st metacarpal	None
Absent end part of the 1st long bone of hand	None
Bracket epiphyses of the 2nd toe	None
Bracket shaped end part of 2nd toe bone	None
Fractured phalanx of manus	None
bone phalanx of manus	None
Small finger	None
Absent 5th metatarsals	None
Aplasia of the fifth metatarsal bone	None
Absent fifth metatarsal	None
Absent 5th long bone of foot	None
Short middle phalanx of the second toe	None
Short middle 2nd toe bone	None
Short middle phalanx of the 2nd toe	None
Hypoplastic/small middle phalanx of the 2nd toe	None
Hypoplastic/small middle phalanx of ring finger	None
Short middle phalanx of ring finger	None
Short middle bone of 4th finger	None
Hypoplastic/small middle phalanx of the 4th finger	None
Brachymesophalangy IV (finger)	None
Short middle phalanx of the 4th finger	None
Irregular epiphysis of the distal phalanx of the 5th toe	None
Irregular end part of the outermost bone of the pinky toe	None
Irregular end part of the outermost bone of the pinkie toe	None
Irregular end part of the outermost bone of the little toe	None
Absent or hypoplastic patellae	None
Absent/underdeveloped kneecap	None
Aplasia/Hypoplasia of the patella	None
Patellar aplasia/hypoplasia	None
Hypoplastic or absent patella	None
Absent/small kneecap	None
Absent/hypoplastic patella	None
Small to absent patellae	None
Aplastic or hypoplastic patellae	None
Flattened radial head	None
Triangular shaped bones of big toe	None
Triangular shaped phalanges of the hallux	None
Areflexia, lower limbs	None
Absent lower limb tendon reflexes	None
Areflexia of lower limbs	None
Areflexia in lower limbs	None
Areflexia of the lower limbs	None
Bullet-shaped distal phalanx of the hallux	None
Bullet-shaped outermost bone of big toe	None
Osteolytic defects of the proximal phalanx of the 2nd toe	None
Curved outermost bone of the pinkie toe	None
Curved outermost bone of the little toe	None
Curved distal phalanx of the 5th toe	None
Curved outermost bone of the pinky toe	None
Pseudarthrosis of the radius	None
Partial duplication of the innermost bone of 4th toe	None
Partial duplication of the proximal phalanx of the 4th toe	None
Small epiphyses of the 2nd toe	None
Small end part of the 2nd toe bone	None
Absent/underdeveloped 2nd toe	None
Absent/small 2nd toe	None
Aplasia/Hypoplasia of the 2nd toe	None
Second metatarsal posteriorly placed	None
Patchy sclerosis of the middle phalanx of the 4th toe	None
Uneven increase in bone density in middle bone of the 4th toe	None
Flattened proximal radial epiphyses	None
Triangular epiphyses of the middle phalanges of the hand	None
Triangular end part of the middle hand bones	None
Stippling of thumb epiphysis	None
Speckled calcifications in end part of thumb bone	None
Stippling of the epiphyses of the thumb	None
Aplasia/Hypoplasia of the musculature of the thigh	None
Absent/underdeveloped thigh muscles	None
Absent/small thigh muscles	None
Small end part of outermost thighbone	None
Small distal femoral epiphysis	None
Triangular end part of the big toe bone	None
Triangular epiphyses of the hallux	None
Talipes foot deformities	None
Talipes	None
Abnormality of the proximal radial epiphysis	None
Hyporeflexia of upper limbs	None
Abnormal maturation of long bone in upper arm	None
Abnormal humeral ossification	None
Premature fusion of end part of digital bone	None
Premature fusion of phalangeal epiphyses	None
Central hand polydactyly	None
Mesoaxial hand polydactyly	None
Interdigital finger polydactyly	None
Fused bones in the little toe	None
Fused bones in the pinky toe	None
Fused bones in the pinkie toe	None
Symphalangism affecting the phalanges of the 5th toe	None
Overgrowth of innermost part of calf bone	None
Proximal fibular overgrowth	None
Complete duplication of the innermost bone of big toe	None
Complete duplication of the proximal phalanx of the hallux	None
Abnormal metaphyseal vascular invasion	None
Osteolytic defects of the phalanges of the toes	None
Irregular epiphysis of the middle phalanx of the 3rd toe	None
Irregular end part of the middle bone of the 3rd toe	None
Increased bone density in the innermost bone of the little toe	None
Increased bone density in the innermost bone of the pinky toe	None
Increased bone density in the innermost bone of the pinkie toe	None
Sclerosis of the proximal phalanx of the 5th toe	None
Dupuytren contracture	None
Abnormal ulnar epiphysis morphology	None
Abnormality of the epiphyseal plate of the ulna	None
Abnormality of the ulnar epiphyses	None
Osseous syndactyly of the toes	None
Osseous syndactyly of toes	None
Lytic defects of middle index finger phalanx	None
Osteolytic defects of the middle phalanx of the 2nd finger	None
Enlarged epiphyses of the 2nd toe	None
Enlarged end part of the 2nd toe bone	None
Distal finger flexion creases absent	None
Aplasia of the distal interphalangeal creases	None
Absent distal interphalangeal creases	None
Absence of skin creases over distal interphalangeal joints	None
Displacement of the 4th toe	None
Deviation of the 4th toe	None
Polysyndactyly of great toe	None
Polysyndactyly of big toe	None
Polysyndactyly of hallux	None
Fractured metatarsal bone of digit 1	None
bone metatarsal bone of digit 1	None
Laterally displaced femoral heads	None
Lateral displacement of the femoral head	None
Complete duplication of the 2nd toe bones	None
Complete duplication of the phalanges of the 2nd toe	None
Frayed humeral metaphyses	None
Increased bone density in big toe bone	None
Sclerosis of the phalanges of the hallux	None
Sclerosis of hallux phalanx	None
Digital clubbing	None
Clubbing	None
Clubbing of fingers and toes	None
Bullet-shaped middle phalanx of the 4th finger	None
Bullet-shaped middle bone of the 4th finger	None
Cone-shaped epiphyses of the 2nd finger	None
Cone-shaped end part of the index finger	None
Flared lower limb metaphysis	None
Flared metaphysis of lower limb bone	None
Drumstick shaped digital bones	None
Drumstick terminal phalanges	None
Small end part of the innermost long bone of index finger	None
Small epiphysis of the middle phalanx of the 2nd finger	None
Small proximal phalanx of big toe	None
Short proximal phalanges of halluces	None
Short proximal phalanx of hallux	None
Hypoplastic proximal phalanx of the hallux	None
Small proximal phalanx of hallux	None
Short innermost big toe bone	None
Short proximal phalanx of halluces	None
Abnormality of toe	None
Abnormalities of the toes	None
Fragmentation of the epiphyses of the 4th toe	None
Fragmentation of the end part of the 4th toe bone	None
Symphalangism of middle phalanx of 3rd finger	None
Fused middle bone of middle finger	None
Camptodactyly of middle finger	None
Joint contracture of the 3rd finger	None
Shortening of all proximal phalanges of the fingers	None
Shortening of all innermost bones of the fingers	None
Accessory lunate	None
Duplication of the middle phalanx of the 5th finger	None
Partial/complete duplication of the middle phalanx of the 5th finger	None
Duplication of the middle little finger bone	None
Duplication of the middle pinky finger bone	None
Duplication of the middle pinkie finger bone	None
Bone-in-a-bone appearance of forearm	None
Short palm	None
Hypoplastic hands	None
Short palms	None
Short hands	None
Palmar edema	None
Palmar oedema	None
Ganglion cyst of the wrist	None
Wrist ganglion	None
Plantar crease between first and second toes	None
Partial duplication of the distal phalanx of the fourth toe	None
Partial duplication of the outermost bone of the fourth toe	None
Partial duplication of the distal phalanx of the 4th toe	None
Pointed ulnar metaphysis	None
Absent/underdeveloped innermost ring finger bone	None
Absent/small innermost ring finger bone	None
Aplasia/Hypoplasia of the proximal phalanx of the 4th finger	None
Lytic defects of the phalanges of the little finger	None
Osteolytic defects of the phalanges of the 5th finger	None
Disproportionate shortening of the shinbone	None
Disproportionate shortening of the tibia	None
Marked shortening of tibia	None
Disproportionate shortening of the shankbone	None
Notched thumb bone	None
Bifid proximal phalanx of the thumb	None
3-5 finger syndactyly	None
Webbed third, fourth and fifth toes	None
Duplication of the middle bones of hand	None
Duplication of the middle phalanx of hand	None
Partial/complete duplication of the middle phalanges of the hand	None
Absent middle phalanges	None
Missing middle phalanges	None
Absent middle bones of hand	None
Aplasia of the middle phalanx of the hand	None
Proximal phalangeal periosteal thickening	None
Thickening of connective tissue of innermost finger bone	None
Bifid distal phalanges of toes	None
Notched outermost bones of toes	None
Bifid terminal phalanx of toe	None
Bifid distal phalanx of toe	None
Hyporeflexia of biceps	None
Biceps hyporeflexia	None
Partial/complete duplication of phalanges of the 5th finger	None
Partial/complete duplication of pinky finger bone	None
Duplication of phalanx of 5th finger	None
Partial/complete duplication of pinkie finger bone	None
Partial/complete duplication of little finger bone	None
Nonepidermolytic palmoplantar keratoderma	None
Nonepidermolytic palmoplantar hyperkeratosis	None
Tibial bowing	None
Bowed tibia	None
Bowing of the tibia	None
Bowed shinbone	None
Bowed shankbone	None
Short proximal phalanx of thumb	None
Short proximal phalanges of thumb	None
Hypoplastic/small proximal phalanx of the thumb	None
Short proximal thumb phalanx	None
Short proximal thumb bone	None
1-4 toe syndactyly	None
Webbed first through fourth toes	None
Abnormality of the phalanges of the 5th finger	None
Abnormality of the pinky finger bone	None
Abnormality of the little finger bone	None
Abnormality of the pinkie finger bone	None
Abnormal 5th finger phalanx morphology	None
Absent innermost toe bones	None
Aplasia of the proximal phalanges of the toes	None
Enlargement of the ankles	None
Enlarged end part of the little toe bone	None
Enlarged end part of the pinkie toe bone	None
Enlarged epiphyses of the 5th toe	None
Enlarged end part of the pinky toe bone	None
hallucal symphalangism	None
Symphalangism affecting the phalanges of the hallux	None
Fused big toe bones	None
Abnormality of the 5th long bone of foot	None
Abnormality of the fifth metatarsal bone	None
Fragmentation of the epiphyses of the hallux	None
Fragmentation of the end part of the big toe bone	None
Peromelia	None
Delayed elbow epiphyseal ossification	None
