Abnormality of body height	HP:0000002
Birth length greater than 97th percentile	HP:0003517
Disproportionate short-trunked short stature	HP:0003521
Disproportionate short-trunk short stature	HP:0003521
Short-trunked dwarfism	HP:0003521
Disproportionate short-trunked dwarfism	HP:0003521
Birth length less than 3rd percentile	HP:0003561
Birth length <3rd percentile	HP:0003561
Birth length < 3rd percentile	HP:0003561
Eunuchoid habitus	HP:0003782
Height less than 3rd percentile	HP:0004322
Stature below 3rd percentile	HP:0004322
Short stature	HP:0004322
Small stature	HP:0004322
Decreased body height	HP:0004322
Abnormality of body weight	HP:0004323
Abnormality of habitus	HP:0004323
Weight gain	HP:0004324
Increased body weight	HP:0004324
Weight less than 3rd percentile	HP:0004325
Decreased weight	HP:0004325
Low body weight	HP:0004325
Low weight	HP:0004325
Decreased body weight	HP:0004325
Wasting syndrome	HP:0004326
Cachexia	HP:0004326
Rhizomelic arm shortening	HP:0004991
Mesomelic/rhizomelic limb shortening	HP:0005026
Rhizo-meso-acromelic limb shortening	HP:0005069
Short stature, mesomelic	HP:0008845
Dwarfism, short limb mesomelic	HP:0008845
Short stature, disproportionate mesomelic	HP:0008845
Mesomelic dwarfism	HP:0008845
Mesomelic short stature	HP:0008845
Intrauterine growth retardation, severe	HP:0008846
Severe prenatal growth deficiency	HP:0008846
Severe intrauterine growth retardation	HP:0008846
Short stature, moderate	HP:0008848
Moderate short stature	HP:0008848
Moderately short stature	HP:0008848
Severe postnatal growth retardation	HP:0008850
Severe postnatal growth deficiency	HP:0008850
Severe postnatal growth failure	HP:0008850
Severe growth delay in children	HP:0008850
Marked growth retardation	HP:0008850
Moderate postnatal growth retardation	HP:0008855
Moderate growth delay in children	HP:0008855
Short-trunk dwarfism identifiable at birth	HP:0008857
Neonatal short-trunk short stature	HP:0008857
Faltering weight secondary to recurrent infections	HP:0008866
Weight faltering secondary to recurrent infections	HP:0008866
Failure to thrive secondary to recurrent infections	HP:0008866
Short-limb dwarfism	HP:0008873
Short stature, disproportionate short-limb	HP:0008873
Short limb dwarfism	HP:0008873
Short limb dwarfism, disproportionate	HP:0008873
Brachymelic dwarfism	HP:0008873
Disproportionate short limb dwarfism	HP:0008873
Short-limbed dwarfism	HP:0008873
Short stature, disproportionate short limb	HP:0008873
Micromelic dwarfism	HP:0008873
Dwarfism, short-limbed	HP:0008873
Disproportionate short-limb short stature	HP:0008873
Mild intrauterine growth retardation	HP:0008883
Mild prenatal growth deficiency	HP:0008883
Severe short-limb dwarfism	HP:0008890
Postnatal growth retardation	HP:0008897
Postnatal growth failure	HP:0008897
Growth retardation as children	HP:0008897
Postnatal growth deficiency	HP:0008897
Growth delay as children	HP:0008897
Postnatal growth deceleration	HP:0008897
Disproportionately short upper portion of limb	HP:0008905
Rhizomelic dwarfism	HP:0008905
Short stature, rhizomelic	HP:0008905
Rhizomelia	HP:0008905
Rhizomelic short limbs	HP:0008905
Rhizomelic limb shortening	HP:0008905
Rhizomelic short stature	HP:0008905
Rhizomelic shortening	HP:0008905
Symmetrical rhizomelic limb shortening	HP:0008905
Lethal short-limbed short stature	HP:0008909
Lethal micromelic dwarfism	HP:0008909
Lethal short-limbed dwarfism	HP:0008909
Childhood-onset truncal obesity	HP:0008915
Truncal obesity apparent in childhood	HP:0008915
Dwarfism, neonatal short-limbed	HP:0008921
Short limb dwarfism recognisable at birth	HP:0008921
Short-limb dwarfism identifiable neonatally	HP:0008921
Neonatal short-limbed dwarfism	HP:0008921
Short-limb dwarfism identifiable at birth	HP:0008921
Neonatal short-limb short stature	HP:0008921
Short-limbed dwarfism identifiable at birth	HP:0008921
Short limb dwarfism recognizable at birth	HP:0008921
Disproportionate short-trunk short stature, identifiable in childhood	HP:0008922
Childhood-onset short-trunk short stature	HP:0008922
Short-trunk dwarfism identifiable during childhood	HP:0008922
Asymmetric short stature	HP:0008929
Lethal short-trunk dwarfism	HP:0011404
Lethal short-trunk short stature	HP:0011404
Childhood onset short-limb short stature	HP:0011405
Short-limb dwarfism identifiable during childhood	HP:0011405
Short-trunk dwarfism, identifiable in infancy	HP:0011406
Infancy onset short-trunk short stature	HP:0011406
Proportionate tall stature	HP:0011407
Moderate intrauterine growth retardation	HP:0011408
Right atrial isomerism	HP:0011536
Left atrial isomerism	HP:0011537
Abnormality of abdominal situs	HP:0011620
Rhizomelic leg shortening	HP:0012106
Delayed start of first period	HP:0012569
Delayed menarche	HP:0012569
Central obesity	HP:0012743
Abdominal obesity	HP:0012743
Abnormal upper to lower segment ratio	HP:0012772
Reduced upper to lower segment ratio	HP:0012773
Increased upper to lower segment ratio	HP:0012774
Delayed adrenarche	HP:0025453
Obesity grade 1	HP:0025499
Class I obesity	HP:0025499
Obesity grade 2	HP:0025500
Class II obesity	HP:0025500
Obesity grade 3	HP:0025501
Class III obesity	HP:0025501
Overweight	HP:0025502
Delayed thelarche	HP:0025515
Increased body fat percentage	HP:0025521
Heterotaxy	HP:0030853
Heterotaxia	HP:0030853
Absent pubertal growth spurt	HP:0031087
Absent adolescent growth spurt	HP:0031087
Increased body mass index	HP:0031418
Increased BMI	HP:0031418
Bronchial isomerism	HP:0031564
Abdominal situs ambiguus	HP:0031565
Abnormal waist to hip ratio	HP:0031818
Increased waist-to-hip ratio	HP:0031819
Increased WHR	HP:0031819
Increased waist-hip ratio	HP:0031819
Increased waist to hip ratio	HP:0031819
Decreased WHR	HP:0031820
Decreased waist to hip ratio	HP:0031820
Decreased waist-to-hip ratio	HP:0031820
Decreased waist-hip ratio	HP:0031820
Isomerism	HP:0031853
Left Isomerism	HP:0031854
Left-sided isomerism	HP:0031854
Right-sided isomerism	HP:0031855
Right isomerism	HP:0031855
Abnormal skinfold thickness measurement	HP:0033170
Abnormal triceps skinfold thickness	HP:0033171
Increased triceps skinfold thickness	HP:0033172
Acral enlargement	HP:0033794
Acral hypertrophy	HP:0033794
Acromegalic growth	HP:0033794
Acromegaly	HP:0033794
Acral overgrowth	HP:0033794
Growth without growth hormone	HP:0033795
Decreased body fat percentage	HP:0041079
Decreased adipose tissue percentage	HP:0041079
Abnormal body mass index	HP:0045081
Abnormality of body mass index	HP:0045081
Abnormal BMI	HP:0045081
Decreased body mass index	HP:0045082
Decreased BMI	HP:0045082
Hemihypertrophy of lower limb	HP:0100553
Overgrowth of one leg	HP:0100553
Hemihypertrophy of upper limb	HP:0100554
Overgrowth of one arm	HP:0100554
Asymmetric growth	HP:0100555
Uneven or disproportionate growth of one body part compared to another	HP:0100555
Asymmetric limb shortening	HP:0100556
Hemiatrophy	HP:0100556
Hemiatrophy of the body	HP:0100556
Hemiatrophy of lower limb	HP:0100557
Asymmetric lower limb shortening	HP:0100557
Asymmetric upper limb shortening	HP:0100558
Hemiatrophy of upper limb	HP:0100558
Hemihypotrophy of upper limb	HP:0100558
Lower limb asymmetry	HP:0100559
Leg length discrepancy	HP:0100559
Left and right leg differ in length or width	HP:0100559
Unequal size of arms	HP:0100560
Upper limb asymmetry	HP:0100560
Hemihypotrophy of lower limb	HP:0200053
Asymmetric leg shortening	HP:0200053
Asymmetric lower limb shortness	HP:0200053
Hypoinsulinemia	None
Insulin-resistant diabetes mellitus at puberty	None
Abnormality of circulating corticosterone level	None
Abnormal circulating corticosterone level	None
Pituitary gland macroadenoma	None
Pituitary macroadenoma	None
Increased circulating renin level	None
Elevated blood renin level	None
Hyperreninemia	None
Increased serum renin	None
Increased plasma renin	None
Elevated plasma renin	None
Euthyroid goitre	None
Euthyroid goiter	None
Abnormality of circulating cortisol level	None
Thyroid carcinoma	None
Medullary thyroid cancer	None
Medullary thyroid carcinoma	None
Abnormal response to adrenocorticotropic-hormone stimulation test	None
Abnormal response to corticotropin stimulation test	None
Abnormal response to ACTH stimulation test	None
Beta-cell dysfunction	None
Mineralocorticoid excess	None
Elevated plasma aldosterone	None
Increased aldosterone	None
Increased aldosterone production	None
Hyperaldosteronism	None
Small adrenal cortex	None
Adrenocortical hypoplasia	None
ACTH-dependent hypercortisolemia	None
Secondary hypercortisolism	None
Elevated circulating catecholamine level	None
Abnormal gonadotropin-releasing hormone concentration	None
Abnormality of gonadotropin-releasing hormone level	None
Abnormality of GnRH level	None
Prolactinoma	None
Hypoaldosteronism	None
Low blood aldosterone level	None
Mineralocorticoid insufficiency	None
Decreased circulating aldosterone level	None
Decreased aldosterone production	None
Decreased aldosterone	None
Decreased serum aldosterone	None
Ectopic neurohypophysis	None
Ectopic posterior pituitary	None
Multinodular goitre	None
Multinodular goiter	None
Impaired growth-hormone response to glucagon stimulation test	None
Noncancerous tumour in pituitary gland	None
Pituitary gland adenoma	None
Noncancerous tumor in pituitary gland	None
Pituitary adenoma	None
Corticotropin-secreting pituitary adenoma	None
ACTH-producing pituitary adenoma	None
Pituitary corticotropic cell adenoma	None
Parathyroid Cancer	None
Parathyroid carcinoma	None
Abnormal plasma renin	None
Abnormal circulating renin	None
Prolactin-secreting pituitary adenoma	None
Pituitary prolactin cell adenoma	None
Pituitary prolactinoma	None
Hyperinsulinemia	None
Elevated insulin level	None
Abnormal circulating androgen level	None
Anaplastic thyroid carcinoma	None
Thyroid defect in oxidation and organification of iodide	None
Primary hyperparathyroidism	None
Abnormal Ca2+ PO4 regulating hormone level	None
Abnormal Ca-PHOS regulating hormone level	None
Abnormal calcium-phosphate regulating hormone level	None
Atypical pulmonary carcinoid tumour	None
Atypical pulmonary carcinoid tumor	None
Pheochromocytomas, adrenal	None
Adrenal pheochromocytoma	None
Pheochromocytoma, adrenal	None
Abnormal adiponectin level	None
Pituitary acidophilic stem cell adenoma	None
Compensated hypothyroidism	None
Mild hypothyroidism	None
Subclinical hypothyroidism	None
Parathyroid absence	None
Parathyroid agenesis	None
Parathyroid aplasia	None
Adrenal abnormalities	None
Abnormality of the adrenal glands	None
Adrenal gland disease	None
Decreased circulating cortisol level	None
Low to undetectable plasma cortisol	None
Low blood cortisol level	None
Plasma cortisol low	None
Glucocorticoid insufficiency	None
Decreased cortisol production	None
Hypocortisolemia	None
Hypocortisolism	None
Isosexual precocious puberty	None
Abnormality of adrenal physiology	None
TSH deficient hypothyroidism	None
Pituitary hypothyroidism	None
Secondary hypothyroidism	None
Thyrotropin deficiency	None
Low thyroid gland function due to abnormal pituitary gland	None
Thyroid stimulating hormone deficiency	None
Congenital hypothyroidism	None
Underactive thyroid gland from birth	None
Hypothyroidism, congenital	None
Endocrine neoplasia	None
Neoplasm of the endocrine system	None
Abnormality of circulating catecholamine level	None
Catecholamine levels abnormal	None
Increased circulating progesterone	None
Abnormal pineal morphology	None
Abnormality of pineal morphology	None
Abnormal glucagon level	None
Gonadotropin deficiency	None
Pituitary gonadotropin deficiency	None
Abnormal serum estradiol	None
Congenital adrenal hyperplasia	None
Small pituitary gland	None
Abnormal endocrine morphology	None
Pancreatic alpha-cell hyperplasia	None
Increased circulating procalcitonin level	None
Increased circulating procalcitonin concentration	None
Pulmonary paraglioma	None
Thyroid follicular adenoma	None
Abnormal luteinizing hormone level	None
Increased circulating lutropin	None
Abnormal circulating luteinizing hormone concentration	None
Abnormal circulating luteinizing hormone level	None
Thyrotoxicosis from ectopic thyroid tissue	None
Absent pituitary gland	None
Aplasia of the pituitary gland	None
Anterior pituitary agenesis	None
Elevated calcitonin	None
Thyroid dysgenesis	None
Thyroid dysplasia	None
Abnormality of the pineal gland	None
Decreased plasma testosterone-to-androstenedione ratio	None
Decreased gonadotropin-stimulated testosterone-to-androstenedione ratio	None
Hypoplasia of the pituitary gland	None
Underdeveloped pituitary gland	None
Anterior pituitary hypoplasia	None
Euthyroid multinodular goiter	None
Euthyroid multinodular goitre	None
Puberty and gonadal disorders	None
Adenohypophysis	None
Anterior pituitary dysgenesis	None
Abnormality of the thymus	None
Diffuse pancreatic islet hyperplasia	None
Glomus jugulare tumors	None
Glomus jugulare tumour	None
Glomus jugular tumor	None
Glomus jugular tumour	None
Glomus jugulare tumor	None
Glomus jugulare tumours	None
Abnormal size of pituitary gland	None
Ectopic anterior pituitary gland	None
Elevated circulating rT3/T3 ratio	None
Increased circulating 18-hydroxycortisone level	None
Decreased circulating free T3	None
Decreased circulating free triiodothyronine	None
Non-secretory adrenal adenoma	None
Non-secretory adrenocortical adenoma	None
Pancreatic islet-cell hyperplasia	None
Hyperplastic islets of langerhans	None
Hypertrophic pancreatic islets	None
Pancreatic islet-cell hypertrophy	None
Islets of langerhans hypertrophy	None
Islet of Langerhans hyperplasia	None
Abnormal TSH response to TRH stimulation test	None
Abnormal TSH response to thyrotrophin-releasing hormone stimulation test	None
Abnormality of the parathyroid gland	None
Parathyroid disease	None
Abnormality of thyroid morphology	None
Abnormal thyroid morphology	None
Abnormal shape of thyroid gland	None
Increased LH response to gonadotropin-releasing hormone stimulation test	None
Neoplasm of the anterior pituitary	None
Neoplasm of the adenohypophysis	None
Neoplasm of the pars anterior	None
Elevated circulating parathyroid hormone level	None
Elevated circulating PTH level	None
Elevated serum parathyroid hormone level	None
Elevated serum parathyroid hormone	None
Increased serum parathyroid hormone	None
Elevated serum pth	None
Pineal cyst	None
Pituicytoma	None
Increased serum estrone	None
Focal pancreatic islet hyperplasia	None
Chronic lymphocytic thyroiditis	None
Hashimoto thyroiditis	None
Hashimoto's thyroiditis	None
Increased serum estriol	None
Increased circulating androstenedione concentration	None
Increased serum androstenedione	None
Abnormal urine hormone level	None
Abnormality of urine hormone level	None
Decreased circulating free T4 level	None
Decreased circulating free T4 concentration	None
Uninodular goitre	None
Uninodular goiter	None
Increased serum serotonin	None
Paradoxical increased cortisol secretion on dexamethasone suppression test	None
Chemodectoma	None
Chemodectomas	None
Reduced circulating growth hormone concentration	None
Primary hypogonadism	None
Hypergonadotropic hypogonadism	None
Hypergonadotrophic hypogonadism	None
Thyroid goitre	None
Enlarged thyroid gland in neck	None
Goitre	None
Thyroid goiter	None
Goiter	None
Elevated gastrin in the blood	None
Hypergastrinemia	None
Increased blood gastrin	None
Pubertal developmental failure in females	None
Neoplasm of the adrenal medulla	None
Medullar adrenal neoplasia	None
Decreased adiponectin level	None
Abnormal circulating gonadocorticoid concentration	None
Abnormal circulating gonadal steroid concentration	None
Abnormal circulating sex steroid concentration	None
Abnormal circulating sex hormone concentration	None
Elevated circulating insulin:C-peptide ratio	None
Hyperparathyroidism	None
Elevated blood parathyroid hormone level	None
Pulmonary carcinoid tumour	None
Lung carcinoid tumor	None
Lung carcinoid tumour	None
Pulmonary carcinoid tumor	None
Overactive thyroid	None
Hyperthyroidism	None
Abnormality of the parathyroid physiology	None
Parathyroid dysfunction	None
Parathyroid issue	None
Abnormal circulating gonadotropin concentration	None
Abnormal circulating gonadotropin level	None
Reduced circulating leptin level	None
Decreased serum leptin	None
Insulinoma	None
Pancreatic insulinoma	None
Central hypothyroidism	None
Enlarged pituitary gland	None
Congenital adrenal gland hypoplasia	None
Congenital adrenal hypoplasia	None
Impaired growth hormone secretory responses after growth hormone-releasing hormone challenge	None
Decreased growth hormone responses to growth hormone-releasing hormone challenge	None
Decreased circulating ACTH level	None
Decreased serum testosterone level	None
Decreased testosterone	None
Low serum testosterone level	None
Decreased serum testosterone levels	None
Decreased serum testosterone concentration	None
Low serum testosterone levels	None
Increased pituitary glycoprotein polypeptide alpha subunit level	None
Increased pituitary glycoprotein alpha subunit level	None
Increased pituitary glycoprotein hormone alpha subunit level	None
Decreased T3/T4 ratio	None
Elevated circulating leptin level	None
Increased serum leptin	None
Abnormal thryoid location	None
Ectopic thyroid	None
Aberrant thyroid	None
Ectopic thyroid gland	None
Aberrant thyroid gland	None
Heteropic thyroid gland	None
Increased radioactive iodine uptake	None
Nephrogenic diabetes insipidus	None
Adrenal gland dysplasia	None
Adrenal gland dysgenesis	None
Dysplastic adrenal glands	None
Hypogonadotropic hypogonadism	None
Hypogonadotrophic hypogonadism	None
Low gonadotropins (secondary hypogonadism)	None
Isolated hypogonadotropic hypogonadism	None
Decreased circulating corticosterone level	None
Abnormality of the neurohypophysis	None
Abnormality of the posterior pituitary	None
Reduce response to GnRH stimulation test	None
Reduced response to gonadotropin-releasing hormone stimulation test	None
Neoplasm of the pituitary gland	None
Enlarged adrenal glands	None
Adrenal hyperplasia	None
Decreased circulating T4 level	None
Decreased circulating T4 concentration	None
Decreased circulating thyroxine level	None
Reduced T4 plasma level	None
Increased serum oestradiol	None
Increased estradiol level	None
Increased serum estradiol	None
Thyrotoxicosis with diffuse goitre	None
Thyrotoxicosis with diffuse goiter	None
Decreased circulating osteocalcin level	None
Abnormality of circulating leptin level	None
Abnormal circulating leptin concentration	None
Increased thyroid-stimulating hormone level	None
Increased serum thyroid-stimulating hormone	None
Thyroid-stimulating hormone excess	None
High TSH	None
Increased thyroid-stimulating hormone	None
Elevated circulating thyroid-stimulating hormone concentration	None
Increased thyrotropin level	None
Elevated thyroid stimulating hormone	None
Elevated thyroid stimulating hormone levels	None
TSH excess	None
Adrenal neoplasia	None
Neoplasm of the adrenal gland	None
Pseudohypoparathyroidism	None
Tertiary hyperparathyroidism	None
Elevated circulating erythropoietin concentration	None
Elevated circulating erythropoietin	None
Neonatal insulin-dependent diabetes mellitus	None
Neurohypophysis dysplasia	None
Posterior pituitary dysplasia	None
Posterior pituitary dysgenesis	None
Small intestine carcinoid	None
Increased circulating prolactin concentration	None
Prolactin excess	None
Hyperprolactinemia	None
Hyperprolactinaemia	None
Decreased serum estriol	None
Nonmedullary thyroid carcinoma	None
Non-medullary thyroid carcinoma	None
Thyroid cancer, nonmedullary	None
Large thyroid	None
Thyroid hyperplasia	None
Reduced radioactive iodine uptake	None
Transient neonatal diabetes mellitus	None
Early puberty	None
Early onset of puberty	None
Precocious puberty	None
Ectopic thymus tissue	None
Abnormal thymus position	None
Hyperpituitarism	None
Abnormal circulating estrogen level	None
Abnormal circulating oestrogen level	None
Abnormal estrogen level	None
Abnormal oestrogen level	None
Increased urinary 11-deoxycortisol level	None
Abnormal circulating adrenocorticotropin concentration	None
Abnormality of circulating adrenocorticotropin level	None
Abnormality of circulating corticotropin level	None
Abnormality of circulating adrenocorticotropic hormone level	None
Abnormality of circulating ACTH level	None
Secondary hyperaldosteronism	None
Hyperreninemic hyperaldosteronism	None
Small thyroid gland	None
Thyroid hypoplasia	None
Hypoplastic thyroid	None
Adrenocorticotropin deficient adrenal insufficiency	None
ACTH deficient adrenal insufficiency	None
Inappropriately normal thyroid-stimulating hormone level	None
Inappropriately normal TSH	None
Abnormal circulating aldosterone	None
Abnormal plasma aldosterone	None
Decreased circulating androgen level	None
Decreased circulating androgen concentration	None
Adrenal overactivity	None
Increased glucagon level	None
Thyroid agenesis	None
Athyroidal hypothyroidism	None
Abnormal circulating osteocalcin level	None
Abnormal circulating follicle-stimulating hormone concentration	None
Abnormal circulating follicle-stimulating hormone level	None
Reduced circulating prolactin concentration	None
Prolactin deficiency	None
Precocious puberty in females	None
disorder of pituitary gland	None
Abnormality of the pituitary gland	None
Abnormal response to endocrine stimulation test	None
Abnormal somatotropin level	None
Abnormal growth hormone level	None
Hyperactive renin-angiotensin system	None
Increased plasma renin activity	None
Enlarged parathyroid glands	None
Parathyroid hyperplasia	None
Thyroglossal duct cyst	None
Thyroglossal cyst	None
Pituitary carcinoma	None
Decreased glucagon level	None
Neonatal hypoparathyroidism	None
Congenital hypoparathyroidism	None
Secondary adrenal insufficiency	None
Central adrenal insufficiency	None
Premature pubarche	None
Premature pubic hair growth	None
Elevated circulating VEGF concentration	None
Elevated vascular endothelial growth factor level	None
Decreased circulating progesterone	None
Decreased serum progesterone	None
Adrenal gland carinoma	None
Adrenal carcinoma	None
Adrenocortical carcinoma	None
Abnormal circulating free T3 concentration	None
Abnormal circulating free triiodotyronine concentration	None
Abnormal circulating free T3 level	None
Parathyroid adenoma	None
Parathyroid adenomas	None
Pituitary gonadotropic cell adenoma	None
Pituitary gonadotropinoma	None
No secondary sexual characteristics at puberty	None
Absence of secondary sex characteristics	None
Euthyroid hyperthyroxinemia	None
Asymptomatic hyperthyroxinemia	None
Hypothalamic hypothyroidism	None
Tertiary hypothyroidism	None
Adrenogenital syndrome	None
Adrenocorticotropic hormone deficiency	None
Corticotropin deficiency	None
ACTH deficiency	None
Syndrome of inappropriate antidiuretic hormone secretion	None
Inappropriate antidiuretic hormone secretion	None
Inappropriate ADH secretion	None
SIADH	None
Aplasia/Hypoplasia of the thyroid gland	None
Thymic hyperplasia	None
Thymus hyperplasia	None
Enlarged thymus	None
Macronodular adrenal hyperplasia	None
Decreased inhibin B level	None
Vagal nerve tumors	None
Vagal paraganglioma	None
Glomus vagale tumour	None
Glomus vagale tumor	None
Glomus vagale paraganglioma	None
Vagal nerve tumours	None
Wide long bone of upper arm	None
Wide humerus	None
Broad humerus	None
Hypoplastic/small middle phalanx of the 3rd finger	None
Short middle bone of middle finger	None
Brachymesophalangy III (finger)	None
Short middle phalanx of the 3rd finger	None
Abnormality of the wide portion of the hand bone	None
Abnormalities of the metaphyses of the hand	None
Abnormal hand metaphysis morphology	None
Curved innermost thumb bone	None
Curved proximal phalanx of the thumb	None
Fractured acetabular part of hip bone	None
bone acetabular part of hip bone	None
Aplasia of the phalanges of the 3rd toe	None
Absent digital bone of the 3rd toe	None
Limitation of knee mobility	None
Limited knee movement	None
Small toe	None
Small end part of ring finger bone	None
Small epiphyses of the 4th finger	None
Stippling of the epiphysis of the middle phalanx of the 3rd toe	None
Speckled calcifications in the end part of the middle bone of the 3rd toe	None
Ivory epiphyses of the distal phalanges of the hand	None
Eburnated epiphyses of distal phalanges	None
Increased bone density of end part of the outermost hand bones	None
Fibular deviation of the 5th toe	None
Cortical subperiosteal resorption of humeral metaphyses	None
Lobster-claw foot deformity	None
Split-foot	None
Split foot	None
Foot ectrodactyly	None
Abnormality of the outermost bone of the 3rd finger	None
Abnormality of terminal phalanx of middle-finger	None
Abnormality of the distal phalanx of the 3rd finger	None
Triangular shaped outermost bone of the big toe	None
Triangular shaped distal phalanx of the hallux	None
Metatarsal periosteal thickening	None
Disproportionately long fibula	None
Long calf bone	None
Long fibula	None
Triangular shaped middle phalanges of the toes	None
Triangular shaped middle bones of toes	None
Absent middle phalanx of middle finger	None
Aplasia of the middle phalanx of the 3rd finger	None
Absent middle bone of middle finger	None
Absent middle phalanx of 3rd finger	None
High axial triradius	None
Aplasia of the 5th metacarpal	None
Absent 5th metacarpal	None
Absent 5th long bone of hand	None
Tibial torsion	None
Internally rotated hips	None
Excessive femoral anteversion	None
Increased femoral anteversion	None
Increased femoral neck anteversion	None
Irregular tarsal centers	None
Irregular tarsal centres	None
Irregular ankle bone maturation	None
Irregular tarsal ossification	None
Shortened 1st long bone of hand	None
Short first metacarpals	None
First metacarpal hypoplasia	None
Short 1st metacarpal	None
Short first metacarpal	None
Hypoplastic 1st metacarpal	None
First metacarpals hypoplastic	None
Weakness of long finger extensor muscles	None
Irregular end part of the innermost hand bones	None
Irregular epiphyses of the proximal phalanges of the hand	None
Valgus hand deformity	None
Bullet-shaped middle bones of the toes	None
Bullet-shaped middle phalanges of the toes	None
Bullet-shaped middle toe phalanx	None
Medially deficient radial epiphyses	None
Flat end part of innermost thighbone	None
Flattened proximal femoral epiphyses	None
Flat proximal femoral epiphyses	None
Flat capital femoral epiphysis	None
Flat femoral capital epiphyses	None
Flat capital femoral epiphyses	None
Abnormal epiphysis morphology of the phalanges of the hand	None
Atrophy of the rectus femoris muscles	None
Rectus femoris muscle atrophy	None
Fractured distal tarsal bone	None
bone distal tarsal bone	None
Polydactyly, postaxial	None
Postaxial polydactyly	None
Postaxial hexadactyly	None
Osteolytic defects of the hand bones	None
Lytic defects of hand bones	None
Speckled calcifications in the end part of the innermost hand bones	None
Stippling of the epiphyses of the proximal phalanges of the hand	None
Partial/complete duplication of the distal phalanges of the toes	None
Duplication of distal phalanx of toe	None
Duplication of outermost bone of toe	None
Hypertrophy of the upper limb	None
Increased size of upper limb	None
Polysyndactyly of great toe	None
Polysyndactyly of big toe	None
Polysyndactyly of hallux	None
Broad toe	None
Wide toe	None
Disharmonic maturation of the hand bones	None
Dysharmonic ossification of the hand bones	None
Dysharmonic maturation of the hand bones	None
Displacement of the pinkie toe	None
Displacement of the little toe	None
Displacement of the 5th toe	None
Displacement of the pinky toe	None
Deviation of the 5th toe	None
Bowed calf bone	None
Fibular bowing	None
Fragmentation of the end part of the middle bone of the little toe	None
Fragmentation of the end part of the middle bone of the pinkie toe	None
Fragmentation of the end part of the middle bone of the pinky toe	None
