Inguinal hernia	HP:0000023
Small maxilla	HP:0000327
Hypomimic face	HP:0000338
Decreased facial expressions	HP:0000338
Dull facial expression	HP:0000338
Decreased facial muscle movement	HP:0000338
Hypomimia	HP:0000338
Severe hypoplasia of mandible	HP:0000347
Mandibular deficiency	HP:0000347
Hypotrophic lower jaw	HP:0000347
Mandibular retrognathia	HP:0000347
Mandibular micrognathia	HP:0000347
Mandibular hypoplasia	HP:0000347
Small lower jaw	HP:0000347
Hypoplastic mandible	HP:0000347
Micromandible	HP:0000347
Small jaw	HP:0000347
Micrognathia of lower jaw	HP:0000347
Small mandible	HP:0000347
Hypoplasia of lower jaw	HP:0000347
Retrusion of lower jaw	HP:0000347
Mandibular retrusion	HP:0000347
Little mandible	HP:0000347
Lower jaw deficiency	HP:0000347
Underdevelopment of mandible	HP:0000347
Hypoplasia of mandible	HP:0000347
Deficiency of lower jaw	HP:0000347
Decreased size of mandible	HP:0000347
Decreased projection of mandible	HP:0000347
Little lower jaw	HP:0000347
Lower jaw retrusion	HP:0000347
Decreased projection of lower jaw	HP:0000347
Decreased size of lower jaw	HP:0000347
Robin mandible	HP:0000347
Lower jaw hypoplasia	HP:0000347
Hypotrophic mandible	HP:0000347
Underdevelopment of lower jaw	HP:0000347
Hypoplastic mandible condyle	HP:0000347
Micrognathia	HP:0000347
Flaccid neck	HP:0000467
Floppy neck	HP:0000467
Neck muscle weakness	HP:0000467
Increased fat around the neck	HP:0000468
Increased adipose tissue around the neck	HP:0000468
Decreased cervical height	HP:0000470
Decreased length of neck	HP:0000470
Short neck	HP:0000470
Cervical shortening	HP:0000470
Decreased cervical length	HP:0000470
Spasmodic torticollis	HP:0000473
Cervical dystonia	HP:0000473
Loxia	HP:0000473
Wry neck	HP:0000473
Torticollis	HP:0000473
Corneal scarring	HP:0000559
Small shallow orbits	HP:0000586
Decreased depth of eye sockets	HP:0000586
Shallow eye sockets	HP:0000586
Shallow orbits	HP:0000586
Decreased depth of orbits	HP:0000586
Abnormal tooth enamel	HP:0000682
Enamel abnormalities	HP:0000682
Defective tooth enamel	HP:0000682
Abnormal dental enamel morphology	HP:0000682
Dystrophic tooth enamel	HP:0000682
Enamel abnormality	HP:0000682
Malformation of dental enamel	HP:0000682
Abnormality of dental enamel	HP:0000682
Malformation of tooth enamel	HP:0000682
Greyish enamel	HP:0000683
Grayish enamel	HP:0000683
Grey tooth shade	HP:0000683
Grey coloured tooth enamel	HP:0000683
Gray tooth shade	HP:0000683
Gray colored tooth enamel	HP:0000683
Teeth with type iii dentinogenesis imperfecta	HP:0000694
Odontodysplasia	HP:0000694
Teeth with dentinal dysplasia	HP:0000694
Ghost teeth	HP:0000694
Shell teeth	HP:0000694
Teeth with thin dentin and large pulp chambers	HP:0000694
Dentinogenesis imperfecta	HP:0000703
Amelogenesis imperfecta	HP:0000705
Abnormality of the thorax	HP:0000765
Abnormality of the chest	HP:0000765
Structural abnormality of the chest wall	HP:0000765
Abnormal thorax morphology	HP:0000765
Abnormality of the sternum	HP:0000766
Pectus deformity	HP:0000766
Pectus excavatum or carinatum	HP:0000766
Pectus carinatum or pectus excavatum	HP:0000766
Pectus excavatum or pectus carinatum	HP:0000766
Abnormal sternum morphology	HP:0000766
Sternal anomalies	HP:0000766
Pectus deformities	HP:0000766
Pectus excavatum/carinatum	HP:0000766
Funnel chest	HP:0000767
Pectus excavatum	HP:0000767
Pigeon chest	HP:0000768
Pectus carinatum	HP:0000768
Rib anomalies	HP:0000772
Abnormality of the ribs	HP:0000772
Abnormal rib morphology	HP:0000772
Rib abnormalities	HP:0000772
Rib hypoplasia	HP:0000773
Short ribs	HP:0000773
Hypoplastic ribs	HP:0000773
Narrow shoulders	HP:0000774
Narrow thorax	HP:0000774
Reduced anterior-posterior chest diameter	HP:0000774
Narrow chest	HP:0000774
Low chest circumference	HP:0000774
Diaphragmatic defect	HP:0000775
Diaphragm issues	HP:0000775
Abnormality of the diaphragm	HP:0000775
Congenital diaphragmatic hernia	HP:0000776
Diaphragmatic hernia	HP:0000776
Abnormality of the shoulder blade	HP:0000782
Abnormal scapula morphology	HP:0000782
11 pairs of ribs	HP:0000878
Hypoplastic sternum	HP:0000879
Short sternum	HP:0000879
Small shoulder blade	HP:0000882
Short scapulae	HP:0000882
Small scapulae	HP:0000882
Small scapula	HP:0000882
Hypoplastic scapula	HP:0000882
Scapular hypoplasia	HP:0000882
Hypoplastic scapulae	HP:0000882
Slender ribs	HP:0000883
Thin ribs	HP:0000883
Prominent sternum	HP:0000884
Sternal protrusion	HP:0000884
Wide ribs	HP:0000885
Broad ribs	HP:0000885
Deformed rib cage	HP:0000886
Rib flaring	HP:0000887
Rib cupping	HP:0000887
Cupped ribs	HP:0000887
Horizontal ribs	HP:0000888
Abnormal clavicle morphology	HP:0000889
Abnormal clavicles	HP:0000889
Abnormal collarbone	HP:0000889
Abnormality of the clavicle	HP:0000889
Elongated clavicles	HP:0000890
Long collarbone	HP:0000890
Long clavicles	HP:0000890
Cervical ribs	HP:0000891
Cleft ribs	HP:0000892
Split ribs	HP:0000892
Bifid ribs	HP:0000892
Bulging of the costochondral junction	HP:0000893
Clavicular hypoplasia	HP:0000894
Hypoplastic clavicles	HP:0000894
Short clavicles	HP:0000894
Underdeveloped clavicles	HP:0000894
Short collarbone	HP:0000894
Hooked clavicle	HP:0000895
Handlebar clavicle	HP:0000895
Hook-shaped clavicle	HP:0000895
Hook-shaped collarbone	HP:0000895
Lateral clavicle hook	HP:0000895
Rib exostoses	HP:0000896
Rachitic rosary	HP:0000897
Thickened ribs	HP:0000900
Rib fusion	HP:0000902
Fused ribs	HP:0000902
Anterior flaring of ribs	HP:0000904
Flaring of rib cage	HP:0000904
Progressive acroosteolysis of the clavicle	HP:0000905
Progressive clavicular acroosteolysis	HP:0000905
Anterior cupping of ribs	HP:0000907
Anterior rib cupping	HP:0000907
Anteriorly splayed ribs	HP:0000907
Wide-cupped costochondral junctions	HP:0000910
Flat glenoid fossa	HP:0000911
Sprengel deformity	HP:0000912
Congenital, upward displacement of the scapula	HP:0000912
High scapula	HP:0000912
Sprengel anomaly	HP:0000912
High shoulder blade	HP:0000912
Posterior rib fusion	HP:0000913
Shield chest	HP:0000914
Broad chest	HP:0000914
Pectus excavatum of inferior sternum	HP:0000915
Pectus excavatum inferiorly	HP:0000915
Broad clavicles	HP:0000916
Broad collarbone	HP:0000916
Superior pectus carinatum	HP:0000917
Pectus carinatum superiorly	HP:0000917
Shoulder bone exostoes	HP:0000918
Scapular exostoses	HP:0000918
Scapulae exostoses	HP:0000918
Costochondral juctions abnormal	HP:0000919
Abnormality of the costochondral junction	HP:0000919
Prominent costochondral junction	HP:0000920
Costochondral thickening	HP:0000920
Enlarged costochondral junctions	HP:0000920
Enlargement of the costochondral junction	HP:0000920
Widened costochondral junction	HP:0000920
Wide costochondral junctions	HP:0000920
Missing ribs	HP:0000921
Decreased rib number	HP:0000921
Absent ribs	HP:0000921
Posterior rib cupping	HP:0000922
Anterior and posterior rib cupping	HP:0000922
Beaded ribs	HP:0000923
Skeletal abnormalities	HP:0000924
Abnormality of the skeletal system	HP:0000924
Skeletal anomalies	HP:0000924
Abnormality of the vertebral column	HP:0000925
Abnormality of the spine	HP:0000925
Abnormality of the backbone	HP:0000925
Abnormal spine	HP:0000925
Abnormal vertebral column	HP:0000925
Flattened vertebral bodies	HP:0000926
Flat vertebral bodies	HP:0000926
Platyspondyly	HP:0000926
Flattened vertebrae	HP:0000926
Abnormality of skeletal maturation	HP:0000927
Abnormal skull morphology	HP:0000929
Abnormality of the skull	HP:0000929
Abnormality of the skull bones	HP:0000929
Elevated imprint of the transverse sinuses	HP:0000930
Thinning and bulging of posterior skull bones over the transverse sinuses	HP:0000930
Thinning and bulging of occipital bone over the transverse sinuses	HP:0000930
Elevated imprint of posterior skull bones over the transverse sinuses	HP:0000930
Elevated imprint of occipital bone over the transverse sinuses	HP:0000930
Thinning and bulging of the posterior fossa bones	HP:0000931
Thinning and bulging of posterior skull bones	HP:0000931
Thinning and bulging of occipital bone of skull	HP:0000931
Thinning and bulging of posterior fossa bones	HP:0000931
Abnormality of the posterior fossa	HP:0000932
Abnormal posterior cranial fossa morphology	HP:0000932
Posterior fossa anomaly	HP:0000932
Abnormality of the posterior cranial fossa	HP:0000932
Posterior fossa cyst at the fourth ventricle	HP:0000933
Calcium deposits in joints	HP:0000934
Chondrocalcinosis	HP:0000934
Thickened cortex of long bones	HP:0000935
Cortical thickening of the long bones	HP:0000935
Broad cortex of long bones	HP:0000935
Thickened cortices of long bones	HP:0000935
Generalized osteopenia	HP:0000938
Osteopaenia	HP:0000938
Osteopenia	HP:0000938
Generalised osteopenia	HP:0000938
Osteoporosis	HP:0000939
Abnormal diaphysis morphology	HP:0000940
Abnormality of the diaphyses	HP:0000940
Abnormality of shaft of long bone of the limbs	HP:0000940
Abnormal shape of shaft of long bone	HP:0000940
Anomaly of the limb diaphyses	HP:0000940
Abnormality involving the diaphyses of the limbs	HP:0000940
Anomaly of the limb diaphyses morphology	HP:0000940
Short diaphyses	HP:0000941
Short shaft of long bone	HP:0000941
Dysostosis multiplex	HP:0000943
Abnormal metaphysis morphology	HP:0000944
Abnormality of the wide portion of a long bone	HP:0000944
Hypoplastic ilia	HP:0000946
Short and small iliac bones	HP:0000946
Small iliac bones	HP:0000946
Small wings of the pelvic girdle	HP:0000946
Dumbbell-shaped long bone	HP:0000947
Dumbbell widening of long bone metaphyses	HP:0000947
Pilonidal dimple	HP:0000960
Spinal dimple	HP:0000960
Sacral dimple	HP:0000960
Atypical scarring of skin	HP:0000987
Atypical scarring	HP:0000987
Abnormality of subcutaneous fat tissue	HP:0001001
Abnormality of fatty tissue below the skin	HP:0001001
Lipomas	HP:0001012
Multiple lipomas	HP:0001012
Lipomatosis	HP:0001012
Multiple fatty lumps	HP:0001012
Subcutaneous lipoma	HP:0001031
Distal finger flexion creases absent	HP:0001032
Aplasia of the distal interphalangeal creases	HP:0001032
Absent distal interphalangeal creases	HP:0001032
Absence of skin creases over distal interphalangeal joints	HP:0001032
Multiple pterygia	HP:0001040
Absent dorsal skin creases over affected joints	HP:0001049
Pterygia	HP:0001059
Pterygium	HP:0001059
Axillary pterygia	HP:0001060
Axillary pterygium	HP:0001060
Cigarette-paper scars	HP:0001073
Cigarette paper scarring	HP:0001073
Sunken or indented skin due to damage	HP:0001075
Atrophic scars	HP:0001075
Thin, atrophic scars	HP:0001075
Brachydactyly	HP:0001156
Short fingers or toes	HP:0001156
Brachydactyly syndrome	HP:0001156
Webbed fingers or toes	HP:0001159
Syndactyly	HP:0001159
Supernumerary finger	HP:0001161
Polydactyly of the hand	HP:0001161
Finger polydactyly	HP:0001161
Extra finger	HP:0001161
Hand polydactyly	HP:0001161
Postaxial polydactyly of hand	HP:0001162
Extra pinkie finger	HP:0001162
Extra little finger	HP:0001162
Postaxial hand polydactyly	HP:0001162
Postaxial polydactyly of hands	HP:0001162
Postaxial polydactyly of fingers	HP:0001162
Extra pinky finger	HP:0001162
Polydactyly affecting the 5th finger	HP:0001162
Arachnodactyly	HP:0001166
Spider fingers	HP:0001166
Long, slender fingers	HP:0001166
Long slender fingers	HP:0001166
Abnormalities of the fingers	HP:0001167
Abnormality of finger	HP:0001167
Hand ectrodactyly	HP:0001171
Ectrodactyly of the hand	HP:0001171
Split hand	HP:0001171
Split-hand	HP:0001171
Abnormal thumb morphology	HP:0001172
Thumb deformity	HP:0001172
Abnormality of the thumb	HP:0001172
Abnormality of the thumbs	HP:0001172
Extra thumb	HP:0001177
Preaxial hand polydactyly	HP:0001177
Polydactyly affecting the thumb	HP:0001177
Supernumerary thumb	HP:0001177
Preaxial polydactyly of hands	HP:0001177
thumb polydactyly	HP:0001177
Hand oligodactyly	HP:0001180
Hand has less than 5 fingers	HP:0001180
Adducted thumbs	HP:0001181
Thumb-in-palm pattern	HP:0001181
Inward turned thumb	HP:0001181
Adducted thumb	HP:0001181
Thumb-in-palm deformity	HP:0001181
Tapering fingers	HP:0001182
Tapered finger	HP:0001182
Tapered fingertips	HP:0001182
Distally tapering fingers	HP:0001182
Tapered fingers	HP:0001182
Hyperextensible digits	HP:0001187
Hyperextensibility of the finger joints	HP:0001187
Hyperextensible fingers	HP:0001187
Hyperextensible finger	HP:0001187
Finger joint hyperextensibility	HP:0001187
Abnormal wrist bones	HP:0001191
Abnormality of the carpal bones	HP:0001191
Abnormal carpal morphology	HP:0001191
Anomalous carpal bones	HP:0001191
Carpal bone anomalies	HP:0001191
Abnormal carpal bones	HP:0001191
Accessory phalanx of the thumb	HP:0001199
Digitalized thumb	HP:0001199
Triphalangy of thumb	HP:0001199
Finger-like thumb	HP:0001199
Triphalangeal thumbs	HP:0001199
Triphalangeal thumb	HP:0001199
Symphalangism affecting the distal phalanges of the hand	HP:0001204
Fused outermost bones of hand	HP:0001204
Terminal symphalangism	HP:0001204
Synostosis of distal phalanges	HP:0001204
Distal symphalangism of hands	HP:0001204
Abnormality of the fingertips	HP:0001211
Abnormal fingertip morphology	HP:0001211
Persistent foetal fingertip pads	HP:0001212
Persistent fetal fingertip pads	HP:0001212
Persistence of fingerpads	HP:0001212
Prominent finger pads	HP:0001212
Prominent fingertip pads	HP:0001212
Camptodactyly of 2nd-5th fingers	HP:0001215
Delayed carpal bone age	HP:0001216
Delayed maturation of carpal bones	HP:0001216
Delayed ossification of carpal bones	HP:0001216
Carpal delayed ossification	HP:0001216
Delayed maturation of wrist bone	HP:0001216
Delayed carpal ossification	HP:0001216
Digital clubbing	HP:0001217
Clubbing	HP:0001217
Clubbing of fingers and toes	HP:0001217
Interphalangeal joint contracture of finger	HP:0001220
Interphalangeal joint flexion contractures	HP:0001220
Spoon shaped thumbs	HP:0001222
Spatulate thumbs	HP:0001222
Pointed proximal second through fifth metacarpals	HP:0001223
Wrist swelling	HP:0001225
Abnormality of the thenar eminence	HP:0001227
Thenar abnormality	HP:0001227
Wide long bones of hand	HP:0001230
Broad metacarpals	HP:0001230
Wide metacarpals	HP:0001230
Syndactyly, 2-3 finger	HP:0001233
Webbed 2nd-3rd fingers	HP:0001233
Syndactyly 2nd-3rd fingers	HP:0001233
2-3 finger syndactyly	HP:0001233
Hitchhiker thumb	HP:0001234
Abducted thumb	HP:0001234
Slender finger	HP:0001238
Slender fingers	HP:0001238
thin fingers	HP:0001238
Narrow fingers	HP:0001238
Wrist contracture	HP:0001239
Wrist flexion contracture	HP:0001239
Wrist flexion deformity	HP:0001239
Fused capitate and hamate	HP:0001241
Fusion of capitate and hamate	HP:0001241
Capitate-hamate fusion	HP:0001241
Fusion of hamate and capitate	HP:0001241
Capitate-hamate fusions	HP:0001241
Small thenar eminence	HP:0001245
Thenar muscle hypoplasia	HP:0001245
Decreased thenar eminence	HP:0001245
Thenar hypoplasia	HP:0001245
Hypoplastic thenar eminences	HP:0001245
Shortened short tubular bones of the hand	HP:0001248
Short tubular bones of the hand	HP:0001248
Muscle hypotonia	HP:0001252
Low or weak muscle tone	HP:0001252
Hypotonia	HP:0001252
Central hypotonia	HP:0001252
Low muscle tone	HP:0001252
Peripheral hypotonia	HP:0001252
Muscular hypotonia	HP:0001252
Muscular spasticity	HP:0001257
Muscle spasticity	HP:0001257
Spasticity	HP:0001257
Involuntary muscle stiffness, contraction, or spasm	HP:0001257
Spastic paraplegia, lower limb	HP:0001258
Spastic paraplegia	HP:0001258
Spastic diparesis	HP:0001264
Spastic diplegic	HP:0001264
Spastic diplegia	HP:0001264
Spasticity and rigidity of muscles	HP:0001276
Hypertonicity	HP:0001276
Increased muscle tone	HP:0001276
Muscle hypertonia	HP:0001276
Hypertonia	HP:0001276
Intermittent involuntary muscle spasm	HP:0001281
Tetany	HP:0001281
Bulbar palsies	HP:0001283
Bulbar palsy	HP:0001283
Bulbar weakness	HP:0001283
Bulbar muscle weakness	HP:0001283
Spastic quadriparesis	HP:0001285
Spastic tetraparesis	HP:0001285
Generalized muscular hypotonia	HP:0001290
Generalized hypotonia	HP:0001290
Generalized decreased muscle tone	HP:0001290
Generalised decreased muscle tone	HP:0001290
Hypotonia, generalized	HP:0001290
Generalised hypotonia	HP:0001290
Hypotonia, generalised	HP:0001290
Generalised muscular hypotonia	HP:0001290
Dandy-Walker cyst	HP:0001305
Dandy-walker anomaly	HP:0001305
Dandy-Walker malformation	HP:0001305
Neonatal hypotonia	HP:0001319
Low muscle tone, in neonatal onset	HP:0001319
Hypotonia, in neonatal onset	HP:0001319
Hypotonia, neonatal	HP:0001319
Congenital hypotonia	HP:0001319
Muscle weakness	HP:0001324
Muscular weakness	HP:0001324
Facial diplegia	HP:0001349
Facial paresis, bilateral	HP:0001349
Bilateral facial weakness	HP:0001349
Flattening of skull	HP:0001357
Plagiocephaly	HP:0001357
Asymmetry of the posterior head	HP:0001357
Flattening of head	HP:0001357
Asymmetry of the posterior skull	HP:0001357
Deformational plagiocephaly	HP:0001357
Positional plagiocephaly	HP:0001357
Asymmetry of the posterior cranium	HP:0001357
Flat head syndrome	HP:0001357
Rhomboid shaped cranium	HP:0001357
Rhomboid shaped skull	HP:0001357
Flattening of cranium	HP:0001357
Flat head	HP:0001357
Rhomboid shaped head	HP:0001357
Flattening of cranial vault	HP:0001357
Calvarial skull defect	HP:0001362
Calvarial defect	HP:0001362
Cranial defect	HP:0001362
Skull defect	HP:0001362
Craniostenosis	HP:0001363
Early fusion of cranial sutures	HP:0001363
Cranial suture synostosis	HP:0001363
Craniosyostosis	HP:0001363
Premature suture closure	HP:0001363
Premature fontanel closure	HP:0001363
Craniosynostosis	HP:0001363
Deformity of the skull	HP:0001363
Premature closure of cranial sutures	HP:0001363
Anomaly of the joints	HP:0001367
