Abnormality of the breast	HP:0000769
Coronary disease	None
Coronary atherosclerosis	None
Coronary artery atherosclerosis	None
Cavernous hemangioma of the face	None
Coronary artery vasospasm	None
Coronary artery spasm	None
Arteriovenous malformation	None
Atrial septal hypertrophy	None
Retinal vein occlusion	None
Abnormal response to short acting pulmonary vasodilator	None
Iris neovascularization	None
New blood vessel formation in iris	None
Neovascularization of the iris	None
Saccular aortic arch aneurysm	None
Abnormal right ventricular function	None
Hemiretinal vein occlusion	None
Aneurysm of the aortic sinus	None
Dilatation of the sinus of Valsalva	None
Sinus of Valsalva aneurysm	None
Aortic sinus aneurysm	None
Thymic hyperplasia	None
Thymus hyperplasia	None
Enlarged thymus	None
Ventricular couplet	None
Doublet premature ventricular contractions	None
Abnormal heart rate	None
Irregular heartbeat	None
Cardiac arrhythmia	None
Arrhythmias	None
Heart rhythm disorders	None
Irregular heart beat	None
Cardiac rhythm disturbances	None
Arrhythmia	None
Cardiac arrhythmias	None
Abnormal mitral valve physiology	None
Hepatojugular reflux	None
Splenopancreatic fusion	None
Arterial occlusion	None
Patent ductus arteriosus after birth at term	None
Focal necrosis of right ventricular muscle cells	None
Impaired flow-mediated arterial dilatation	None
Endothelial dysfunction	None
Single ventricle of indeterminate morphology	None
Retinal arterial macroaneurysms	None
Intermediate atrioventricular canal defect	None
Intermediate atrioventricular septal defect	None
Dilated left subclavian artery	None
Abnormality of lung artery	None
Abnormality of the pulmonary artery	None
Oral cavity telangiectasia	None
Angioectasias of the mouth	None
Oral cavity teleangiectasia	None
Spider veins of the oral cavity	None
Spider veins of the mouth	None
Angioectasias of the oral cavity	None
Abnormality of vasculature of head	None
Abnormality of blood vessel of head	None
Abnormality of head blood vessel	None
Abnormal head blood vessel morphology	None
Increased number of lymph nodes	None
Myxomatous mitral valve degeneration	None
Aortic dissection	None
Tear in inner wall of large artery that carries blood away from heart	None
Aortic arch dilatation	None
Aortic arch aneurysm	None
Dilatation of the aortic arch	None
Myocardial bridging	None
Intramyocardial coronary artery course	None
Abnormal cardiac output	None
Facial hemangioma	None
Facial hemangiomata	None
Impaired left ventricular function	None
Left ventricular dysfunction	None
Left ventricular failure	None
Abnormal left ventricular function	None
Left ventricular impairment	None
Left-sided heart failure	None
Carotid artery aneurysm	None
Carotid artery dilatation	None
Apical hypertrophic cardiomyopathy	None
Abnormal branching pattern of the aortic arch	None
Ruptured spleen	None
Splenic rupture	None
Lymphangioma of the orbit	None
Lipemia retinalis	None
Atrial septal defect, ostium secundum type	None
Ostium secundum atrial septal defect	None
Patent ostium secundum	None
Secundum atrial septal defect	None
Ventricular septal defect	None
Hole in heart wall separating two lower heart chambers	None
Ventricular septal defects	None
Ventriculoseptal defect	None
VSD	None
Spleen infarct	None
Spleen infarction	None
Splenic infarction	None
Splenic infarct	None
Iliac arterial calcification	None
Regional right ventricular hypokinesis	None
Abnormal size of nasopharyngeal adenoids	None
Coarctation of abdominal aorta	None
Vascular ring	None
Vascular ring of aorta	None
Grade III preterm intraventricular haemorrhage	None
Grade III preterm intraventricular hemorrhage	None
Absent coronary sinus	None
Short P-R interval	None
Shortened PR interval on EKG	None
Shortened PR interval	None
Electrocardiographic short PR interval	None
CCTGA	None
Congenitally corrected transposition of the great arteries with ventricular septal defect	None
ccTGA	None
Type I truncus arteriosus	None
Persistent truncus arteriosus type I	None
Type 1 truncus arteriosus	None
Cardiac teratoma	None
Thoracoabdominal ectopia cordis	None
Aortic elastic fibre disorganisation	None
Aortic elastic fiber disorganization	None
Isolated systolic hypertension	None
Abnormality of blood circulation	None
Blood circulation disorder	None
Grade IV preterm intraventricular haemorrhage	None
Grade IV preterm intraventricular hemorrhage	None
Abnormal circle of Willis morphology	None
Abnormality of the cerebral arterial circle	None
Fluctuating splenomegaly	None
Abnormal vascular morphology	None
Cerebral artery stenosis	None
Narrowing of a cerebral artery	None
Premature calcification of mitral annulus	None
Mitral annular calcification	None
Cold urticaria	None
Tetralogy of Fallot with pulmonary atresia	None
Abnormal spleen morphology	None
Splenic lesion	None
Redundant septum primum flap	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Anomalous origin of the left common carotid artery from the brachiocephalic trunk	None
Anomalous origin of the left common carotid artery from the brachiocephalic artery	None
Decreased middle cerebral artery pulsatility index	None
Global systolic dysfunction	None
Infra-aortic superior vena cava	None
Elevated jugular venous pressure	None
Thoracic aorta calcification	None
Discordant atrioventricular connexion	None
Discordant atrioventricular connection	None
Lymph node hypoplasia	None
Small lymph nodes	None
Juxtaductal coarctation of the aorta	None
Absence of P wave on electrocardiography	None
Absent P wave	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal haemorrhage	None
Retinal bleeding	None
Cardiomyocyte degeneration	None
Rudimentary tricuspid valve leaflets	None
Unguarded tricuspid valve orifice	None
Unguarded tricuspid valve	None
Testicular ischemia	None
Labial hemangioma	None
Cerebral vasculitis	None
Vertebral artery aneurysm	None
Follicular hyperplasia	None
Prolonged P wave	None
Pulmonary valve atresia	None
Absent aortic valve cusps	None
Absent aortic valve	None
P wave inversion	None
Abnormal pericardium morphology	None
Abnormality of the pericardium	None
Heart left ventricle hypoplasia	None
Hypoplastic left heart	None
Left ventricular hypoplasia	None
Underdeveloped left heart	None
Arteriosclerosis of small cerebral arteries	None
Hardened artery wall in small cerebral arteries	None
Tissue ischemia	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Type 2 truncus arteriosus	None
Persistent truncus arteriosus type II	None
Type II truncus arteriosus	None
Systolic anterior motion of the mitral valve	None
Increased left ventricular end-diastolic volume	None
Myocardial multinucleated giant cells	None
Left ventricular wall hypertrophy	None
Left ventricular hypertrophy	None
Heart left ventricle hypertrophy	None
Type VI atherosclerotic lesion	None
Abnormal portal venous system morphology	None
Congenital ductus arteriosus aneurysm	None
Ductus arteriosus aneurysm	None
Dilatation of the ductus arteriosus	None
Aneurysm of the ductus arteriosus	None
Abnormal pulse pressure	None
Fusiform ascending tubular aorta aneurysm	None
Angioectasia of the oral mucous membrane	None
Telangiectasia of the oral mucous membrane	None
Telangiectasia of the oral mucosa	None
Angioectasia of the oral mucosa	None
Spider veins of the oral mucosa	None
Peripheral artery calcification	None
Peripheral arterial calcification	None
Symmetric, concentric, hypertrophic cardiomyopathy	None
Concentric hypertrophic cardiomyopathy	None
Abnormal nasopharyngeal adenoid morphology	None
Abnormality of pharyngeal tonsil	None
Abnormality of nasopharyngeal tonsil	None
Abnormality of nasopharyngeal adenoids	None
Abnormality of adenoids	None
Double aortic arch	None
Anomalous coronary artery course	None
Abnormal coronary artery course	None
Abnormally shaped heart	None
Heart defect	None
Abnormality of the heart	None
Cardiac anomaly	None
Cardiac anomalies	None
Congenital heart defects	None
Abnormality of cardiac morphology	None
Congenital heart defect	None
Abnormal heart morphology	None
Cardiac abnormality	None
increased pulmonary artery pressure	None
Elevated lung artery pressure	None
Elevated pulmonary artery pressure	None
Tongue telangiectasia	None
Lingual angioectasias	None
Spider veins of the tongue	None
Lingual telangiectasia	None
Angioectasias of the tongue	None
Perivascular pre-capillary pulmonary artery inflammation	None
Perivascular inflammation of arterioles in the pulmonary circulation	None
Perivascular inflammation of pre-capillary pulmonary arteries	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Fibrofatty replacement of right ventricular myocardium	None
Cutaneous vasculitis	None
Vasculitis in the skin	None
Tortuosity of main retinal vessels	None
Central retinal vessel vascular tortuosity	None
Partial atrioventricular canal defect	None
Arterial cystic medial necrosis	None
Cystic medial necrosis	None
Hypertension associated with pheochromocytoma	None
Transposition of the great arteries	None
Transposition of great vessels	None
Pulmonary arterial plexiform lesion	None
Cardiomyocyte inclusion bodies	None
Postductal coarctation of the aorta	None
Postductal aortic coarctation	None
Tricuspid valve regurgitation	None
Tricuspid insufficiency	None
Tricuspid regurgitation	None
Left ventricular diastolic dysfunction	None
Ventricular bigeminy	None
Congenital mitral stenosis	None
Myocardial necrosis	None
Macular microaneurysm/hemorrhage	None
Coffee ground vomitus	None
Coffee grounds emesis	None
Coffee grounds vomiting	None
Heart block	None
PLSVC	None
Persistent left superior vena cava	None
Absent pulmonary artery	None
Absent lung artery	None
Missing pulmonary artery	None
Middle cerebral artery stenosis	None
Narrowing of aortic valve	None
Aortic valve stenosis	None
Valvular aortic stenosis	None
Aortic stenosis	None
Myocardial eosinophilic infiltration	None
Intraretinal haemorrhage	None
Intraretinal hemorrhage	None
Depleted blood volume	None
Hypovolemia	None
Telangiectases of the cheeks	None
Telangiectasia on the cheeks	None
Retinal vascular tortuosity	None
Tortuous retinal vessels	None
Black feces	None
Melena	None
Black faeces	None
Swiss cheese ventricular septal defect	None
Multiple muscular ventricular septal defects	None
Thymic hypoplasia	None
Hypoplasia of the thymus	None
Small thymus	None
Thymus hypoplasia	None
Abnormal radial artery morphology	None
Central retinal artery occlusion	None
Increased aortic stiffness	None
Aortic stiffness	None
Gastrointestinal arteriovenous malformation	None
GI arteriovenous malformation	None
Bounding pulse	None
Swiss cheese atrial septal defect	None
Pulmonary lymphangiectasis	None
Pulmonary lymphangiectasia	None
EKG: T-wave abnormalities	None
Abnormal T-wave	None
T-wave abnormalities	None
Fetal cerebellar vermis hemorrhage	None
Long segment coarctation of the aorta	None
Anomalous insertion of papillary muscle directly into anterior mitral leaflet	None
Total anomalous pulmonary venous drainage	None
Total anomalous pulmonary venous return	None
Total anomalous pulmonary venous connection	None
Tortuosity of conjunctival vessels	None
Mildly reduced left ventricular ejection fraction	None
Mildly reduced ejection fraction	None
PR interval elevation	None
PTa elevation	None
PR segment elevation	None
Anomalous origin of the right common carotid artery from the aorta	None
Mitral atresia	None
Mitral valve atresia	None
Fetal extra-axial hemorrhage	None
Congenital portosystemic venous shunt	None
Glomeruloid hemangioma	None
Moyamoya phenomenon	None
Osborne waves	None
EKG J waves	None
J wave	None
Allergic conjunctivitis	None
Bladder incontinence	None
Urinary incontinence	None
Loss of bladder control	None
Sudden cardiac death	None
Premature sudden cardiac death	None
Sudden death	None
Pain in stomach	None
Abdominal pain	None
Stomach pain	None
Gastro pain	None
Gastrointestinal pain	None
Upset stomach	None
Abdominal discomfort	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Loss of bowel control	None
Bowel incontinence	None
Faecal incontinence	None
Fecal incontinence	None
Anal incontinence	None
Bone pain	None
Arthralgias	None
Arthritic pain	None
Arthralgia	None
Joint pain	None
Joint pains	None
Myalgia	None
Myalgias	None
Muscle ache	None
Muscle pain	None
Back pain	None
Low back pain	None
Lower back pain	None
Decreased ability to exercise	None
Exercise intolerance	None
Inability to exercise	None
Poor exercise tolerance	None
Low exercise endurance	None
Exercise-induced muscle pain	None
Muscle pain with exercise	None
Exercise-induced myalgia	None
Muscle pain on exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral junction pain	None
Costochondral pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Fatigue	None
Tiredness	None
Tired	None
Episodic fatigue	None
Chronic extreme exhaustion	None
Chronic fatigue	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shuddering	None
Shivering	None
Rigours	None
Rigors	None
Foot pain	None
Weakness	None
Lack of energy and strength	None
Asthenia	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Nocturnal hyperhidrosis	None
Night sweats	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Postexertional malaise	None
Exercise-induced malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Tightness of chest	None
Tightness in chest	None
Chest tightness	None
Chest distress	None
Groin pain	None
Gastrocnemius myalgia	None
Calf myalgia	None
Calf muscle pain	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Throat discomfort	None
Pharyngalgia	None
Pharyngodynia	None
Sore throat	None
Throat pain	None
Cognitive fatigue	None
Central fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Decline in physical functional health	None
Diminished physical health	None
Diminished physical functioning	None
Diminished mental health	None
Mental impairment	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Intrascapular pain	None
Pain between shoulder blades	None
Pleuritic chest pain	None
Malaise	None
Pain in testicles	None
Testicular pain	None
Cool skin temperature	None
Cool skin	None
Cold skin temperature	None
Coldness	None
Coolness to palpation	None
Mastalgia	None
Breast pain	None
Painful breast	None
Pain in the pelvis	None
Pelvic pain	None
Stool soiling	None
Stool holding	None
Encopresis	None
Jaw pain	None
Hand pain	None
Pain in head and neck region	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Hiccups	None
Recurrent singultus	None
Hiccup	None
Recurrent hiccough	None
Trigeminal neuralgia	None
Tic douloureux	None
Thoracic pain	None
Chest pain	None
Chest discomfort	None
Gangrene	None
Death of body tissue due to lack of blood flow or infection	None
Bad breath	None
Foetor ex ore	None
Halitosis	None
Mandibular pain	None
Lower jaw pain	None
Ocular pain	None
Eye pain	None
Epigastrium pain	None
Epigastric pain	None
Fish odour	None
Fish odor	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Musty odor	None
Musty odour	None
Vaginal fish odor	None
Vaginal fish odour	None
Dyspepsia	None
Indigestion	None
Osmidrosis	None
BO	None
Body odour	None
Body odor	None
Bromhidrosis	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Pneumomediastinum	None
Widened mediastinum	None
Mediastinal widening	None
Narrow mediastinum	None
Abnormality of the mediastinum	None
Abnormal mediastinum morphology	None
Abnormality of the thoracic cavity	None
Mediastinal lymphadenopathy	None
Swollen lymph nodes in centre of chest	None
Swollen lymph nodes in center of chest	None
Stool soiling	None
Stool holding	None
Encopresis	None
Enlarged vein in esophagus	None
Enlarged vein in oesophagus	None
Esophageal varices	None
Esophageal varix	None
H-type rectovestibular fistula	None
Ectopic liver	None
Macronodular cirrhosis	None
Duodenal aganglionosis	None
Gallbladder dysfunction	None
Superiorly positioned umbilicus	None
Osmotic diarrhea	None
Pancreatic hyperplasia	None
Jejunoileal ulceration	None
Inflammation of the esophagus	None
Inflammation of the oesophagus	None
Esophagitis	None
Oesophagitis	None
Multifocal splenic abscess	None
Multilocular splenic abscess	None
Duodenal atrophy	None
Short-segment aganglionic megacolon	None
Hepatic amyloidosis	None
Meconium ileus in neonates	None
Meconium ileus on ultrasonography	None
Meconium ileus	None
Distal intestinal obstruction syndrome	None
Interlobular bile duct destruction	None
Exstrophy	None
Recto-sigmoid colon stercoral ulcer	None
Stercoral ulcer	None
Colon ulcer	None
Intestinal lymphangiectasia	None
Zollinger-Ellison syndrome	None
Jejunoileal diverticula	None
Fatty liver	None
Fatty infiltration of liver	None
Steatosis	None
Liver steatosis	None
Hepatic steatosis	None
Decreased intestinal transit time	None
Subacute progressive viral hepatitis	None
Juvenile colonic polyposis	None
Desmoid tumours	None
Desmoid tumors	None
Absent/small pancreas	None
Absent/underdeveloped pancreas	None
Aplasia/Hypoplasia of the pancreas	None
Acute liver failure	None
Acute hepatic failure	None
Abnormal liver parenchyma morphology	None
Liver lobation abnormal	None
Hepatic anomalous lobulation	None
Anomalous liver lobulation	None
Abnormal liver lobulation	None
Gastrointestinal atony	None
Ileus	None
Stomach cancer	None
Gastric cancer	None
Neoplasm of the gallbladder	None
Neoplasia of the gallbladder	None
Ileo-cecal ulcer	None
Ileocecal ulcer	None
Bile duct cancer	None
Cholangiocarcinoma	None
Abnormally shaped pancreas	None
Abnormal pancreas morphology	None
Abnormality of pancreas morphology	None
Interface hepatitis	None
Duodenal gastric metaplasia	None
Hypoplasia of the gallbladder	None
Hypoplastic gallbladder	None
Abnormal liver morphology	None
Nausea	None
Spontaneous esophageal rupture	None
Spontaneous esophageal perforation	None
Boerhaave syndrome	None
Biliary tract disease	None
Biliary tract abnormality	None
Abnormality of enteric ganglion morphology	None
Abnormality of the enteric ganglia	None
Portal hypertension	None
Eosinophilic hepatitis	None
Eosinophilic liver infiltration	None
Slowed or blocked flow of bile from liver	None
Cholestasis	None
Hyperperistalsis	None
Stomach churning	None
Ectopic anus	None
Anus malposition	None
Abnormal anus position	None
Microvillus inclusions	None
Dyspepsia	None
Indigestion	None
Hepatic hemangioma	None
Liver hemangioma	None
Hemangioma of the liver	None
Impaired oral bolus formation	None
Unifocal splenic abscess	None
Unilocular splenic abscess	None
Solitary splenic abscess	None
Biliary tract obstruction	None
Supernumerary spleens	None
Extra spleen	None
Intestinal pseudo-obstruction	None
Intestinal pseudoobstruction	None
Retroperitoneal fibrosis	None
Pancreatic inflammation	None
Pancreatitis	None
Bile duct inflammation	None
Cholangitis	None
Spleen infarct	None
Spleen infarction	None
Splenic infarction	None
Splenic infarct	None
Mechanical ileus	None
Long-segment aganglionic megacolon	None
Abnormality of the ductus choledochus	None
Abnormality of the common bile duct	None
Eosinophilic ascites	None
Episodic vomiting	None
Frequent vomiting	None
Increased fecal calprotectin level	None
Unusual GI infection	None
Unusual gastrointestinal infection	None
Colonic stenosis	None
Narrowing of the colon	None
Stenosis of the colon	None
Microvesicular steatosis	None
Microvesicular hepatic steatosis	None
Peritoneal effusion	None
Pigment gallstones	None
Hemorrhoids	None
Piles	None
Haemorrhoids	None
Absence of intrinsic factor	None
Intrinsic factor absent from gastric juice	None
Fibrotic muscularis propria	None
Abnormal peristalsis	None
Vomiting fecal matter	None
Feculent vomiting	None
Stercoraceous vomiting	None
Vomiting faecal matter	None
Faecal vomiting	None
Fecal vomiting	None
Biliary epithelial hyperplasia	None
Abnormal biliary tract physiology	None
Perihepatic adhesions	None
Peri-hepatic adhesions	None
Extrahepatic portal hypertension	None
Elevated fecal osmolality	None
Elevated faecal osmolality	None
Anteriorly displaced anus	None
Anus anteposition	None
Anteriorly placed anus	None
Increased hepatic glycogen content	None
Increased liver glycogen content	None
Degenerative enteric myopathy	None
Atrophic muscularis propria	None
Autonomic visceral myopathy	None
Absent/underdeveloped gallbladder	None
Absent/small gallbladder	None
Aplasia/Hypoplasia of the gallbladder	None
GI dysfunction	None
Functional abnormality of the GI tract	None
Functional abnormality of the gastrointestinal tract	None
Megarectum	None
Acute hepatitis	None
Acute liver inflammation	None
Duplication of internal organs	None
Achlorhydria	None
Intestinal malabsorption	None
Malabsorption	None
Intestinal lymphoid nodular hyperplasia	None
Deglutition disorder	None
Swallowing difficulty	None
Dysphagia	None
Swallowing difficulties	None
Poor swallowing	None
Difficulty swallowing	None
Jejunitis	None
Hyperactive bowel sounds	None
Increased bowel sounds	None
Borborygmi	None
Increased hepatocellular lipid droplets	None
Decreased stool elastase level	None
Elastase low in stool	None
Barrett's esophagus	None
Endobrachyesophagus	None
Barret syndrome	None
Barrett oesophagus	None
Barrett's oesophagus	None
Barrett esophagus	None
Stomach tumor	None
Neoplasia of the stomach	None
Neoplasm of the stomach	None
Stomach tumour	None
Reye syndrome-like episodes	None
Steatorrhea	None
Greasy stools	None
Fatty stool	None
Fat in feces	None
Fat in faeces	None
Increased fecal heptacarboxylporphyrin	None
Heptacarboxylporphyrin high in stool	None
Abnormality of intestinal smooth muscle morphology	None
Abnormal portal venous system morphology	None
Bile duct polyp	None
Abnormality of GI vasculature	None
Abnormality of gastrointestinal vasculature	None
Abnormality of GI blood vessels	None
Abnormal gastrointestinal vascular morphology	None
Esophageal stenosis	None
Narrowing of the oesophagus	None
Narrowing of the esophagus	None
Hiatal hernia	None
Hiatus hernia	None
Stomach hernia	None
Increased hepatocellular carcinoma risk	None
Hepatocellular carcinoma	None
Increased incidence of hepatocellular carcinoma	None
Recurrent rectal bleeding	None
Hematochezia	None
Rectal bleeding	None
Anal margin neoplasm	None
Scaphoid abdomen	None
Abnormality of digestive system morphology	None
Pancreatic insulinoma	None
Insulinoma	None
Intestinal lymphedema	None
Midline liver	None
Persistent cloaca	None
Cloacogenic bladder	None
Portal fibrosis	None
Portal fibrosis shown on biopsy	None
Micronodular cirrhosis	None
Absent/small colon	None
Aplasia/Hypoplasia of the colon	None
Absent/underdeveloped colon	None
Colon cancer	None
Megaduodenum	None
Multilobulated spleen	None
Multi-lobulated spleen	None
Giant hypertrophic gastritis	None
Menetrier disease	None
Not able to finish a normal-sized meal	None
Feeling full quickly when eating	None
Early satiety	None
Colonic varices	None
Gastric xanthomas	None
Gastric xanthoma	None
Gastric xanthomata	None
Abnormality of the biliary system	None
Duodenal polyposis	None
Multiple duodenal polyps	None
Fundic gland polyps	None
Proximal polyposis of the stomach	None
Gastric polyposis	None
Fundic gland polyposis	None
Abnormal fecal pH	None
Abnormal faecal pH	None
Adenocarcinoma of the small intestine	None
Bowel irritability	None
Degenerative liver disease	None
Pleomorphic cholangitis	None
Gastrointestinal arteriovenous malformation	None
GI arteriovenous malformation	None
Mucoid diarrhea	None
Mucous diarrhoea	None
Mucous diarrhea	None
Partial abdominal muscle agenesis	None
Esophageal duplication	None
Atretic gallbladder	None
Gallbladder atresia	None
Dilatation of intrahepatic biliary ducts	None
Intrahepatic bile duct dilatation	None
Lymphoid cholangitis	None
Liver tumour	None
Liver cancer	None
Neoplasm of the liver	None
Liver tumor	None
Adenocarcinoma of the large intestine	None
Pancreatic dysplasia	None
Chloride high in stool	None
Elevated stool chloride content	None
Elevations in fecal chloride concentration	None
Duodenal arteriovenous malformation	None
Splenic cyst	None
Cyst on spleen	None
Abnormal pancreas size	None
Inflammation of the large intestine	None
Inflammatory bowel disease	None
Postprandial fullness	None
Hemobilia	None
Haemobilia	None
Small intestine tumour	None
Small intestine tumor	None
Neoplasm of the small intestine	None
Hepatic steatosis, diffuse	None
Diffuse hepatic steatosis	None
Rectovaginal fistula	None
Abnormal connection between rectum and vagina	None
Pancreatoblastoma	None
Abnormal gastric mucosa morphology	None
Abnormality of the mucous membrane layer of stomach	None
Abnormality of the gastric mucosa	None
Bloody mucoid diarrhoea	None
Bloody mucoid diarrhea	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Congenital shortened small intestine	None
Short bowel	None
Duodenal diverticula	None
Hepatic necrosis	None
Abnormality of pancreas physiology	None
Increased stomach size	None
Gastric hypertrophy	None
Bowel diverticula	None
Bowel diverticulosis	None
Yellow skin	None
Yellowing of the skin	None
Icterus	None
Jaundice	None
Multiple small bowel atresias	None
Gastric duplication cyst	None
Gastric duplication	None
Splenopancreatic fusion	None
Hypoganglionosis	None
