Abnormality of taste sensation	HP:0000223
Autistic behaviour	HP:0000729
Autistic behaviors	HP:0000729
Pervasive developmental disorder	HP:0000729
Autism spectrum disorders	HP:0000729
Autistic behavior	HP:0000729
Autism spectrum disorder	HP:0000729
Autistic behaviours	HP:0000729
ASD	HP:0000729
Inflexible adherence to routines or rituals	HP:0000732
Stereotypic behaviour	HP:0000733
Stereotypic behavior	HP:0000733
Stereotyped behaviour	HP:0000733
Stereotypic behaviours	HP:0000733
Repetitive or self-injurious behavior	HP:0000733
Stereotyped, repetitive behaviour	HP:0000733
Stereotypical motor behaviours	HP:0000733
Repetitive or self-injurious behaviour	HP:0000733
Repetitive movements	HP:0000733
Stereotyped behaviors	HP:0000733
Stereotyped behaviours	HP:0000733
Stereotypical motor behaviors	HP:0000733
Motor stereotypy	HP:0000733
Stereotypic behaviors	HP:0000733
Stereotyped behavior	HP:0000733
Stereotypical motor behavior	HP:0000733
Stereotyped, repetitive behavior	HP:0000733
Disinhibition	HP:0000734
Poor social interactions	HP:0000735
Impaired social interactions	HP:0000735
Impaired social interaction	HP:0000735
Problem paying attention	HP:0000736
Short attention span	HP:0000736
Easily distracted	HP:0000736
Poor attention span	HP:0000736
Irritability	HP:0000737
Irritable	HP:0000737
Hallucinations	HP:0000738
Sensory hallucination	HP:0000738
Hallucination	HP:0000738
Excessive, persistent worry and fear	HP:0000739
Anxiety	HP:0000739
Anxiety disease	HP:0000739
Anxiousness	HP:0000739
Episodic paroxysmal anxiety	HP:0000740
Apathy	HP:0000741
Lack of feeling, emotion, interest	HP:0000741
Self-mutilation	HP:0000742
Deliberate self-harm	HP:0000742
Self mutilation	HP:0000742
Frontal release signs	HP:0000743
Frontal release reflexes	HP:0000743
Intolerance to frustration	HP:0000744
Low frustration tolerance	HP:0000744
Lack of initiative	HP:0000745
Lacks initiative	HP:0000745
Lack of motivation	HP:0000745
Lacking in initiative	HP:0000745
Diminished motivation	HP:0000745
Delusions	HP:0000746
Inappropriate laughter	HP:0000748
Paroxysmal laughter	HP:0000749
Paroxysmal bursts of laughter	HP:0000749
Speech difficulties	HP:0000750
Poor speech development	HP:0000750
Impaired speech development	HP:0000750
Speech and language delay	HP:0000750
Language delayed	HP:0000750
Language development deficit	HP:0000750
Deficiency of speech development	HP:0000750
Delayed speech acquisition	HP:0000750
Delayed speech and language development	HP:0000750
Impaired speech and language development	HP:0000750
Language delay	HP:0000750
Delayed language development	HP:0000750
Delayed speech development	HP:0000750
Poor speech acquisition	HP:0000750
Late-onset speech development	HP:0000750
Speech and language difficulties	HP:0000750
Poor language development	HP:0000750
Delayed speech	HP:0000750
Speech delay	HP:0000750
Personality change	HP:0000751
Personality changes	HP:0000751
Hyperactive behavior	HP:0000752
Hyperactivity	HP:0000752
Hyperactive behaviour	HP:0000752
More active than typical	HP:0000752
Autism with high cognitive abilities	HP:0000753
Agoraphobia	HP:0000756
Fear of open spaces	HP:0000756
Lack of insight	HP:0000757
Abnormal nonverbal communicative behavior	HP:0000758
Impaired use of nonverbal behaviours	HP:0000758
Impaired use of nonverbal behaviors	HP:0000758
Abnormal peripheral nervous system morphology	HP:0000759
Abnormal peripheral nervous system structure	HP:0000759
Peripheral nervous system disease	HP:0000759
Decreased NCV	HP:0000762
Decreased nerve conduction velocities	HP:0000762
Reduced nerve conduction velocities	HP:0000762
Decreased nerve conduction velocity	HP:0000762
Slowed nerve conduction velocities	HP:0000762
Delayed nerve conduction velocity	HP:0000762
Slow nerve conduction velocity	HP:0000762
Damage to nerves that sense feeling	HP:0000763
Sensory neuropathy	HP:0000763
Peripheral sensory neuropathy	HP:0000763
Peripheral axonal degeneration	HP:0000764
Poor eye contact	HP:0000817
Growth hormone deficiency	HP:0000824
Decreased response to growth hormone stimulation test	HP:0000824
Somatotropin deficiency	HP:0000824
Anterior hypopituitarism	HP:0000830
Elevated gonadotropins	HP:0000837
Gonadotropin excess	HP:0000837
Increased circulating gonadotropin level	HP:0000837
Elevated serum gonadotropins	HP:0000837
Elevated circulating somatotropin concentration	HP:0000845
Somatotropin excess	HP:0000845
Elevated circulating growth hormone concentration	HP:0000845
Growth hormone excess	HP:0000845
Neurohypophyseal diabetes insipidus	HP:0000863
Central diabetes insipidus	HP:0000863
Hyperprolactinaemia	HP:0000870
Prolactin excess	HP:0000870
Hyperprolactinemia	HP:0000870
Increased circulating prolactin concentration	HP:0000870
Panhypopituitarism	HP:0000871
Posterior fossa cyst at the fourth ventricle	HP:0000933
Neurofibromata	HP:0001067
Neurofibromas	HP:0001067
multiple neurofibromas	HP:0001067
Neurofibromatosis	HP:0001067
Mental retardation, nonspecific	HP:0001249
Nonprogressive intellectual disability	HP:0001249
Poor school performance	HP:0001249
Mental deficiency	HP:0001249
Intellectual disability	HP:0001249
Nonprogressive mental retardation	HP:0001249
Mental retardation	HP:0001249
Dull intelligence	HP:0001249
Mental-retardation	HP:0001249
Low intelligence	HP:0001249
Seizure	HP:0001250
Epileptic seizure	HP:0001250
Seizures	HP:0001250
Epilepsy	HP:0001250
Cerebellar ataxia	HP:0001251
Ataxia	HP:0001251
Lethargy	HP:0001254
Mild mental retardation	HP:0001256
Mild and nonprogressive mental retardation	HP:0001256
Mental retardation, borderline-mild	HP:0001256
Mental retardation, mild	HP:0001256
Intellectual disability, mild	HP:0001256
Involuntary muscle stiffness, contraction, or spasm	HP:0001257
Muscular spasticity	HP:0001257
Muscle spasticity	HP:0001257
Spasticity	HP:0001257
Spastic paraplegia	HP:0001258
Spastic paraplegia, lower limb	HP:0001258
Coma	HP:0001259
Dysarthria	HP:0001260
Difficulty articulating speech	HP:0001260
Dysarthric speech	HP:0001260
Excessive daytime somnolence	HP:0001262
More than typical sleepiness during day	HP:0001262
Excessive daytime sleepiness	HP:0001262
Delayed cognitive development	HP:0001263
Psychomotor developmental delay	HP:0001263
Developmental delay	HP:0001263
Psychomotor development deficiency	HP:0001263
Delayed intellectual development	HP:0001263
Psychomotor delay	HP:0001263
Developmental retardation	HP:0001263
Mental and motor retardation	HP:0001263
Global developmental delay	HP:0001263
Retarded psychomotor development	HP:0001263
Psychomotor development failure	HP:0001263
Developmental delay in early childhood	HP:0001263
Delayed development	HP:0001263
Delayed developmental milestones	HP:0001263
Lack of psychomotor development	HP:0001263
Motormental retardation	HP:0001263
Cognitive delay	HP:0001263
Retarded mental development	HP:0001263
Retarded development	HP:0001263
Delayed milestones	HP:0001263
Developmental delay, global	HP:0001263
Delayed psychomotor development	HP:0001263
Motor and developmental delay	HP:0001263
Spastic diplegia	HP:0001264
Spastic diparesis	HP:0001264
Spastic diplegic	HP:0001264
Decreased reflexes	HP:0001265
Hyporeflexia	HP:0001265
Decreased reflex response	HP:0001265
Choreoathetoid movements	HP:0001266
Choreoathetosis	HP:0001266
Progressive cognitive decline	HP:0001268
Cognitive decline	HP:0001268
Mental deterioration	HP:0001268
Intellectual deterioration	HP:0001268
Cognitive decline, progressive	HP:0001268
Hemiparesis	HP:0001269
Weakness of one side of body	HP:0001269
Delayed motor development	HP:0001270
Motor retardation	HP:0001270
Motor delay	HP:0001270
Delayed early motor milestones	HP:0001270
Delay in motor development	HP:0001270
Locomotor delay	HP:0001270
Motor developmental milestones not achieved	HP:0001270
Motor developmental delay	HP:0001270
Delayed motor milestones	HP:0001270
Retarded motor development	HP:0001270
No development of motor milestones	HP:0001270
Polyneuropathy	HP:0001271
Peripheral nerve disease	HP:0001271
Degeneration of cerebellum	HP:0001272
Cerebellar atrophy	HP:0001272
Atrophic cerebellum	HP:0001272
Infratentorial atrophy	HP:0001272
Corpus callosum abnormality	HP:0001273
Abnormal corpus callosum morphology	HP:0001273
Abnormal corpus callosum	HP:0001273
Abnormality of the corpus callosum	HP:0001273
Dysplastic or absent corpus callosum	HP:0001274
Absence of corpus callosum	HP:0001274
Corpus callosum agenesis	HP:0001274
Absent corpus callosum	HP:0001274
Agenesis of corpus callosum	HP:0001274
Agenesis of the corpus callosum	HP:0001274
Callosal agenesis	HP:0001274
Postural hypotension	HP:0001278
Decrease in blood pressure upon standing up	HP:0001278
Orthostatic hypotension	HP:0001278
Bulbar muscle weakness	HP:0001283
Bulbar palsy	HP:0001283
Bulbar weakness	HP:0001283
Bulbar palsies	HP:0001283
Absent reflexes	HP:0001284
Absent deep tendon reflexes	HP:0001284
Areflexia	HP:0001284
Absent tendon reflexes	HP:0001284
Deep tendon reflexes absent	HP:0001284
Loss of deep tendon reflexes	HP:0001284
Spastic quadriparesis	HP:0001285
Spastic tetraparesis	HP:0001285
Meningitis	HP:0001287
Gait disturbances	HP:0001288
Gait difficulties	HP:0001288
Abnormal walk	HP:0001288
Gait disturbance	HP:0001288
Impaired gait	HP:0001288
Abnormal gait	HP:0001288
Gait abnormalities	HP:0001288
Easily confused	HP:0001289
Confusion	HP:0001289
Mental disorientation	HP:0001289
Disorientation	HP:0001289
Abnormality of the cranial nerves	HP:0001291
Cranial nerve involvement	HP:0001291
Cranial nerve abnormality	HP:0001291
Abnormality of cranial nerve	HP:0001291
Abnormal cranial nerve morphology	HP:0001291
Cranial nerve disease	HP:0001291
Cranial nerve compression	HP:0001293
Cerebrovascular accidents	HP:0001297
Cerebrovascular accident	HP:0001297
Stroke	HP:0001297
Cerebral vascular events	HP:0001297
Encephalopathy	HP:0001298
Parkinsonian disease	HP:0001300
Parkinsonism	HP:0001300
Chronic sensorineural polyneuropathy	HP:0001301
Pachygyria	HP:0001302
Fewer and broader ridges in brain	HP:0001302
Cerebral pachygyria	HP:0001302
Torsion dystonia	HP:0001304
Dystonia musculorum deformans	HP:0001304
Dandy-Walker cyst	HP:0001305
Dandy-Walker malformation	HP:0001305
Dandy-walker anomaly	HP:0001305
Lingual fibrillations	HP:0001308
Lingual twitching	HP:0001308
Tongue twitching	HP:0001308
Tongue fasciculations	HP:0001308
Twitching of the tongue	HP:0001308
Tongue fasciculations/fibrillations	HP:0001308
Tongue fasciculation	HP:0001308
Lingual fasciculations	HP:0001308
Dysmetria	HP:0001310
Abnormal finger chase test	HP:0001310
Lack of coordination of movement	HP:0001310
Abnormal finger-nose-finger test	HP:0001310
Neurophysiologic abnormality	HP:0001311
Neurophysiologic abnormalities	HP:0001311
Abnormal nervous system electrophysiology	HP:0001311
Giant somatosensory evoked potentials	HP:0001312
Giant SEPS	HP:0001312
Reduced tendon reflexes	HP:0001315
Diminished deep tendon reflexes	HP:0001315
Diminished or absent tendon reflexes	HP:0001315
Diminished or absent deep tendon reflexes	HP:0001315
Decreased to absent deep tendon reflexes	HP:0001315
Decreased tendon reflexes	HP:0001315
Hypoactive to absent deep tendon reflexes	HP:0001315
Absent or decreased deep tendon reflexes	HP:0001315
Decreased deep tendon reflexes	HP:0001315
Decreased/absent deep tendon reflexes	HP:0001315
Depressed tendon reflexes	HP:0001315
Weak or absent deep tendon reflexes	HP:0001315
Impaired tendon reflexes	HP:0001315
Reduced/absent deep tendon reflexes	HP:0001315
Cerebellar signs	HP:0001317
Cerebellar anomaly	HP:0001317
Abnormality of the cerebellum	HP:0001317
Abnormal cerebellum morphology	HP:0001317
Cerebellar abnormalities	HP:0001317
Cerebellar abnormality	HP:0001317
Hypoplasia of the cerebellar vermis	HP:0001320
Cerebellar vermis hypoplasia	HP:0001320
Hypoplastic cerebellar vermis	HP:0001320
Cerebellar vermal hypoplasia	HP:0001320
Underdeveloped cerebellum	HP:0001321
Cerebellar hypoplasia	HP:0001321
Small cerebellum	HP:0001321
Congenital cerebellar hypoplasia	HP:0001321
Hypoplastic cerebellum	HP:0001321
Hypoplasia of cerebellum	HP:0001321
Coma, hypoglycemic	HP:0001325
Hypoglycaemic coma	HP:0001325
Hypoglycemic coma	HP:0001325
Coma caused by low blood sugar	HP:0001325
Loss of consciousness due to hypoglycemia	HP:0001325
EEG with irregular generalised spike and wave complexes	HP:0001326
EEG with irregular generalized spike and wave complexes	HP:0001326
Photomyoclonic seizures	HP:0001327
Photically induced myoclonic seizure	HP:0001327
Photomyoclonic seizure	HP:0001327
Photosensitive myoclonic seizure	HP:0001327
Specific learning disability	HP:0001328
Absence of septum pellucidum	HP:0001331
Absence of the septum pellucidum	HP:0001331
Missing septum pellucidum	HP:0001331
Agenesis of the septum pellucidum	HP:0001331
Absent septum pellucidum	HP:0001331
Dystonia	HP:0001332
Dystonic movements	HP:0001332
Dystonic disease	HP:0001332
Communicating hydrocephalus	HP:0001334
Mirror hand movements	HP:0001335
Mirror movements	HP:0001335
Bimanual synkinesia	HP:0001335
Hand mirror movements	HP:0001335
Myoclonic jerks	HP:0001336
Jerking	HP:0001336
Myoclonus	HP:0001336
Involuntary jerking movements	HP:0001336
Tremors	HP:0001337
Tremor	HP:0001337
Partial agenesis of corpus callosum	HP:0001338
Partial or complete agenesis of corpus callosum	HP:0001338
Corpus callosum agenesis, partial	HP:0001338
Partial agenesis of the corpus callosum	HP:0001338
Partial-total agenesis of corpus callosum	HP:0001338
Partial or complete agenesis of the corpus callosum	HP:0001338
Partial corpus callosum agenesis	HP:0001338
Partial to complete agenesis of corpus callosum	HP:0001338
Lissencephaly	HP:0001339
Fewer or absent grooves in brain	HP:0001339
Enhancement of the C-reflex	HP:0001340
Olfactory lobe absence	HP:0001341
Olfactory lobe agenesis	HP:0001341
Intracerebral haemorrhage	HP:0001342
Cerebral haemorrhage	HP:0001342
Hemorrhagic stroke	HP:0001342
Intracerebral hemorrhage	HP:0001342
Bleeding in brain	HP:0001342
Cerebral hemorrhage	HP:0001342
Kernicterus	HP:0001343
Nonverbal	HP:0001344
Absent speech development	HP:0001344
Absent speech	HP:0001344
Lack of language development	HP:0001344
No speech development	HP:0001344
Lack of speech	HP:0001344
No speech or language development	HP:0001344
Psychotic mentation	HP:0001345
Hyperreflexia	HP:0001347
Increased deep tendon reflexes	HP:0001347
Increased reflexes	HP:0001347
Brisk reflexes	HP:0001348
Brisk deep tendon reflexes	HP:0001348
Facial diplegia	HP:0001349
Bilateral facial weakness	HP:0001349
Facial paresis, bilateral	HP:0001349
Slurred speech	HP:0001350
Jerk-locked premyoclonus spikes	HP:0001351
Enlarged brain	HP:0001355
Megalencephaly	HP:0001355
Macrencephaly	HP:0001355
Holoprosencephaly	HP:0001360
Single brain ventricle	HP:0001360
Eye poking	HP:0001483
Ocular auto-stimulation	HP:0001483
Oculodigital phenomenon	HP:0001483
Weakness of the vocal cords	HP:0001604
Vocal cord paresis in severe cases	HP:0001604
Vocal cord paresis	HP:0001604
Hoarse voice due to vocal cord paresis	HP:0001604
Vocal cord paralysis	HP:0001605
Laryngeal paralysis	HP:0001605
Inability to move vocal cords	HP:0001605
Dysphonia	HP:0001618
Inability to produce voice sounds	HP:0001618
Voice change	HP:0001618
Extreme thirst	HP:0001959
Polydipsia	HP:0001959
Morphological abnormality of the central nervous system	HP:0002011
Central nervous system disease	HP:0002011
Abnormality of the central nervous system	HP:0002011
Morphological central nervous system abnormality	HP:0002011
Morphological abnormality of the CNS	HP:0002011
Deglutition disorder	HP:0002015
Swallowing difficulty	HP:0002015
Dysphagia	HP:0002015
Swallowing difficulties	HP:0002015
Poor swallowing	HP:0002015
Difficulty swallowing	HP:0002015
Degeneration of cerebrum	HP:0002059
Cerebral atrophy	HP:0002059
Supratentorial atrophy	HP:0002059
Cerebral lesion	HP:0002060
Abnormality of the telencephalon	HP:0002060
Abnormality of the cerebrum	HP:0002060
Abnormal cerebral morphology	HP:0002060
Lower limb spasticity	HP:0002061
Morphological abnormality of the pyramidal tract	HP:0002062
Pyramidal tract disease	HP:0002062
Abnormality of the pyramidal tracts	HP:0002062
Spastic walk	HP:0002064
Spastic gait	HP:0002064
Ataxia of gait	HP:0002066
Gait ataxia	HP:0002066
Ataxic gait	HP:0002066
Inability to coordinate movements when walking	HP:0002066
Bradykinesia	HP:0002067
Slow movements	HP:0002067
Slowness of movements	HP:0002067
Neuromuscular dysphagia	HP:0002068
Generalised convulsion	HP:0002069
Tonic-clonic convulsion	HP:0002069
Bilateral convulsive seizures	HP:0002069
Bilateral tonic-clonic seizure	HP:0002069
Seizures, tonic-clonic	HP:0002069
Generalized convulsion	HP:0002069
Generalized tonic-clonic seizure (without specification of onset)	HP:0002069
Tonic-clonic convulsions	HP:0002069
Grand mal	HP:0002069
Generalised tonic-clonic seizure (without specification of onset)	HP:0002069
Grand mal seizures	HP:0002069
Limb ataxia	HP:0002070
Appendicular ataxia	HP:0002070
Abnormality of extrapyramidal motor function	HP:0002071
Extrapyramidal tract signs	HP:0002071
Extrapyramidal dysfunction	HP:0002071
Extrapyramidal syndrome	HP:0002071
Extrapyramidal signs	HP:0002071
Extrapyramidal symptoms	HP:0002071
Chorea	HP:0002072
Choreic movements	HP:0002072
Choreatic disease	HP:0002072
Choreiform movements	HP:0002072
Progressive ataxia	HP:0002073
Progressive cerebellar ataxia	HP:0002073
Cerebellar ataxia, progressive	HP:0002073
Increased neuronal autofluorescent lipopigment	HP:0002074
Neuronal lipopigments	HP:0002074
Difficulty performing quick and alternating movements	HP:0002075
Dysdiadochokinesia	HP:0002075
Dysdiadochokinesis	HP:0002075
Migraine	HP:0002076
Intermittent migraine headaches	HP:0002076
Migraine headaches	HP:0002076
Migraine headache	HP:0002076
Migraine with aura	HP:0002077
Instability or lack of coordination of central trunk muscles	HP:0002078
Trunk ataxia	HP:0002078
Truncal ataxia	HP:0002078
Hypoplasia of the corpus callosum	HP:0002079
Hypoplasia of corpus callosum	HP:0002079
Hypoplastic corpus callosum	HP:0002079
Corpus callosum hypoplasia	HP:0002079
Underdevelopment of part of brain called corpus callosum	HP:0002079
Terminal tremor	HP:0002080
Intention tremor	HP:0002080
Cerebellar tremor	HP:0002080
Migraine without aura	HP:0002083
Bifid skull	HP:0002084
Encephalocele	HP:0002084
Cranium bifidum	HP:0002084
Occipital meningoencephalocele	HP:0002085
Brain tissue sticks out through back of skull	HP:0002085
Occipital encephalocele	HP:0002085
Posterior encephalocele	HP:0002085
Abnormal cerebral ventricle morphology	HP:0002118
Abnormality of the cerebral ventricles	HP:0002118
Dilated cerebral ventricle	HP:0002119
Enlarged ventricles	HP:0002119
Ventriculomegaly	HP:0002119
Dilated ventricles	HP:0002119
Ventricular dilatation	HP:0002119
Large cerebral ventricles and cisternae	HP:0002119
Dilated cerebral ventricles	HP:0002119
Cerebral ventricular dilatation	HP:0002119
Enlarged ventricular system	HP:0002119
Enlarged cerebral ventricles	HP:0002119
Cortical atrophy	HP:0002120
Decrease in size of the outer layer of the brain due to loss of brain cells	HP:0002120
Cerebral cortex atrophy	HP:0002120
Cerebral cortical atrophy	HP:0002120
Petit mal seizures	HP:0002121
Generalized non-motor (absence) seizure	HP:0002121
Brief seizures with staring spells	HP:0002121
Generalised non-motor (absence) seizure	HP:0002121
Absence seizure	HP:0002121
Generalised non-motor seizure	HP:0002121
Petit mal seizure	HP:0002121
Petit mal	HP:0002121
Absence seizures	HP:0002121
Generalized myoclonic seizure	HP:0002123
Myoclonic epilepsy, progressive	HP:0002123
Myoclonus seizures	HP:0002123
Generalized myoclonic seizures	HP:0002123
Generalized epileptic myoclonus	HP:0002123
Generalised myoclonic seizures	HP:0002123
Generalised epileptic myoclonus	HP:0002123
Generalised myoclonic seizure	HP:0002123
More grooves in brain	HP:0002126
Polymicrogyria	HP:0002126
Abnormal upper motor neuron morphology	HP:0002127
Abnormal shape of upper motor neuron	HP:0002127
Paroxysmal ataxia	HP:0002131
Episodic ataxia	HP:0002131
Intermittent cerebellar ataxia	HP:0002131
Porencephalic cyst	HP:0002132
Cavity within brain	HP:0002132
Repeated seizures without recovery between them	HP:0002133
Status epilepticus	HP:0002133
Prolonged seizure	HP:0002133
Repeated seizure without recovery	HP:0002133
Anomaly of the basal ganglia	HP:0002134
Abnormality of the basal ganglia	HP:0002134
Basal ganglia disease	HP:0002134
Abnormal basal ganglia morphology	HP:0002134
Basal ganglia calcifications	HP:0002135
Basal ganglion calcification	HP:0002135
Calcification of the basal ganglia	HP:0002135
Basal ganglia calcification	HP:0002135
Wide based gait	HP:0002136
Wide based walk	HP:0002136
Broad based gait	HP:0002136
Wide-based gait	HP:0002136
Broad-based gait	HP:0002136
Subarachnoid hemorrhage	HP:0002138
Subarachnoid haemorrhage	HP:0002138
Arrhinencephaly	HP:0002139
Ischaemic stroke	HP:0002140
Ischemic stroke	HP:0002140
Imbalanced walk	HP:0002141
Gait imbalance	HP:0002141
Abnormality of equilibrium	HP:0002141
Abnormality of balance	HP:0002141
Abnormality of the spinal cord	HP:0002143
Spinal cord disease	HP:0002143
Spinal cord pathology	HP:0002143
Occult spinal dysraphism	HP:0002144
Tethered cord	HP:0002144
Frontotemporal dementia	HP:0002145
Decreased lower limb vibratory sense	HP:0002166
Decreased vibratory sense in the lower limbs	HP:0002166
Decreased vibratory sense in lower limbs	HP:0002166
Impaired vibration sensation in the lower limbs	HP:0002166
Diminished vibratory sensation in the legs	HP:0002166
Decreased vibratory sense in the lower extremities	HP:0002166
Distal sensory loss, especially vibratory sense	HP:0002166
Distal vibratory impairment of the lower limbs	HP:0002166
Speech disorder	HP:0002167
Speech impediment	HP:0002167
Neurological speech impairment	HP:0002167
Speech impairment	HP:0002167
Explosive speech	HP:0002168
Scanning speech	HP:0002168
Clonus	HP:0002169
Involuntary rhythmic muscular contractions and relaxations	HP:0002169
Intracranial haemorrhage	HP:0002170
Intracranial hemorrhage	HP:0002170
Bleeding within the skull	HP:0002170
Cerebral gliosis	HP:0002171
Excess astrocytes in brain	HP:0002171
Gliosis	HP:0002171
Imbalance	HP:0002172
Abnormal retropulsion test	HP:0002172
Balance impairment	HP:0002172
Postural instability	HP:0002172
Hypoglycemic seizures	HP:0002173
Tremor, postural	HP:0002174
Postural tremor	HP:0002174
Pressure on spinal cord	HP:0002176
Spinal cord compression	HP:0002176
Opisthotonus	HP:0002179
Opisthotonos	HP:0002179
Progressive neurodegenerative disorder	HP:0002180
Neurodegeneration	HP:0002180
Neuro-degenerative disease	HP:0002180
Ongoing loss of nerve cells	HP:0002180
Neurodegenerative disease	HP:0002180
Brain swelling	HP:0002181
Cerebral oedema	HP:0002181
Brain edema	HP:0002181
Cerebral edema	HP:0002181
Brain oedema	HP:0002181
Swelling of brain	HP:0002181
Phonophobia	HP:0002183
Fear of loud sounds	HP:0002183
Paired helical filaments	HP:0002185
Neurofibrillary tangles	HP:0002185
Neurofibrillary tangles composed of disordered microtubules in neurons	HP:0002185
Apraxia	HP:0002186
Apraxias	HP:0002186
Mental retardation, profound	HP:0002187
IQ less than 20	HP:0002187
Profound mental retardation	HP:0002187
Intellectual disability, profound	HP:0002187
Delayed CNS myelination	HP:0002188
Delay in central nervous system myelination	HP:0002188
Choroid plexus cyst	HP:0002190
Spasticity, progressive	HP:0002191
Progressive spasticity	HP:0002191
Pseudobulbar behavioural symptoms	HP:0002193
Pseudobulbar behavioral symptoms	HP:0002193
Developmental delay, gross motor	HP:0002194
Delayed gross motor development	HP:0002194
Delayed motor skills	HP:0002194
Limited gross motor development	HP:0002194
Delayed gross motor skills	HP:0002194
Gross motor delay	HP:0002194
Dysgenesis of the cerebellar vermis	HP:0002195
Myelopathy	HP:0002196
Primary generalised seizure	HP:0002197
Generalised-onset seizure	HP:0002197
Generalized onset seizure	HP:0002197
Generalized-onset seizure	HP:0002197
Generalised onset seizure	HP:0002197
Primary generalized seizure	HP:0002197
Generalized-onset seizures	HP:0002197
Generalized seizures	HP:0002197
Generalised seizures	HP:0002197
Dilated fourth ventricle	HP:0002198
Enlarged fourth ventricle	HP:0002198
Hypocalcemic seizures	HP:0002199
Seizures due to hypocalcemia	HP:0002199
Low calcium seizures	HP:0002199
Pseudobulbar symptoms	HP:0002200
Pseudobulbar signs	HP:0002200
Respiratory paralysis	HP:0002203
Aganglionic megacolon	HP:0002251
Congenital megacolon	HP:0002251
Hirschsprung megacolon	HP:0002251
Enlarged colon lacking nerve cells	HP:0002251
Megacolon	HP:0002251
Hirschsprung disease	HP:0002251
Localized clonic seizure	HP:0002266
