Abnormality of body height	HP:0000002
Asymmetric lower limb shortness	HP:0200053
Asymmetric leg shortening	HP:0200053
Hemihypotrophy of lower limb	HP:0200053
Fluid around heart	None
Pericardial effusions	None
Pericardial effusion	None
Bidirectional ventricular tachycardia	None
Pulmonary arterial medial hypertrophy	None
Hypertrophy of the pulmonary artery wall	None
Abnormality of the lymphatic system	None
Lymphatic disease	None
Abnormal celiac artery morphology	None
Abnormality of the celiac artery	None
Abnormality of the coeliac artery	None
Abnormal coeliac artery morphology	None
Bacterial endocarditis	None
Infective endocarditis	None
Quivering upper heart chambers resulting in irregular heartbeat	None
Atrial fibrillation	None
Orthostatic hypotension due to autonomic dysfunction	None
Abnormal aortic morphology	None
Abnormality of the aorta	None
Abnormal aorta morphology	None
Noncompaction of the ventricular myocardium	None
Spongiform cardiomyopathy	None
Noncompaction cardiomyopathy	None
Abnormal pulmonary artery physiology	None
Increased cardiac output	None
Partial right sided absence of pericardium	None
External carotid artery dissection	None
Developmental Venous Anomaly	None
Cerebral venous angioma	None
Abnormal ventricular filling	None
Elevated right atrial pressure	None
Abnormal lymph node histology	None
Abnormality of the lymph nodes	None
Ectopic thymus tissue	None
Abnormal thymus position	None
Elevated heart rate	None
Increased heart rate	None
Heart racing	None
Fast heart rate	None
Rapid heart beat	None
Tachycardia	None
Racing heart	None
Supravalvular mitral ring	None
Supramitral ring	None
Membranous supravalvular mitral stenosis	None
Diffuse telangiectasia	None
Diffuse telangiectases	None
Telangiectases, random body distribution	None
Portal hypertension	None
Subaortic ventricular septal bulge	None
Vulvar hemangioma	None
Cardiomyopathy	None
Disease of the heart muscle	None
Vein of Galen malformation	None
Median prosencephalic arteriovenous fistula	None
Vein of Galen aneurysmal malformation	None
Vein of Galen aneurysm	None
Coronary artery aneurysm	None
Coronary artery ectasia	None
Coronary arterial dilatation	None
Coronary artery dilatation	None
Left ventricle to aorta tunnel	None
Aorto-left ventricular tunnel	None
Incomplete septal cirrhosis	None
Idiopathic non-cirrhotic portal hypertension	None
Non cirrhotic portal fibrosis	None
Obliterative portal venopathy	None
Intrahepatic portal vein sclerosis	None
S3	None
Third heart sound	None
Ventricular gallop	None
Renal artery aneurysm	None
Middle cerebral artery calcification	None
Elevated right ventricular systolic pressure	None
Pulmonary vein dilatation	None
Pulmonary vein varix	None
Cardiomyocyte inclusion bodies	None
Cardiac murmur	None
Heart murmurs	None
Cardiac murmurs	None
Heart murmur	None
Aplastic/Hypoplastic nasopharyngeal adenoids	None
Adenoids small or absent	None
Left aortic arch with cervical origin of the right subclavian artery	None
Hemangioma of the lip	None
Blushed cheeks	None
Red in the face	None
Blushing	None
Red face	None
Ruddy face	None
Facial erythema	None
Rosacea	None
Frontal venous angioma	None
Pulmonary artery vasoconstriction	None
Tricuspid valve regurgitation	None
Tricuspid insufficiency	None
Tricuspid regurgitation	None
Bicuspid aortic valve with left-noncoronary cusp fusion	None
Hepatic hemangioma	None
Liver hemangioma	None
Hemangioma of the liver	None
Perinuclear cardiomyocyte vacuolization	None
Dilatation of the cerebral artery	None
Cerebral aneurysm	None
Intracranial aneurysm	None
Cerebral artery aneurysm	None
Brain aneurysm	None
Interrupted aortic arch type A	None
Abnormality of the cerebral vasculature	None
Abnormal cerebral vascular morphology	None
Abnormality of the cerebral blood vessels	None
Palatal angioectasia	None
Palatal telangiectasia	None
Telangiectasia of the roof of the mouth	None
Palate telangiectases	None
Palate telangiectasia	None
Spider veins of the roof of the mouth	None
Palatal spider veins	None
Palate teleangiectases	None
Transient ischaemic attacks	None
Transient ischaemic attack	None
Transient ischemic attack	None
Transient ischemic attacks	None
Mini stroke	None
TIA	None
Anomalous origin of the right common carotid artery from the aorta	None
Delayed myocardial gadolinium enhancement	None
Myocardial late gadolinium enhancement	None
Finger pad telangiectases	None
Fingerpad telangiectases	None
Small dilated blood vessels in fingerpads	None
Erythema	None
Redness of skin or mucous membrane	None
Abnormal tricuspid chordae tendinae morphology	None
Atrioventricular nodal disease	None
Atrioventricular block	None
Interruption of electrical communication between upper and lower chambers of heart	None
Left aortic arch with isolated subclavian artery	None
Abnormal cardiac ventricle morphology	None
Abnormality of cardiac ventricle	None
Localised pulmonary haemorrhage	None
Localized pulmonary hemorrhage	None
Macular telangiectasia	None
Juxtafoveal telangiectasia	None
Parafoveal telangiectasia	None
Abnormal coronary artery origin	None
Biventricular hypertrophy	None
Dilatation of superior mesenteric artery	None
Superior mesenteric artery aneurysm	None
Grade II fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Anomalous origin of left subclavian artery	None
Early progressive calcific cardiac valvular disease	None
Anomalous origin of the left circumflex artery from the right coronary artery	None
Macular cherry red spot	None
Cherry red spot of the macula	None
Prolonged myocardial native T1	None
Elevated myocardial native T1	None
Left-to-right shunt	None
Ostium primum atrial septal defect	None
Septum primum defect	None
Primum atrioventricular canal defect	None
Atrial septal defect, primum type	None
Primum atrial septal defect	None
Cardiac teratoma	None
Apical hypertrophic cardiomyopathy	None
Double orifice mitral valve	None
Intestinal haemorrhage	None
Intestinal hemorrhage	None
Intestinal bleeding	None
Anomalous insertion of papillary muscle directly into anterior mitral leaflet	None
Ascending aorta hypoplasia	None
Cardiac diverticulum	None
Ventricular diverticulum	None
Arteriosclerosis of small cerebral arteries	None
Hardened artery wall in small cerebral arteries	None
Polymorphic and polytopic ventricular extrasystoles	None
Superior-inferior ventricles without criss-cross atrioventricular valves	None
Celiac artery dissection	None
Sudden cardiac death	None
Premature sudden cardiac death	None
Radial artery aplasia	None
Premature calcification of mitral annulus	None
Mitral annular calcification	None
Small heart	None
Hypoplastic heart	None
Underdeveloped heart	None
Truncus arteriosus	None
Persistant truncus arteriosus	None
Common arterial trunk	None
Labial hemangioma	None
Hyperdynamic left ventricular ejection fraction	None
Large vacuolated foam cells ('NP cells') on bone marrow biopsy	None
Bone-marrow foam cells	None
Large vacuolated foam cells on bone marrow biopsy	None
Bone marrow foam cells	None
Conal ventricular septal defect	None
Supracristal ventricular septal defect	None
Subarterial ventricular septal defect	None
Infundibular ventricular septal defect	None
Doubly committed ventricular septal defect	None
Type 1 ventricular septal defect	None
Elongated chordae tendinae of the mitral valve	None
Dilatation of coeliac artery	None
Coeliac artery aneurysm	None
Dilatation of celiac artery	None
Celiac artery aneurysm	None
Recurrent inflammation of tonsils	None
Recurrent tonsillitis	None
Abnormality of cardiovascular system physiology	None
Abnormal cardiovascular system physiology	None
Ascending aortic dissection	None
Type A aortic dissection	None
Unroofed coronary sinus	None
Increased U wave amplitude	None
Prominent U wave	None
Abnormality of inferior thyroid vein	None
Abnormal inferior thyroid vein morphology	None
Partial anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous return	None
Facial capillary hemangioma	None
Missing portal vein	None
CAPV	None
Congenital absence of portal vein	None
Abnormality of greater palatine artery	None
Abnormal greater palatine artery morphology	None
Right aortic arch with mirror image branching	None
Total anomalous pulmonary venous drainage	None
Total anomalous pulmonary venous return	None
Total anomalous pulmonary venous connection	None
Premature occlusive vascular stenosis	None
Pericardial late gadolinium enhancement	None
Lymphangioma of the orbit	None
Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis	None
DORV with doubly committed VSD and pulmonary stenosis	None
Narrowing of coronary artery	None
Coronary artery stenosis	None
Tortuous carotid arteries	None
Carotid artery tortuosity	None
Coronary cameral fistula to right ventricle	None
Venous malformations	None
Venous malformation	None
Epsilon wave	None
Absent pulse	None
Left ventricular systolic dysfunction	None
Extreme axis deviation	None
Single coronary artery origin	None
Angiokeratoma circumscriptum naeviforme	None
Granulomatous coronary arteritis	None
Notched T-wave	None
Notched T wave	None
Fetal cerebellar vermis hemorrhage	None
Blood pressure substantially higher in legs than arms	None
Blood pressure substantially lower in arms than legs	None
Blood pressure substantially higher in lower than upper extremities	None
Blood pressure substantially lower in upper than lower extremities	None
Grade IV fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with periventricular hemorrhage	None
Infra-aortic superior vena cava	None
Vertebrobasilar dolichoectasia	None
Abnormality of ophthalmic artery	None
Ophthalmic artery anomaly	None
Abnormality of internal jugular vein	None
Angiooedema	None
Quincke edema	None
Angioedema	None
Quincke oedema	None
Angioneurotic oedema	None
Peripheral retinal neovascularization	None
Bronchopulmonary anastomosis	None
Cardiac total anomalous pulmonary venous connexion	None
Total anomalous pulmonary venous connection, intracardiac	None
Type 2 total anomalous pulmonary venous connection	None
Cardiac total anomalous pulmonary venous connection	None
Persistent patent ductus venosus	None
TCFA	None
Thin-cap fibroatheroma	None
Vascular skin abnormality	None
Vascular abnormalities restricted to skin	None
Skin vascular malformation	None
Atrial flutter	None
Dysplastic aortic valve	None
Spleen infarct	None
Spleen infarction	None
Splenic infarction	None
Splenic infarct	None
Right ventricular outlet obstruction	None
Right ventricular outlet tract obstruction	None
Increased cardiac index	None
Subdural haemorrhage	None
Subdural hematoma	None
Subdural hemorrhage	None
Subdural haematoma	None
Superior vena cava obstruction	None
Obstruction of the superior vena cava	None
Superior vena cava syndrome	None
Monomorphic ventricular tachycardia	None
PR segment depression	None
PR interval depression	None
PTa depression	None
Butterfly facial telangiectasia	None
Facial telangiectasia in butterfly midface distribution	None
Pulmonary arterial hypertension with lack of acute response to NO challenge	None
Cardiac fibroma	None
Unifocal splenic abscess	None
Unilocular splenic abscess	None
Solitary splenic abscess	None
Accelerated atherosclerosis	None
Accelerated plaque build-up in arteries	None
Type I atherosclerotic lesion	None
Continuous heart murmur	None
Left ventricular - right atrial communication	None
Gerbode ventricular septal defect	None
Hypersplenism	None
Right-sided aortic arch	None
Right aortic arch	None
Abnormal pulmonary valve cusp morphology	None
Oncocytic cardiomyopathy	None
Arachnocytosis of the myocardium	None
Infantile cardiomyopathy with histiocytoid changes	None
Focal lipid cardiomyopathy	None
Infantile xanthomatous cardiomyopathy	None
Isolated cardiac lipidosis	None
Myocardial or conduction system hamartoma	None
Foamy myocardial transformation	None
Histiocytoid cardiomyopathy	None
Foveal haemorrhage	None
Foveal hemorrhage	None
Pulmonary artery atresia	None
Pulmonary atresia	None
Non-pruritic urticaria	None
Non-itchy hives	None
Coronary-pulmonary artery fistula	None
Transposition of the great arteries	None
Transposition of great vessels	None
Thyroid lymphangiectasis	None
Thyroid lymphangiectasia	None
Vitreous haemorrhage	None
Vitreous hemorrhage	None
Arterial cystic medial necrosis	None
Cystic medial necrosis	None
Vascular tortuosity	None
Twisted blood vessels	None
Fetal cerebral parenchymal hemorrhage	None
2:1 AV block	None
2:1 atrioventricular block	None
Esophageal hemangioma	None
Aortic isthmus hypoplasia	None
Complete heart block with broad QRS complexes	None
Abnormal cardiac output	None
Hypertrophic hemangioma	None
Angioblastoma	None
Progressive capillary hemangioma	None
Angioblastoma of Nakagawa	None
Tufted angioma	None
Tufted hemangioma	None
Reduced left ventricular endsystolic diameter	None
Prominent superficial vasculature	None
Prominent superficial blood vessels	None
Increased heart rate variability	None
Coronary artery calcification	None
Muscular subvalvular aortic stenosis	None
Muscular subaortic stenosis	None
Muscle haemorrhage	None
Muscle hemorrhage	None
Hemopericardium	None
Biventricular noncompaction cardiomyopathy	None
Underdeveloped lung veins	None
Hypoplastic pulmonary veins	None
Osborne waves	None
EKG J waves	None
J wave	None
Anteriorly displaced papillary muscles	None
Anterior displacement of the papillary muscles	None
Anomalous origin of the right subclavian artery from the descending aorta	None
Libman-Sacks lesions	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal haemorrhage	None
Retinal bleeding	None
Pulmonary fat embolism	None
Fat embolism	None
Abnormal internal carotid artery morphology	None
Abnormality of internal carotid artery	None
Anomalous origin of one pulmonary artery from ascending aorta	None
Hemitruncus	None
TTR cardiac amyloidosis	None
Transthyretin cardiac amyloidosis	None
Wolff-Parkinson-White syndrome	None
Cutis marmorata	None
Hemarthrosis	None
Spontaneous joint haemorrhage	None
Bleeding within a joint	None
Joint hemorrhage	None
Hemarthroses	None
Joint haemorrhage	None
Spontaneous joint hemorrhage	None
Myocardial eosinophilic infiltration	None
CIU	None
Chronic idiopathic urticaria	None
Chronic spontaneous urticaria	None
CSU	None
Pulmonary aterial intimal fibrosis	None
Calcified amorphous tumor of the heart	None
Calcified amorphous tumour of the heart	None
Darier's sign	None
Bladder incontinence	None
Urinary incontinence	None
Loss of bladder control	None
Sudden cardiac death	None
Premature sudden cardiac death	None
Sudden death	None
Pain in stomach	None
Abdominal pain	None
Stomach pain	None
Gastro pain	None
Gastrointestinal pain	None
Upset stomach	None
Abdominal discomfort	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Loss of bowel control	None
Bowel incontinence	None
Faecal incontinence	None
Fecal incontinence	None
Anal incontinence	None
Bone pain	None
Arthralgias	None
Arthritic pain	None
Arthralgia	None
Joint pain	None
Joint pains	None
Myalgia	None
Myalgias	None
Muscle ache	None
Muscle pain	None
Back pain	None
Low back pain	None
Lower back pain	None
Decreased ability to exercise	None
Exercise intolerance	None
Inability to exercise	None
Poor exercise tolerance	None
Low exercise endurance	None
Exercise-induced muscle pain	None
Muscle pain with exercise	None
Exercise-induced myalgia	None
Muscle pain on exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral junction pain	None
Costochondral pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Fatigue	None
Tiredness	None
Tired	None
Episodic fatigue	None
Chronic extreme exhaustion	None
Chronic fatigue	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Long-lasting pain	None
Chronic pain	None
Allodynia	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shuddering	None
Shivering	None
Rigours	None
Rigors	None
Foot pain	None
Weakness	None
Lack of energy and strength	None
Asthenia	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Nocturnal hyperhidrosis	None
Night sweats	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Painful tongue	None
Tongue pain	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Postexertional malaise	None
Exercise-induced malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Tightness of chest	None
Tightness in chest	None
Chest tightness	None
Chest distress	None
Groin pain	None
Gastrocnemius myalgia	None
Calf myalgia	None
Calf muscle pain	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Throat discomfort	None
Pharyngalgia	None
Pharyngodynia	None
Sore throat	None
Throat pain	None
Cognitive fatigue	None
Central fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Decline in physical functional health	None
Diminished physical health	None
Diminished physical functioning	None
Diminished mental health	None
Mental impairment	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Intrascapular pain	None
Pain between shoulder blades	None
Pleuritic chest pain	None
Malaise	None
Pain in testicles	None
Testicular pain	None
Cool skin temperature	None
Cool skin	None
Cold skin temperature	None
Coldness	None
Coolness to palpation	None
Mastalgia	None
Breast pain	None
Painful breast	None
Pain in the pelvis	None
Pelvic pain	None
Stool soiling	None
Stool holding	None
Encopresis	None
Jaw pain	None
Hand pain	None
Pain in head and neck region	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Hiccups	None
Recurrent singultus	None
Hiccup	None
Recurrent hiccough	None
Trigeminal neuralgia	None
Tic douloureux	None
Thoracic pain	None
Chest pain	None
Chest discomfort	None
Gangrene	None
Death of body tissue due to lack of blood flow or infection	None
Bad breath	None
Foetor ex ore	None
Halitosis	None
Mandibular pain	None
Lower jaw pain	None
Ocular pain	None
Eye pain	None
Epigastrium pain	None
Epigastric pain	None
Fish odour	None
Fish odor	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Musty odor	None
Musty odour	None
Vaginal fish odor	None
Vaginal fish odour	None
Dyspepsia	None
Indigestion	None
Osmidrosis	None
BO	None
Body odour	None
Body odor	None
Bromhidrosis	None
Bromidrosis	None
Anal pain	None
Rectal pain	None
Pneumomediastinum	None
Widened mediastinum	None
Mediastinal widening	None
Narrow mediastinum	None
Abnormality of the mediastinum	None
Abnormal mediastinum morphology	None
Abnormality of the thoracic cavity	None
Mediastinal lymphadenopathy	None
Swollen lymph nodes in centre of chest	None
Swollen lymph nodes in center of chest	None
Tubo-ovarian abscess	None
Mesenteric cyst	None
GI dysfunction	None
Functional abnormality of the GI tract	None
Functional abnormality of the gastrointestinal tract	None
Anteriorly displaced anus	None
Anus anteposition	None
Anteriorly placed anus	None
Costiveness	None
Constipation	None
Dyschezia	None
Fibro-obliterative bile-duct lesion	None
Fibro-obliterative bile-duct scarring	None
Fibro-obliterative loss of bile ducts	None
Malnutrition	None
Duodenal polyposis	None
Multiple duodenal polyps	None
