Inguinal hernia	HP:0000023
Abnormal metaphysis morphology	HP:0000944
Abnormality of the wide portion of a long bone	HP:0000944
Short and small iliac bones	HP:0000946
Small iliac bones	HP:0000946
Small wings of the pelvic girdle	HP:0000946
Hypoplastic ilia	HP:0000946
Dumbbell widening of long bone metaphyses	HP:0000947
Dumbbell-shaped long bone	HP:0000947
Spinal dimple	HP:0000960
Pilonidal dimple	HP:0000960
Sacral dimple	HP:0000960
Atypical scarring of skin	HP:0000987
Atypical scarring	HP:0000987
Abnormality of subcutaneous fat tissue	HP:0001001
Abnormality of fatty tissue below the skin	HP:0001001
Multiple lipomas	HP:0001012
Lipomatosis	HP:0001012
Lipomas	HP:0001012
Multiple fatty lumps	HP:0001012
Subcutaneous lipoma	HP:0001031
Absence of skin creases over distal interphalangeal joints	HP:0001032
Distal finger flexion creases absent	HP:0001032
Absent distal interphalangeal creases	HP:0001032
Aplasia of the distal interphalangeal creases	HP:0001032
Multiple pterygia	HP:0001040
Absent dorsal skin creases over affected joints	HP:0001049
Pterygia	HP:0001059
Pterygium	HP:0001059
Axillary pterygium	HP:0001060
Axillary pterygia	HP:0001060
Cigarette paper scarring	HP:0001073
Cigarette-paper scars	HP:0001073
Atrophic scars	HP:0001075
Thin, atrophic scars	HP:0001075
Sunken or indented skin due to damage	HP:0001075
Brachydactyly	HP:0001156
Brachydactyly syndrome	HP:0001156
Short fingers or toes	HP:0001156
Webbed fingers or toes	HP:0001159
Syndactyly	HP:0001159
Hand polydactyly	HP:0001161
Polydactyly of the hand	HP:0001161
Extra finger	HP:0001161
Finger polydactyly	HP:0001161
Supernumerary finger	HP:0001161
Postaxial hand polydactyly	HP:0001162
Postaxial polydactyly of hands	HP:0001162
Extra pinky finger	HP:0001162
Postaxial polydactyly of hand	HP:0001162
Extra pinkie finger	HP:0001162
Extra little finger	HP:0001162
Postaxial polydactyly of fingers	HP:0001162
Polydactyly affecting the 5th finger	HP:0001162
Arachnodactyly	HP:0001166
Long, slender fingers	HP:0001166
Spider fingers	HP:0001166
Long slender fingers	HP:0001166
Abnormalities of the fingers	HP:0001167
Abnormality of finger	HP:0001167
Split hand	HP:0001171
Ectrodactyly of the hand	HP:0001171
Hand ectrodactyly	HP:0001171
Split-hand	HP:0001171
Abnormal thumb morphology	HP:0001172
Abnormality of the thumb	HP:0001172
Thumb deformity	HP:0001172
Abnormality of the thumbs	HP:0001172
Preaxial polydactyly of hands	HP:0001177
Polydactyly affecting the thumb	HP:0001177
thumb polydactyly	HP:0001177
Extra thumb	HP:0001177
Supernumerary thumb	HP:0001177
Preaxial hand polydactyly	HP:0001177
Hand oligodactyly	HP:0001180
Hand has less than 5 fingers	HP:0001180
Thumb-in-palm deformity	HP:0001181
Thumb-in-palm pattern	HP:0001181
Adducted thumb	HP:0001181
Adducted thumbs	HP:0001181
Inward turned thumb	HP:0001181
Tapered finger	HP:0001182
Tapered fingers	HP:0001182
Tapering fingers	HP:0001182
Distally tapering fingers	HP:0001182
Tapered fingertips	HP:0001182
Finger joint hyperextensibility	HP:0001187
Hyperextensible finger	HP:0001187
Hyperextensibility of the finger joints	HP:0001187
Hyperextensible fingers	HP:0001187
Hyperextensible digits	HP:0001187
Abnormal wrist bones	HP:0001191
Abnormal carpal morphology	HP:0001191
Anomalous carpal bones	HP:0001191
Abnormality of the carpal bones	HP:0001191
Carpal bone anomalies	HP:0001191
Abnormal carpal bones	HP:0001191
Triphalangeal thumb	HP:0001199
Triphalangeal thumbs	HP:0001199
Digitalized thumb	HP:0001199
Triphalangy of thumb	HP:0001199
Accessory phalanx of the thumb	HP:0001199
Finger-like thumb	HP:0001199
Fused outermost bones of hand	HP:0001204
Symphalangism affecting the distal phalanges of the hand	HP:0001204
Synostosis of distal phalanges	HP:0001204
Terminal symphalangism	HP:0001204
Distal symphalangism of hands	HP:0001204
Abnormality of the fingertips	HP:0001211
Abnormal fingertip morphology	HP:0001211
Prominent fingertip pads	HP:0001212
Persistent foetal fingertip pads	HP:0001212
Persistent fetal fingertip pads	HP:0001212
Persistence of fingerpads	HP:0001212
Prominent finger pads	HP:0001212
Camptodactyly of 2nd-5th fingers	HP:0001215
Delayed ossification of carpal bones	HP:0001216
Delayed carpal ossification	HP:0001216
Delayed maturation of carpal bones	HP:0001216
Delayed carpal bone age	HP:0001216
Carpal delayed ossification	HP:0001216
Delayed maturation of wrist bone	HP:0001216
Digital clubbing	HP:0001217
Clubbing of fingers and toes	HP:0001217
Clubbing	HP:0001217
Interphalangeal joint contracture of finger	HP:0001220
Interphalangeal joint flexion contractures	HP:0001220
Spatulate thumbs	HP:0001222
Spoon shaped thumbs	HP:0001222
Pointed proximal second through fifth metacarpals	HP:0001223
Wrist swelling	HP:0001225
Thenar abnormality	HP:0001227
Abnormality of the thenar eminence	HP:0001227
Wide metacarpals	HP:0001230
Wide long bones of hand	HP:0001230
Broad metacarpals	HP:0001230
Syndactyly 2nd-3rd fingers	HP:0001233
2-3 finger syndactyly	HP:0001233
Webbed 2nd-3rd fingers	HP:0001233
Syndactyly, 2-3 finger	HP:0001233
Hitchhiker thumb	HP:0001234
Abducted thumb	HP:0001234
Slender fingers	HP:0001238
Slender finger	HP:0001238
thin fingers	HP:0001238
Narrow fingers	HP:0001238
Wrist flexion contracture	HP:0001239
Wrist flexion deformity	HP:0001239
Wrist contracture	HP:0001239
Fusion of capitate and hamate	HP:0001241
Fused capitate and hamate	HP:0001241
Fusion of hamate and capitate	HP:0001241
Capitate-hamate fusions	HP:0001241
Capitate-hamate fusion	HP:0001241
Hypoplastic thenar eminences	HP:0001245
Small thenar eminence	HP:0001245
Thenar hypoplasia	HP:0001245
Decreased thenar eminence	HP:0001245
Thenar muscle hypoplasia	HP:0001245
Short tubular bones of the hand	HP:0001248
Shortened short tubular bones of the hand	HP:0001248
Muscular hypotonia	HP:0001252
Peripheral hypotonia	HP:0001252
Central hypotonia	HP:0001252
Hypotonia	HP:0001252
Low or weak muscle tone	HP:0001252
Muscle hypotonia	HP:0001252
Low muscle tone	HP:0001252
Involuntary muscle stiffness, contraction, or spasm	HP:0001257
Muscular spasticity	HP:0001257
Muscle spasticity	HP:0001257
Spasticity	HP:0001257
Spastic paraplegia	HP:0001258
Spastic paraplegia, lower limb	HP:0001258
Spastic diplegia	HP:0001264
Spastic diparesis	HP:0001264
Spastic diplegic	HP:0001264
Hypertonia	HP:0001276
Spasticity and rigidity of muscles	HP:0001276
Increased muscle tone	HP:0001276
Muscle hypertonia	HP:0001276
Hypertonicity	HP:0001276
Intermittent involuntary muscle spasm	HP:0001281
Tetany	HP:0001281
Bulbar muscle weakness	HP:0001283
Bulbar palsy	HP:0001283
Bulbar weakness	HP:0001283
Bulbar palsies	HP:0001283
Spastic quadriparesis	HP:0001285
Spastic tetraparesis	HP:0001285
Generalised decreased muscle tone	HP:0001290
Generalized muscular hypotonia	HP:0001290
Generalised hypotonia	HP:0001290
Generalized decreased muscle tone	HP:0001290
Generalized hypotonia	HP:0001290
Hypotonia, generalised	HP:0001290
Hypotonia, generalized	HP:0001290
Generalised muscular hypotonia	HP:0001290
Dandy-Walker cyst	HP:0001305
Dandy-Walker malformation	HP:0001305
Dandy-walker anomaly	HP:0001305
Hypotonia, neonatal	HP:0001319
Congenital hypotonia	HP:0001319
Low muscle tone, in neonatal onset	HP:0001319
Neonatal hypotonia	HP:0001319
Hypotonia, in neonatal onset	HP:0001319
Muscular weakness	HP:0001324
Muscle weakness	HP:0001324
Facial diplegia	HP:0001349
Bilateral facial weakness	HP:0001349
Facial paresis, bilateral	HP:0001349
Asymmetry of the posterior skull	HP:0001357
Flat head syndrome	HP:0001357
Flattening of cranial vault	HP:0001357
Flattening of cranium	HP:0001357
Rhomboid shaped head	HP:0001357
Asymmetry of the posterior cranium	HP:0001357
Flattening of skull	HP:0001357
Asymmetry of the posterior head	HP:0001357
Deformational plagiocephaly	HP:0001357
Flat head	HP:0001357
Positional plagiocephaly	HP:0001357
Rhomboid shaped cranium	HP:0001357
Plagiocephaly	HP:0001357
Rhomboid shaped skull	HP:0001357
Flattening of head	HP:0001357
Cranial defect	HP:0001362
Calvarial skull defect	HP:0001362
Calvarial defect	HP:0001362
Skull defect	HP:0001362
Premature suture closure	HP:0001363
Premature closure of cranial sutures	HP:0001363
Premature fontanel closure	HP:0001363
Early fusion of cranial sutures	HP:0001363
Craniosyostosis	HP:0001363
Deformity of the skull	HP:0001363
Craniosynostosis	HP:0001363
Craniostenosis	HP:0001363
Cranial suture synostosis	HP:0001363
Abnormal joint morphology	HP:0001367
