Pneumomediastinum	HP:0025421
Anomaly of the gallbladder	None
Increased fecal porphyrin	None
Increased faecal porphyrin	None
Zollinger-Ellison syndrome	None
Abnormal faeces composition	None
Abnormal feces composition	None
Abnormal fecal test result	None
Abnormal stool composition	None
Reye syndrome-like episodes	None
Anomaly of the biliary tract	None
Abnormal biliary tract morphology	None
Abnormal liver morphology	None
Malrotation of colon	None
Increased fecal heptacarboxylporphyrin	None
Heptacarboxylporphyrin high in stool	None
Lactose intolerance	None
Milk intolerance	None
Pancreatic calcifications	None
Pancreatic calcification	None
Duodenal ulcer	None
Small intestinal dysmotility	None
Delayed gastric emptying	None
Gastroparesis	None
Exstrophy	None
Esophageal spasms	None
Liver abscess	None
Hepatic abscess	None
Bowel irritability	None
Juvenile GI polyposis	None
Juvenile gastrointestinal polyposis	None
Abnormality of the pancreatic islet cells	None
Hepatic necrosis	None
Anorectal anomaly	None
Abnormal GI motility	None
Abnormal gastrointestinal motility	None
Abnormality of the pancreas	None
Pancreatic disease	None
Splenomegaly	None
Increased spleen size	None
Abnormality of digestive system physiology	None
Colonic varices	None
Degenerative enteric neuropathy	None
Enteric neuronal degeneration	None
Abnormality of the ductus choledochus	None
Abnormality of the common bile duct	None
Hypersplenism	None
Jejunal diverticula	None
Intestinal atresia	None
Rectoperineal fistula	None
Abnormality of hepatobiliary system physiology	None
Abnormal pancreas size	None
Fat malabsorption	None
Anal canal squamous cell carcinoma	None
Interlobular bile duct destruction	None
Hepatic fibrosis	None
Liver fibrosis	None
Redundant umbilical skin	None
Enteroviral hepatitis	None
Inflammation of the large intestine	None
Inflammatory bowel disease	None
Perihepatic adhesions	None
Peri-hepatic adhesions	None
Multiple small spleens	None
Polysplenia	None
Accessory spleens	None
Multiple accessory spleens	None
Ileal adenocarcinoma	None
Biliary tract neoplasm	None
Neoplasia of the biliary tract	None
Anal fissure	None
Anal erosion	None
Elevated fecal pH	None
Stool pH high	None
Elevated faecal pH	None
Anomalous splenoportal venous system	None
Abnormality of the gastrointestinal tract	None
Digestive system disease	None
Abnormality of the GI tract	None
Gastrointestinal disease	None
Eosinophilic gastrointestinal disorders	None
Gastrointestinal eosinophilia	None
Eosinophilic gastrointestinal disease	None
GI eosinophilia	None
Eosinophilic gastroenteritis	None
Eosinophilic enteritis	None
Primary gastric lymphoma	None
Gastric lymphoma	None
Hepatocellular loss	None
Hepatocellular necrosis	None
Death of liver cells	None
Elevated fecal coproporphyrin 1	None
Increased fecal coproporphyrin 1	None
Elevated stool coproporphyrin 1	None
Increased faecal coproporphyrin 1	None
High fecal coproporphyrin 1	None
Elevated faecal coproporphyrin 1	None
High stool coproporphyrin 1	None
High faecal coproporphyrin 1	None
Abnormality of the spleen	None
Dependency on intravenous nutrition	None
Dependency on IV nutrition	None
Esophageal neoplasm	None
Esophageal tumour	None
Esophageal tumor	None
Flatulence	None
Nasal regurgitation	None
Periportal emperipolesis	None
Fatty liver	None
Fatty infiltration of liver	None
Steatosis	None
Liver steatosis	None
Hepatic steatosis	None
Chylolymphatic mesenteric cyst	None
Malrotation of small bowel	None
Malrotation of the small intestine	None
Narrowing of anal opening	None
Anal stenosis	None
Anal margin Paget's disease	None
Gallbladder dyskinesia	None
Elevated fecal coproporphyrin 3	None
High stool coproporphyrin 3	None
Elevated faecal coproporphyrin 3	None
High fecal coproporphyrin 3	None
Increased fecal coproporphyrin 3	None
Elevated stool coproporphyrin 3	None
Increased faecal coproporphyrin 3	None
High faecal coproporphyrin 3	None
Pancolitis	None
Duodenal gastric metaplasia	None
Chronic colitis	None
Ruptured spleen	None
Splenic rupture	None
Nausea	None
Abnormality of exocrine pancreas physiology	None
Abnormal exocrine pancreatic function	None
Abnormal liver sonography	None
Abnormality of the abdominal wall	None
Abnormality of external features of the abdomen	None
Posteriorly placed anus	None
Decreased intestinal transit time	None
Increased liver iron level	None
Increased iron concentration in liver	None
Elevated hepatic iron concentration	None
Interface hepatitis	None
Absent/small spleen	None
Aplasia/Hypoplasia of the spleen	None
Absent/underdeveloped spleen	None
Pancreatic cyst	None
Pancreatic cysts	None
Multiple pancreatic cysts	None
Hepatic periportal necrosis	None
Lipid accumulation in hepatocytes	None
Chronic hepatitis due to cryptosporidium infection	None
Hepatitis, chronic, due to cryptosporidium infection	None
Depletion of mitochondrial DNA in liver	None
Mechanical ileus	None
Bloody mucoid diarrhoea	None
Bloody mucoid diarrhea	None
Accessory spleen	None
Mesenteric cyst	None
Increased intestinal transit time	None
Abnormal faecal osmolality	None
Abnormal fecal osmolality	None
Costiveness	None
Constipation	None
Dyschezia	None
Abnormal spleen physiology	None
Gastric arteriovenous malformation	None
Abnormal spleen morphology	None
Splenic lesion	None
Esophageal pouch	None
Esophageal diverticulum	None
Anal mucosal leukoplakia	None
Prolapsed bladder	None
Dropped bladder	None
Cystocele	None
Bladder prolapse	None
Bladder hernia	None
Esophageal atresia	None
Birth defect in which part of oesophagus did not develop	None
Birth defect in which part of esophagus did not develop	None
Hepatopulmonary fusion	None
Hepatic pulmonary fusion	None
Variable degree of villous atrophy	None
Atrophy of small intestinal villi	None
Small intestine biopsy shows villous atrophy	None
Biopsy shows villous atrophy	None
Duodenal villous atrophy	None
Villous atrophy	None
Villous degeneration	None
Poor appetite	None
Loss of appetite	None
No appetite	None
Decreased appetite	None
Abnormality of pancreas physiology	None
Anomaly of the oesophagus	None
Abnormality of esophagus structure	None
Abnormal oesophagus morphology	None
Anomaly of the esophagus	None
Abnormal esophagus morphology	None
Abnormality of oesophagus structure	None
Duodenal stenosis	None
Duodenal stenosis/atresia	None
Clostridium botulinum toxin in stool	None
Positive fecal Clostridium botulinum test	None
Eosinophilic ascites	None
Impaired oropharyngeal swallow response	None
Hemoperitoneum	None
Hematoperitoneum	None
Abnormal stool urobilinogen concentration	None
Gallbladder enlargement	None
Gallbladder enlarged	None
Ectopia vesicae	None
Bladder exstrophy	None
Atrophic gastritis	None
Chronic atrophic gastritis	None
Pelvic mass	None
Aplasia of the gallbladder	None
Absent gallbladder	None
Agenesis of the gallbladder	None
Decreased bowel sounds	None
Hypoactive bowel sounds	None
Increased fecal bile acid	None
Duodenal arteriovenous malformation	None
Absent/underdeveloped gallbladder	None
Absent/small gallbladder	None
Aplasia/Hypoplasia of the gallbladder	None
Abnormally shaped pancreas	None
Abnormal pancreas morphology	None
Abnormality of pancreas morphology	None
Eosinophilic gallbladder infiltration	None
Eosinophilic cholecystitis	None
Osmotic diarrhea	None
Pleomorphic cholangitis	None
Cloacal exstrophy	None
Absence of intrinsic factor	None
Intrinsic factor absent from gastric juice	None
Protein avoidance	None
Eosinophilic infiltration in the stomach mucosa	None
Eosinophilic gastritis	None
Visceromegaly	None
Postprandial fullness	None
Ileitis	None
Inflammation of the ileum	None
Abnormality of the large intestine	None
Abnormal large intestine morphology	None
Degenerative enteric myopathy	None
Atrophic muscularis propria	None
Autonomic visceral myopathy	None
Acute constipation	None
Intestinal lymphedema	None
Diarrhea	None
Watery stool	None
Diarrhoea	None
Multiple small bowel atresias	None
Microcolon on contrast enema	None
Microcolon	None
Stomach ulcer	None
Gastric ulcer	None
Ileal ulcer	None
Ventral hernia	None
Hernia of the abdominal wall	None
Herniated abdominal wall	None
Meckel diverticulum	None
Abdominal rigidity	None
Rigid abdomen	None
Rectal arteriovenous malformation	None
Pancreatic fistula	None
Abnormal morphology of the abdominal musculature	None
Abnormality of the abdominal musculature	None
Biliary hamartoma	None
Multiple biliary hamartomas	None
Multiple bile duct hamartomas	None
Von Meyenburg complexes	None
Yellow skin	None
Yellowing of the skin	None
Icterus	None
Jaundice	None
Pylorus stenosis	None
Pyloric stenosis	None
Infantile hypertrophic pyloric stenosis	None
Periportal fibrosis	None
Intrahepatic bile duct cysts	None
Pigment gallstones	None
Gastric duplication cyst	None
Gastric duplication	None
Harderoporphyrin high in stool	None
Increased fecal harderoporphyrin	None
Biliary dyskinesia	None
Clostridium difficile colitis	None
Hepatic cysts	None
Liver cysts	None
Incomplete septal cirrhosis	None
Idiopathic non-cirrhotic portal hypertension	None
Non cirrhotic portal fibrosis	None
Obliterative portal venopathy	None
Intrahepatic portal vein sclerosis	None
Mallory-Weiss tear	None
Biliary cirrhosis	None
Primary biliary cirrhosis	None
Hepatic hemangioma	None
Liver hemangioma	None
Hemangioma of the liver	None
Abnormality of abdomen structure	None
Abnormal abdomen morphology	None
Abnormality of the abdomen	None
Abdomen abnormality	None
Abnormality of abdomen morphology	None
Enteric intraneuronal nuclear inclusion bodies	None
Colorectal polyps	None
Colorectal polyposis	None
Ampulla of Vater carcinoma	None
Delayed self-feeding during toddler years	None
Hamartomatous polyps	None
Hamartomatous polyposis	None
Gastrointestinal hamartomatous polyps	None
Gastrointestinal hamartoma	None
Microvillus inclusions	None
Recurrent infection of the GI tract	None
Recurrent gastrointestinal infections	None
Gastrointestinal infections, recurrent	None
Gastrointestinal infections	None
Recurrent infection of the gastrointestinal tract	None
Fibro-obliterative bile-duct lesion	None
Fibro-obliterative bile-duct scarring	None
Fibro-obliterative loss of bile ducts	None
Intestinal haemorrhage	None
Intestinal hemorrhage	None
Intestinal bleeding	None
Abnormal large intestine physiology	None
Protracted diarrhea	None
Protracted diarrhoea	None
Exomphalos	None
Omphalocele	None
Omphalocoele	None
Splenic abscess	None
Vomitting blood	None
Hematemesis	None
Perianal dermatitis	None
Perianal rash	None
Multiple intestinal neurofibromatosis	None
Esophageal exudate	None
Hemorrhoids	None
Piles	None
Haemorrhoids	None
Gastrointestinal stromal tumours	None
Gastrointestinal stroma tumour	None
Gastrointestinal stromal tumour	None
Gastrointestinal stromal tumors	None
GI stroma tumor	None
Gastrointestinal stroma tumor	None
Gastrointestinal stromal tumor	None
GI stroma tumour	None
GIST	None
Long-segment aganglionic megacolon	None
Infrequent bowel movements	None
Chronic constipation	None
Suppurative cholangitis	None
Gastrointestinal angiodysplasia	None
GI angiodysplasia	None
Reduced fecal osmolality	None
Reduced faecal osmolality	None
Celosomia	None
Kelosomia	None
Thoracoabdominal eventration	None
Septated ascites	None
Loculated ascites	None
Pancreatic pseudocyst	None
Liver abnormality	None
Abnormal liver	None
Abnormality of the liver	None
Liver disease	None
Esophageal obstruction	None
Liver lobation abnormal	None
Hepatic anomalous lobulation	None
Anomalous liver lobulation	None
Abnormal liver lobulation	None
Colon cancer	None
Desquamation of skin soon after birth	None
Low maternal serum alpha-fetoprotein	None
Low maternal circulating alpha-fetoprotein concentration	None
Amniotic bands	None
Amniotic constriction ring	None
Pseudoainhum	None
Congenital constriction band sequence	None
Amniotic constriction band	None
Digital constriction ring	None
Amniotic constriction rings of digits	None
Abnormal fetal central nervous system morphology	None
Abnormal fetal CNS morphology	None
10-minute APGAR score of 5	None
Frank breech presentation	None
Congenital pulmonary airway malformation	None
Congenital cystic disease of the lung	None
Congenital cystic adenomatoid malformation of the lung	None
Cystic adenomatoid lung disease	None
CCAM	None
Agenesis of the ductus venosus	None
Ductus venosus agenesis	None
Delivery complication	None
Abnormal delivery	None
Caseous vernix-like desquamation	None
Greasy, thick vernix caseosa-like scale	None
Grade I fetal intracranial hemorrhage	None
Fetal subependymal hemorrhage	None
Moderate to late preterm birth	None
Maternal teratogenic exposure	None
Low maternal serum hCG	None
Low maternal serum chorionic gonadotropin	None
Low maternal circulating chorionic gonadotropin concentration	None
Low APGAR score	None
Long umbilical cord	None
Placental infarction	None
Placental thromboembolism	None
