Lower lip pit	HP:0000196
Dermatomegaly	HP:0000973
Chalazoderma	HP:0000973
Skin laxity	HP:0000973
Generalized elastolysis	HP:0000973
Inelastic skin	HP:0000973
Loose skin	HP:0000973
Elastolysis	HP:0000973
Skin hyperelasticity	HP:0000974
Hyperelastic skin	HP:0000974
Hyperextensible skin	HP:0000974
Stretchable skin	HP:0000974
Skin hyperextensibility	HP:0000974
Sweating, increased	HP:0000975
Sweating	HP:0000975
Increased sweating	HP:0000975
Hyperhidrosis	HP:0000975
Profuse sweating	HP:0000975
Excessive sweating	HP:0000975
Sweating profusely	HP:0000975
Diaphoresis	HP:0000975
Eczematoid dermatitis	HP:0000976
Soft skin	HP:0000977
Velvety skin	HP:0000977
Velvety skin texture	HP:0000977
Bruise easily	HP:0000978
Bruising susceptibility	HP:0000978
Bruisability	HP:0000978
Easy bruising	HP:0000978
Easy bruisability	HP:0000978
Blood spots	HP:0000979
Red or purple spots on the skin	HP:0000979
Purpura	HP:0000979
Pallor	HP:0000980
Paleness	HP:0000980
Skin paleness	HP:0000980
Thickening of palms and soles	HP:0000982
Palmar and plantar keratoderma	HP:0000982
Palmoplantar keratoderma	HP:0000982
Atypical scarring of skin	HP:0000987
Atypical scarring	HP:0000987
Rash	HP:0000988
Skin rash	HP:0000988
Skin itching	HP:0000989
Itching	HP:0000989
Pruritus	HP:0000989
Itchy skin	HP:0000989
Xanthomata	HP:0000991
Yellow bumps of fatty deposits on skin	HP:0000991
Xanthomatosis	HP:0000991
Sun sensitivity	HP:0000992
Photosensitivity	HP:0000992
Photosensitive skin rashes	HP:0000992
Photosensitive skin	HP:0000992
Skin photosensitivity	HP:0000992
Cutaneous photosensitivity	HP:0000992
Sensitivity to sunlight	HP:0000992
Molluscoid pseudotumor	HP:0000993
Molluscoid pseudotumors	HP:0000993
Melanocytic nevus	HP:0000995
Nevocellular nevi	HP:0000995
Melanocytic naevus	HP:0000995
Melanocytic nevi	HP:0000995
Beauty mark	HP:0000995
Pigmented naevi	HP:0000995
Pigmented nevi	HP:0000995
Noncancerous mole	HP:0000995
Axillary freckling	HP:0000997
Hypertrichosis	HP:0000998
Increased hair growth on body	HP:0000998
Excessive hair growth	HP:0000998
Pus-filled lesion	HP:0000999
Pyoderma	HP:0000999
Pigmentary changes	HP:0001000
Pigmentation anomaly	HP:0001000
Abnormal skin pigmentation	HP:0001000
Abnormal pigmentation	HP:0001000
Abnormality of pigmentation	HP:0001000
Abnormal skin color	HP:0001000
Abnormal skin colour	HP:0001000
Pigmentary skin changes	HP:0001000
Abnormality of skin pigmentation	HP:0001000
Abnormality of subcutaneous fat tissue	HP:0001001
Abnormality of fatty tissue below the skin	HP:0001001
Multiple lentigines	HP:0001003
Liver spots	HP:0001003
Dermatological manifestations of systemic disorders	HP:0001005
Excessive hairiness	HP:0001007
Hirsutism	HP:0001007
Accumulation of melanosomes in melanocytes	HP:0001008
Spider veins	HP:0001009
Cutaneous telangiectasia	HP:0001009
Telangiectasia	HP:0001009
Telangiectases	HP:0001009
Hypopigmentation	HP:0001010
Hypopigmented skin	HP:0001010
Patchy lightened skin	HP:0001010
Skin hypopigmentation	HP:0001010
Hypopigmentation of the skin	HP:0001010
Eruptive xanthomas	HP:0001013
Angiokeratoma	HP:0001014
Angiokeratomas	HP:0001014
Marked subcutaneous veins	HP:0001015
Prominent superficial veins	HP:0001015
Prominent veins	HP:0001015
Anemic pallor	HP:0001017
Anaemic pallor	HP:0001017
Abnormal palmar dermatoglyphics	HP:0001018
Erythroderma	HP:0001019
Red scaly skin caused by inflammatory skin disease	HP:0001019
Generalized erythrodermia	HP:0001019
Exfoliative dermititis	HP:0001019
Generalised erythrodermia	HP:0001019
Generalised erythroderma	HP:0001019
Generalized erythroderma	HP:0001019
Albinism	HP:0001022
Achromasia	HP:0001022
Skin dimple over apex of long bone angulation	HP:0001024
Urticaria	HP:0001025
Hives	HP:0001025
Penetrating foot ulcers	HP:0001026
Soft, doughy skin	HP:0001027
Poikiloderma	HP:0001029
Fragile skin	HP:0001030
Skin fragility	HP:0001030
Subcutaneous lipoma	HP:0001031
Facial flushing after alcohol intake	HP:0001033
Hyperpigmented macules	HP:0001034
Hyperpigmented spots	HP:0001034
Hypermelanotic macule	HP:0001034
Hyperpigmented skin patches	HP:0001034
Parakeratosis	HP:0001036
Warfarin-induced skin necrosis	HP:0001038
Atheroeruptive xanthoma	HP:0001039
Multiple pterygia	HP:0001040
Red in the face	HP:0001041
Facial erythema	HP:0001041
Red face	HP:0001041
Rosacea	HP:0001041
Blushed cheeks	HP:0001041
Ruddy face	HP:0001041
Blushing	HP:0001041
High axial triradius	HP:0001042
Prominent scalp veins	HP:0001043
Vitiligo	HP:0001045
Blotchy loss of skin colour	HP:0001045
Blotchy loss of skin color	HP:0001045
Intermittent jaundice	HP:0001046
Intermittent icterus	HP:0001046
Intermittent yellowing of skin	HP:0001046
Intermittent yellow skin	HP:0001046
Atopic dermatitis, chronic	HP:0001047
Dermatitis, Atopic	HP:0001047
Baby eczema	HP:0001047
Atopic dermatitis	HP:0001047
Plethora	HP:0001050
Seborrhea	HP:0001051
Seborrheic eczema	HP:0001051
Seborrheic dermatitis	HP:0001051
Dysseborrheic dermatitis	HP:0001051
Nevus flammeus	HP:0001052
port-wine stain	HP:0001052
Nevus simplex	HP:0001052
Hypopigmented skin patches	HP:0001053
Patchy loss of skin color	HP:0001053
Patchy loss of skin colour	HP:0001053
Numerous nevi	HP:0001054
Numerous moles	HP:0001054
Multiple pigmented nevi	HP:0001054
Erysipelas	HP:0001055
St. Anthony's Fire	HP:0001055
Millium cyst	HP:0001056
Milia	HP:0001056
Milk spot	HP:0001056
Absence of part of skin at birth	HP:0001057
Congenital absence of skin	HP:0001057
Congenital scars	HP:0001057
Cutis aplasia	HP:0001057
Aplasia cutis congenita	HP:0001057
Poor wound healing	HP:0001058
Pterygia	HP:0001059
Pterygium	HP:0001059
Axillary pterygia	HP:0001060
Axillary pterygium	HP:0001060
Breaking out	HP:0001061
Acne	HP:0001061
Atypical nevus	HP:0001062
Dysplastic Nevus	HP:0001062
Atypical mole	HP:0001062
Persistent blue colour of hands or feet	HP:0001063
Acrocyanosis	HP:0001063
Persistent blue color of hands or feet	HP:0001063
Striae	HP:0001065
Striae atrophicae	HP:0001065
Purplish striae	HP:0001065
Stretch marks	HP:0001065
Striae cutis distensae	HP:0001065
Striae distensae	HP:0001065
Neurofibromatosis	HP:0001067
multiple neurofibromas	HP:0001067
Neurofibromata	HP:0001067
Neurofibromas	HP:0001067
Sporadic excessive sweating	HP:0001069
Hyperhidrosis, episodic	HP:0001069
Episodic hyperhidrosis	HP:0001069
Mottled skin coloring	HP:0001070
Mottled skin colouring	HP:0001070
Stippled pigmentation	HP:0001070
Mottled pigmentation	HP:0001070
Angiokeratoma corporis diffusum	HP:0001071
Fabry syndrome	HP:0001071
Diffusely thickened skin	HP:0001072
Thick skin	HP:0001072
Thickened skin	HP:0001072
Pachydermia	HP:0001072
Cigarette-paper scars	HP:0001073
Cigarette paper scarring	HP:0001073
Atypical nevi in non-sun exposed areas	HP:0001074
Sunken or indented skin due to damage	HP:0001075
Atrophic scars	HP:0001075
Thin, atrophic scars	HP:0001075
Dark circles around the eyes	HP:0001106
Periorbital melanosis	HP:0001106
Periorbital hyperpigmentation	HP:0001106
Idiopathic cutaneous hyperchromia at the orbital region	HP:0001106
Infraorbital pigmentation	HP:0001106
Pigmentation around the eyes	HP:0001106
Darkening around the eyes	HP:0001106
Dark circles under the eyes	HP:0001106
Xanthelasma of eyelid	HP:0001114
Xanthoma of eyelid	HP:0001114
Xanthelasma of periocular region	HP:0001114
Xanthelasma	HP:0001114
Fatty deposits on eyelids	HP:0001114
Fatty deposits in skin around the eyes	HP:0001114
Xanthelasma palpebrarum	HP:0001114
Xanthoma of periocular region	HP:0001114
Xanthoma	HP:0001114
Introversion of eyelashes	HP:0001128
Ingrown eyelashes	HP:0001128
Trichiasis of eyelid eyelashes	HP:0001128
Trichiasis	HP:0001128
Persistent foetal fingertip pads	HP:0001212
Persistent fetal fingertip pads	HP:0001212
Persistence of fingerpads	HP:0001212
Prominent finger pads	HP:0001212
Prominent fingertip pads	HP:0001212
Abnormality of the fingernails	HP:0001231
Abnormal fingernails	HP:0001231
Abnormal fingernail morphology	HP:0001231
Nail bed telangiectasia	HP:0001232
Nail bed telangiectases	HP:0001232
Freckling	HP:0001480
Firm lump under the skin	HP:0001482
Subcutaneous nodule	HP:0001482
Nodule below the skin	HP:0001482
Multiple, subcutaneous nodules	HP:0001482
Growth of abnormal tissue under the skin	HP:0001482
Subcutaneous nodules	HP:0001482
Abnormality of the integument	HP:0001574
Cutaneous infections	HP:0001581
Skin infections, recurrent	HP:0001581
Recurrent skin infections	HP:0001581
Redundant skin	HP:0001582
Redundant skin folds	HP:0001582
Loose redundant skin	HP:0001582
Sagging, redundant skin	HP:0001582
Abnormality of the hair	HP:0001595
Hair abnormality	HP:0001595
Abnormality of the hair shaft	HP:0001595
Abnormal hair morphology	HP:0001595
Alopecia	HP:0001596
Hair loss	HP:0001596
Abnormality of the nail	HP:0001597
Nail disease	HP:0001597
Spoon-shaped nails	HP:0001598
Concave nail	HP:0001598
Koilonychia	HP:0001598
Nail hypoplasia	HP:0001792
Hypoplastic nail	HP:0001792
Hypoplastic nails	HP:0001792
Small nail	HP:0001792
Small nails	HP:0001792
Hyperconvex nail	HP:0001795
Nail overcurvature	HP:0001795
Increased nail curvature	HP:0001795
Anonychia	HP:0001798
Aplastic nails	HP:0001798
Absent nails	HP:0001798
Short nail	HP:0001799
Short nails	HP:0001799
Hypoplastic toenails	HP:0001800
Underdeveloped toenails	HP:0001800
Absent toenails (anonychia)	HP:0001802
Absent toenails	HP:0001802
Anonychia of toenails	HP:0001802
Absent toenail	HP:0001802
Pitted nails	HP:0001803
Nail pits	HP:0001803
Nail pitting	HP:0001803
Underdeveloped fingernail	HP:0001804
Small fingernail	HP:0001804
Hypoplastic fingernail	HP:0001804
Thickened nails	HP:0001805
Dystrophic thickened nails	HP:0001805
Thick nail	HP:0001805
Onychogryposis	HP:0001805
Oncholysis	HP:0001806
Onycholysis	HP:0001806
Detachment of nail	HP:0001806
Ridged nail	HP:0001807
Longitudinal ridging	HP:0001807
Grooved nails	HP:0001807
Nail ridging	HP:0001807
Ridged nails	HP:0001807
Brittle nails	HP:0001808
Fragile nails	HP:0001808
Longitudinal splitting of nail	HP:0001809
Split nail	HP:0001809
Poor toenail formation	HP:0001810
Dystrophic toenail changes	HP:0001810
Dystrophic toenail	HP:0001810
Dystrophic toenails	HP:0001810
Tubular fingernails	HP:0001812
Hyperconvex fingernails	HP:0001812
Deep-set nails	HP:0001814
Thin nail	HP:0001816
Thin nails	HP:0001816
Aplasia of the fingernail	HP:0001817
Absent fingernail	HP:0001817
Anonychia of fingernails	HP:0001817
Paronychia	HP:0001818
Leukonychia	HP:0001820
White discoloration of nails	HP:0001820
Broad fingernails	HP:0001821
Wide fingernails	HP:0001821
Broad nail	HP:0001821
Deep wrinkles in soles of feet	HP:0001869
Deep plantar creases	HP:0001869
Subcutaneous hemorrhage	HP:0001933
Subcutaneous haemorrhage	HP:0001933
Bleeding below the skin	HP:0001933
Low posterior hair line	HP:0002162
Low posterior hairline	HP:0002162
Low hairline at back of neck	HP:0002162
Nail dysplasia	HP:0002164
Onychodysplasia	HP:0002164
Dysplastic nails	HP:0002164
Atypical nail growth	HP:0002164
Nail pterygium	HP:0002165
Pterygium of nails	HP:0002165
Coarse hair texture	HP:0002208
Rough hair texture	HP:0002208
Coarse hair	HP:0002208
Thin scalp hair	HP:0002209
Reduction in the number of scalp follicles	HP:0002209
Hypotrichosis on scalp	HP:0002209
Reduced/lack of hair on scalp	HP:0002209
Thinning scalp hair	HP:0002209
Reduced amount of scalp hair	HP:0002209
Sparse scalp hair	HP:0002209
Decreased number of scalp follicles	HP:0002209
Scalp hypotrichosis	HP:0002209
White forelock	HP:0002211
Poliosis of anterior hair	HP:0002211
Poliosis of forelock hair	HP:0002211
White part of hair above forehead	HP:0002211
Curly hair	HP:0002212
Thin hair texture	HP:0002213
Fine hair shaft	HP:0002213
Thin hair shaft	HP:0002213
Thin hair	HP:0002213
Fine hair	HP:0002213
Thinned hair	HP:0002213
Fine hair texture	HP:0002213
Sparse scalp, axillary, and pubic hair	HP:0002215
Sparse axillary hair	HP:0002215
Sparse axillary and pubic hair	HP:0002215
Limited armpit hair	HP:0002215
Little underarm hair	HP:0002215
sparse to absent axillary hair	HP:0002215
Premature graying of hair	HP:0002216
Premature greying of the hair	HP:0002216
Premature greying	HP:0002216
Early graying	HP:0002216
Premature hair graying	HP:0002216
Premature graying	HP:0002216
Premature hair greying	HP:0002216
Early greying	HP:0002216
Premature greying of hair	HP:0002216
Premature graying of the hair	HP:0002216
Slow rate of hair growth	HP:0002217
Slow growing hair	HP:0002217
Slow-growing hair	HP:0002217
Slow speed of hair growth	HP:0002217
Silver-gray hair color	HP:0002218
Silvery-gray hair	HP:0002218
Silver-gray hair	HP:0002218
Silver-gray hair colour	HP:0002218
Facial hypertrichosis	HP:0002219
Increased facial hair growth	HP:0002219
Melanin pigment aggregation in hair shafts	HP:0002220
Absent axillary hair	HP:0002221
Failure of development of eyebrows	HP:0002223
Absent eyebrows	HP:0002223
Agenesis of eyebrows	HP:0002223
Missing eyebrows	HP:0002223
Loss of eyebrows	HP:0002223
Aplasia of eyebrows	HP:0002223
Absent eyebrow	HP:0002223
Woolly hair	HP:0002224
Afro-textured hair	HP:0002224
Wooly hair	HP:0002224
Kinky hair texture	HP:0002224
Kinked hair	HP:0002224
Nappy hair texture	HP:0002224
sparse to absent pubic hair	HP:0002225
Sparse pubic hair	HP:0002225
Decreased sexual hair	HP:0002225
Grey eyebrow	HP:0002226
White eyebrow	HP:0002226
Blonde eyebrow	HP:0002226
Depigmented eyebrow	HP:0002226
Hypopigmented eyebrow	HP:0002226
Pale eyebrow	HP:0002226
Pale eyelashes	HP:0002227
White eyelashes	HP:0002227
Blonde eyelashes	HP:0002227
Depigmented eyelashes	HP:0002227
Grey eyelashes	HP:0002227
Generalized hirsutism	HP:0002230
Generalised hirsutism	HP:0002230
Excessive hairiness over body	HP:0002230
Limited body hair	HP:0002231
Sparse body hair	HP:0002231
Sparse to absent body hair	HP:0002231
Little body hair	HP:0002231
Alopecia areata	HP:0002232
Patchy alopecia	HP:0002232
Patchy baldness	HP:0002232
Early balding	HP:0002234
Pili canaliculi	HP:0002235
Upswept frontal hair pattern	HP:0002236
Frontal Cowlick	HP:0002236
Frontal upsweep of hair	HP:0002236
Cowlick	HP:0002236
Upswept frontal hair	HP:0002236
Upswept frontal hairline	HP:0002236
Blond hair	HP:0002286
Straw colored hair	HP:0002286
Flaxen hair color	HP:0002286
Fair hair colour	HP:0002286
Flaxen hair colour	HP:0002286
Light coloured hair	HP:0002286
Sandy hair color	HP:0002286
Straw coloured hair	HP:0002286
Towhead (hair color)	HP:0002286
Fair hair color	HP:0002286
Sandy hair colour	HP:0002286
Light colored hair	HP:0002286
Fair hair	HP:0002286
Progressive alopecia	HP:0002287
Alopecia, complete	HP:0002289
Universal alopecia	HP:0002289
Alopecia universalis	HP:0002289
Poliosis	HP:0002290
White patch	HP:0002290
Patch of white hair	HP:0002290
Frontal balding	HP:0002292
Male pattern baldness	HP:0002292
Scalp hair loss	HP:0002293
Baldness	HP:0002293
Alopecia of scalp	HP:0002293
Missing scalp hair	HP:0002293
Absence of scalp hair	HP:0002293
Pathologic hair loss from scalp	HP:0002293
Progressive hypotrichosis	HP:0002296
Red hair color	HP:0002297
Ginger hair colour	HP:0002297
Ginger hair color	HP:0002297
Red hair	HP:0002297
Red head (hair color)	HP:0002297
Red hair colour	HP:0002297
Absent hair	HP:0002298
Easily breakable hair	HP:0002299
Fragile hair	HP:0002299
Reduced tensile strength of hair	HP:0002299
Brittle hair	HP:0002299
Fractured hair	HP:0002299
Absent facial hair	HP:0002550
Generalized trichodysplasia	HP:0002552
Generalised trichodysplasia	HP:0002552
Trichodysplasia	HP:0002552
Thick, flared eyebrows	HP:0002553
Highly arched eyebrow	HP:0002553
High-arched eyebrows	HP:0002553
Broad, arched eyebrows	HP:0002553
High, rounded eyebrows	HP:0002553
High arched eyebrows	HP:0002553
Arched eyebrows	HP:0002553
Bowed and upward slanting eyebrows	HP:0002553
Absent pubic hair	HP:0002555
Gastrointestinal telangiectasia	HP:0002604
GI telangiectasia	HP:0002604
Small, enlarged blood vessels near skin	HP:0002604
Basal cell nevus	HP:0002671
Basalioma	HP:0002671
Basal cell carcinomas	HP:0002671
Basal cell carcinoma	HP:0002671
Basal cell epithelioma	HP:0002671
Palate telangiectases	HP:0002707
Palate teleangiectases	HP:0002707
Telangiectasia of the roof of the mouth	HP:0002707
Palatal spider veins	HP:0002707
Palate telangiectasia	HP:0002707
Palatal angioectasia	HP:0002707
Palatal telangiectasia	HP:0002707
Spider veins of the roof of the mouth	HP:0002707
Commissural pit	HP:0002710
Commissural lip pit	HP:0002710
Commissural labial pits	HP:0002710
Lip pits at corners of the mouth	HP:0002710
Pits at the corners of the lips	HP:0002710
Chronic candidiasis of mucosa, skin and nails	HP:0002728
Chronic mucocutaneous candidiasis	HP:0002728
Mucocutaneous candidiasis	HP:0002728
Squamous cell cancer	HP:0002860
Squamous cell carcinoma	HP:0002860
Abnormal hairshaft morphology	HP:0003328
Hair shafts flattened at irregular intervals and twisted through 180 degrees about their axes	HP:0003329
Junctional split	HP:0003341
Lamina lucida cleavage	HP:0003341
Blistering with junctional split	HP:0003341
Subepidermal blistering with cleavage in the lamina lucida	HP:0003341
Minimal subcutaneous fat	HP:0003717
Minimal fat below the skin	HP:0003717
Decreased subcutaneous adipose tissue	HP:0003758
Reduced subcutaneous adipose tissue	HP:0003758
Decreased subcutaneous fat	HP:0003758
Scanty adipose tissue	HP:0003758
Reduced fat tissue below the skin	HP:0003758
Reduced subcutaneous fat	HP:0003758
Nevus	HP:0003764
Naevi	HP:0003764
Naevus	HP:0003764
Nevi	HP:0003764
Mole	HP:0003764
Psoriasis	HP:0003765
Psoriasiform dermatitis	HP:0003765
Pili torti	HP:0003777
Flattened and twisted hair	HP:0003777
Dermal atrophy	HP:0004334
Skin degeneration	HP:0004334
Atrophic skin	HP:0004334
Skin atrophy	HP:0004334
Postauricular earpits	HP:0004464
Postauricular fistula	HP:0004464
Pit behind the ear	HP:0004464
Posterior auricular pit	HP:0004464
Posterior auricular sinus	HP:0004464
Postauricular pit	HP:0004464
Preauricular pit	HP:0004467
Preauricular fistulas	HP:0004467
Preauricular sinus	HP:0004467
Preauricular pits	HP:0004467
Ear pit	HP:0004467
Preauricular earpits	HP:0004467
Pit in front of the ear	HP:0004467
Absent cutis congenita of vertex	HP:0004471
Aplasia cutis congenita over the scalp vertex	HP:0004471
Aplasia cutis congenita of vertex	HP:0004471
Absent cutis congenita over parietal area	HP:0004476
Aplasia cutis congenita over parietal area	HP:0004476
Increased transverse length of eyebrow	HP:0004523
Long eyebrows	HP:0004523
Increased horizontal length of eyebrow	HP:0004523
Elongated eyebrow	HP:0004523
Temporal hypotrichosis	HP:0004524
Reduced hair growth in temporal region	HP:0004524
Large clumps of pigment irregularly distributed along hair shaft	HP:0004527
Hypotrichosis, generalized	HP:0004528
Generalized hypotrichosis	HP:0004528
Hypotrichosis, generalised	HP:0004528
Generalised hypotrichosis	HP:0004528
Atrophic, patchy alopecia	HP:0004529
Sacral hypertrichosis	HP:0004532
Congenital cervical hypertrichosis	HP:0004535
Anterior cervical hypertrichosis	HP:0004535
Hypertrichosis, congenital anterior cervical	HP:0004535
Congenital generalized hypertrichosis	HP:0004540
Congenital, generalized hypertrichosis	HP:0004540
Hypertrichosis universalis	HP:0004540
Congenital generalised hypertrichosis	HP:0004540
Congenital, generalised hypertrichosis	HP:0004540
Cicatricial alopecia	HP:0004552
Scarring alopecia of scalp	HP:0004552
Hair loss on scalp from scarring condition	HP:0004552
Generalized hypertrichosis	HP:0004554
Generalised hypertrichosis	HP:0004554
Longitudinal groove on soles	HP:0004681
Foot crease	HP:0004681
Deep longitudinal plantar crease	HP:0004681
Sparse anterior scalp hair	HP:0004768
Thin scalp hair at front of head	HP:0004768
Sparse scalp hair at front of head	HP:0004768
Premature greying of body hair	HP:0004771
Premature graying of body hair	HP:0004771
Brittle scalp hair	HP:0004779
Pilosity of elbow	HP:0004780
Hairy elbow	HP:0004780
Hairy elbow syndrome	HP:0004780
Elbow hypertrichosis	HP:0004780
Hypertrichosis cubiti	HP:0004780
Multiple intestinal neurofibromatosis	HP:0005220
Lack of facial subcutaneous fat	HP:0005320
Lack of facial fat below the skin	HP:0005320
Unusual hairline with hair growth on temples extending to lateral eyebrow	HP:0005325
Extension of hair growth on temples to lateral eyebrow	HP:0005325
Progeroid facial appearance	HP:0005328
Aged facial appearance	HP:0005328
Prematurely aged facial appearance	HP:0005328
Wizened face	HP:0005328
Prematurely aged face	HP:0005328
Premature aged appearance	HP:0005328
Darkening of the forehead	HP:0005336
Forehead hyperpigmentation	HP:0005336
Limited hair on end of eyebrow	HP:0005338
Laterally sparse eyebrow	HP:0005338
Sparse lateral eyebrow	HP:0005338
Sparse lateral eyebrows	HP:0005338
Lateral thinning of eyebrows	HP:0005338
Lateral hypoplasia of eyebrows	HP:0005338
Laterally sparse eyebrows	HP:0005338
Recurrent bacterial skin infections	HP:0005406
Recurrent pyogenic skin infections	HP:0005406
Recurrent episodes of impetigo	HP:0005406
Recurrent cutaneous pyogenic infections	HP:0005406
